LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1670855229.316516,1244039.000,4732,2,GY,1,100,0.122
1670855229.356418,1244077.667,4749,3,GY,1,100,0.153
1670855229.396320,1244116.333,4749,3,GY,1,100,0.122
1670855229.436221,1244155.000,4749,3,GY,1,100,0.122
1670855229.475435,1244193.000,4766,3,GY,1,100,0.153
1670855229.514649,1244231.000,4766,3,GY,1,100,0.153
1670855229.553863,1244269.000,4766,3,GY,1,100,0.122
1670855229.594108,1244308.000,4782,2,GY,1,100,0.122
1670855229.634354,1244347.000,4782,2,GY,1,100,0.122
1670855229.674256,1244385.667,4798,3,GY,1,100,0.153
1670855229.714158,1244424.333,4798,3,GY,1,100,0.122
1670855229.754059,1244463.000,4798,3,GY,1,100,0.153
1670855229.794821,1244502.500,4816,2,GY,1,100,0.183
1670855229.835583,1244542.000,4816,2,GY,1,100,0.183
1670855229.875484,1244580.667,4833,3,GY,1,100,0.183
1670855229.915386,1244619.333,4833,3,GY,1,100,0.122
1670855229.955288,1244658.000,4833,3,GY,1,100,0.153
1670855229.995190,1244696.667,4852,3,GY,1,100,0.183
1670855230.035091,1244735.333,4852,3,GY,1,100,0.122
1670855230.074993,1244774.000,4852,3,GY,1,100,0.153
1670855230.121946,1244819.500,4870,2,GY,1,100,0.122
1670855230.168900,1244865.000,4870,2,GY,1,100,0.153
1670855230.208629,1244903.500,4884,2,GY,1,100,0.153
1670855230.248359,1244942.000,4884,2,GY,1,100,0.122
1670855230.287917,1244980.333,4901,3,GY,1,100,0.122
1670855230.327475,1245018.667,4901,3,GY,1,100,0.122
1670855230.367033,1245057.000,4901,3,GY,1,100,0.122
1670855230.406934,1245095.667,4918,3,GY,1,100,0.153
1670855230.446836,1245134.333,4918,3,GY,1,100,0.153
1670855230.486738,1245173.000,4918,3,GY,1,100,0.122
1670855230.527499,1245212.500,4935,2,GY,1,100,0.153
1670855230.568261,1245252.000,4935,2,GY,1,100,0.153
1670855230.609195,1245291.667,4951,3,GY,1,100,0.122
1670855230.650128,1245331.333,4951,3,GY,1,100,0.153
1670855230.691062,1245371.000,4951,3,GY,1,100,0.153
1670855230.730276,1245409.000,4967,2,GY,1,100,0.122
1670855230.769490,1245447.000,4967,2,GY,1,100,0.122
1670855230.809391,1245485.667,4985,3,GY,1,100,0.122
1670855230.849293,1245524.333,4985,3,GY,1,100,0.153
1670855230.889195,1245563.000,4985,3,GY,1,100,0.153
1670855230.928409,1245601.000,5002,3,GY,1,100,0.122
1670855230.967622,1245639.000,5002,3,GY,1,100,0.153
1670855231.006836,1245677.000,5002,3,GY,1,100,0.153
1670855231.046738,1245715.667,5019,3,GY,1,100,0.092
1670855231.086640,1245754.333,5019,3,GY,1,100,0.153
1670855231.126541,1245793.000,5019,3,GY,1,100,0.153
1670855231.167303,1245832.500,5034,2,GY,1,100,0.122
1670855231.208065,1245872.000,5034,2,GY,1,100,0.183
1670855231.255534,1245918.000,5050,2,GY,1,100,0.153
1670855231.303003,1245964.000,5050,2,GY,1,100,0.122
1670855231.342905,1246002.667,5067,3,GY,1,100,0.122
1670855231.382807,1246041.333,5067,3,GY,1,100,0.153
1670855231.422709,1246080.000,5067,3,GY,1,100,0.183
1670855231.462954,1246119.000,5087,3,GY,1,100,0.183
1670855231.503200,1246158.000,5087,3,GY,1,100,0.153
1670855231.543446,1246197.000,5087,3,GY,1,100,0.153
1670855231.583347,1246235.667,5104,3,GY,1,100,0.153
1670855231.623249,1246274.333,5104,3,GY,1,100,0.122
1670855231.663151,1246313.000,5104,3,GY,1,100,0.122
1670855231.703397,1246352.000,5119,2,GY,1,100,0.183
1670855231.743642,1246391.000,5119,2,GY,1,100,0.122
1670855231.782512,1246428.667,5138,3,GY,1,100,0.122
1670855231.821382,1246466.333,5138,3,GY,1,100,0.183
1670855231.860252,1246504.000,5138,3,GY,1,100,0.122
1670855231.899981,1246542.500,5154,2,GY,1,100,0.122
1670855231.939711,1246581.000,5154,2,GY,1,100,0.153
1670855231.980301,1246620.333,5171,3,GY,1,100,0.183
1670855232.020890,1246659.667,5171,3,GY,1,100,0.183
1670855232.061480,1246699.000,5171,3,GY,1,100,0.153
1670855232.102070,1246738.333,5188,3,GY,1,100,0.122
1670855232.142660,1246777.667,5188,3,GY,1,100,0.122
1670855232.183249,1246817.000,5188,3,GY,1,100,0.153
1670855232.223495,1246856.000,5203,2,GY,1,100,0.183
1670855232.263741,1246895.000,5203,2,GY,1,100,0.183
1670855232.303643,1246933.667,5219,3,GY,1,100,0.092
1670855232.343544,1246972.333,5219,3,GY,1,100,0.122
1670855232.383446,1247011.000,5219,3,GY,1,100,0.153
1670855232.429367,1247055.500,5237,2,GY,1,100,0.183
1670855232.475289,1247100.000,5237,2,GY,1,100,0.153
1670855232.515191,1247138.667,5253,3,GY,1,100,0.122
1670855232.555092,1247177.333,5253,3,GY,1,100,0.122
1670855232.594994,1247216.000,5253,3,GY,1,100,0.153
1670855232.634896,1247254.667,5270,3,GY,1,100,0.153
1670855232.674798,1247293.333,5270,3,GY,1,100,0.153
1670855232.714699,1247332.000,5270,3,GY,1,100,0.153
1670855232.754945,1247371.000,5285,2,GY,1,100,0.153
1670855232.795191,1247410.000,5285,2,GY,1,100,0.153
1670855232.834749,1247448.333,5304,3,GY,1,100,0.153
1670855232.874306,1247486.667,5304,3,GY,1,100,0.122
1670855232.913864,1247525.000,5304,3,GY,1,100,0.122
1670855232.953078,1247563.000,5320,2,GY,1,100,0.122
1670855232.992291,1247601.000,5320,2,GY,1,100,0.153
1670855233.031849,1247639.333,5346,6,GY,1,100,0.153
