LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1670855234.822440,1249374.500,5607,2,EA,1,100,0.030320
1670855234.889000,1249439.000,5607,2,EA,1,100,0.030320
1670855234.956076,1249504.000,5623,1,EA,1,100,0.030320
1670855235.022636,1249568.500,5641,2,EA,1,100,0.030320
1670855235.089196,1249633.000,5641,2,EA,1,100,0.030320
1670855235.153177,1249695.000,5657,1,EA,1,100,0.030320
1670855235.219737,1249759.500,5672,2,EA,1,100,0.030320
1670855235.286297,1249824.000,5672,2,EA,1,100,0.030320
1670855235.352341,1249888.000,5688,1,EA,1,100,0.030320
1670855235.418902,1249952.500,5706,2,EA,1,100,0.030320
1670855235.485462,1250017.000,5706,2,EA,1,100,0.030320
1670855235.551506,1250081.000,5722,2,EA,1,100,0.030320
1670855235.617550,1250145.000,5722,2,EA,1,100,0.030320
1670855235.684627,1250210.000,5739,1,EA,1,100,0.030320
1670855235.750671,1250274.000,5756,2,EA,1,100,0.030320
1670855235.816715,1250338.000,5756,2,EA,1,100,0.030320
1670855235.883791,1250403.000,5773,1,EA,1,100,0.030320
1670855235.950867,1250468.000,5789,2,EA,1,100,0.030320
1670855236.017944,1250533.000,5789,2,EA,1,100,0.030320
1670855236.085020,1250598.000,5810,2,EA,1,100,0.030320
1670855236.152096,1250663.000,5810,2,EA,1,100,0.030320
1670855236.218140,1250727.000,5826,1,EA,1,100,0.030320
1670855236.284185,1250791.000,5841,2,EA,1,100,0.030320
1670855236.350229,1250855.000,5841,2,EA,1,100,0.030320
1670855236.418337,1250921.000,5858,1,EA,1,100,0.030320
1670855236.483865,1250984.500,5875,2,EA,1,100,0.030320
1670855236.549393,1251048.000,5875,2,EA,1,100,0.030320
1670855236.616986,1251113.500,5891,2,EA,1,100,0.030320
1670855236.684578,1251179.000,5891,2,EA,1,100,0.030320
1670855236.750622,1251243.000,5909,1,EA,1,100,0.030320
1670855236.817182,1251307.500,5925,2,EA,1,100,0.030320
1670855236.883743,1251372.000,5925,2,EA,1,100,0.030320
1670855236.949787,1251436.000,5942,1,EA,1,100,0.030320
1670855237.016863,1251501.000,5959,2,EA,1,100,0.030320
1670855237.083939,1251566.000,5959,2,EA,1,100,0.030320
1670855237.150499,1251630.500,5976,2,EA,1,100,0.030320
1670855237.217060,1251695.000,5976,2,EA,1,100,0.030320
1670855237.282072,1251758.000,5992,1,EA,1,100,0.030319
1670855237.348116,1251822.000,6008,2,EA,1,100,0.030319
1670855237.414160,1251886.000,6008,2,EA,1,100,0.030320
1670855237.482269,1251952.000,6024,1,EA,1,100,0.030320
1670855237.549345,1252017.000,6041,2,EA,1,100,0.030320
1670855237.616421,1252082.000,6041,2,EA,1,100,0.030319
1670855237.682465,1252146.000,6060,1,EA,1,100,0.030320
1670855237.749025,1252210.500,6079,2,EA,1,100,0.030320
1670855237.815586,1252275.000,6079,2,EA,1,100,0.030319
1670855237.882146,1252339.500,6094,2,EA,1,100,0.030319
1670855237.948706,1252404.000,6094,2,EA,1,100,0.030319
1670855238.013718,1252467.000,6111,1,EA,1,100,0.030319
1670855238.080795,1252532.000,6128,2,EA,1,100,0.030319
