LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1670855254.451513,1268396.000,8731,1,SF,1,100,0.0000
1670855254.784830,1268719.000,8786,1,SF,1,100,0.0000
1670855255.049007,1268975.000,8835,1,SF,1,100,0.0000
1670855255.383356,1269299.000,8885,1,SF,1,100,0.0000
1670855255.715641,1269621.000,8934,1,SF,1,100,0.0000
1670855256.117067,1270010.000,9004,1,SF,1,100,0.0000
1670855256.449352,1270332.000,9052,1,SF,1,100,0.0000
1670855256.716625,1270591.000,9103,1,SF,1,100,0.0000
1670855257.049942,1270914.000,9153,1,SF,1,100,0.0000
1670855257.384291,1271238.000,9202,1,SF,1,100,0.0000
1670855257.784684,1271626.000,9273,1,SF,1,100,0.0000
1670855258.121097,1271952.000,9322,1,SF,1,100,0.0000
1670855258.387338,1272210.000,9371,1,SF,1,100,0.0000
1670855258.717559,1272530.000,9421,1,SF,1,100,0.0000
1670855259.055004,1272857.000,9472,1,SF,1,100,0.0000
1670855259.384193,1273176.000,9523,1,SF,1,100,0.0000
1670855259.720606,1273502.000,9579,1,SF,1,100,0.0000
1670855260.115840,1273885.000,9646,1,SF,1,100,0.0000
1670855260.453285,1274212.000,9694,1,SF,1,100,0.0000
1670855260.716430,1274467.000,9748,1,SF,1,100,0.0000
1670855261.048715,1274789.000,9798,1,SF,1,100,0.0000
1670855261.378936,1275109.000,9847,1,SF,1,100,0.0000
1670855261.777266,1275495.000,9915,1,SF,1,100,0.0000
1670855262.113678,1275821.000,9964,1,SF,1,100,0.0000
1670855262.377855,1276077.000,10016,1,SF,1,100,0.0000
1670855262.710140,1276399.000,10066,1,SF,1,100,0.0000
1670855263.041394,1276720.000,10117,1,SF,1,100,0.0000
1670855263.372647,1277041.000,10165,1,SF,1,100,0.0000
1670855263.769944,1277426.000,10233,1,SF,1,100,0.0000
1670855264.101197,1277747.000,10286,1,SF,1,100,0.0000
1670855264.435547,1278071.000,10334,1,SF,1,100,0.0000
1670855264.768864,1278394.000,10390,1,SF,1,100,0.0000
1670855265.101149,1278716.000,10441,1,SF,1,100,0.0000
