LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1670855229.409047,1244128.667,4740,3,PG,1,100,233
1670855229.448605,1244167.000,4740,3,PG,1,100,232
1670855229.487302,1244204.500,4757,2,PG,1,100,252
1670855229.526000,1244242.000,4757,2,PG,1,100,245
1670855229.565902,1244280.667,4773,3,PG,1,100,245
1670855229.605804,1244319.333,4773,3,PG,1,100,259
1670855229.645705,1244358.000,4773,3,PG,1,100,259
1670855229.692659,1244403.500,4790,2,PG,1,100,253
1670855229.739612,1244449.000,4790,2,PG,1,100,257
1670855229.780546,1244488.667,4808,3,PG,1,100,249
1670855229.821480,1244528.333,4808,3,PG,1,100,244
1670855229.862413,1244568.000,4808,3,PG,1,100,239
1670855229.902143,1244606.500,4824,2,PG,1,100,236
1670855229.941873,1244645.000,4824,2,PG,1,100,237
1670855229.981774,1244683.667,4843,3,PG,1,100,248
1670855230.021676,1244722.333,4843,3,PG,1,100,252
1670855230.061578,1244761.000,4843,3,PG,1,100,252
1670855230.101480,1244799.667,4861,3,PG,1,100,251
1670855230.141381,1244838.333,4861,3,PG,1,100,252
1670855230.181283,1244877.000,4861,3,PG,1,100,251
1670855230.221529,1244916.000,4877,2,PG,1,100,249
1670855230.261775,1244955.000,4877,2,PG,1,100,250
1670855230.300988,1244993.000,4892,3,PG,1,100,234
1670855230.340202,1245031.000,4892,3,PG,1,100,239
1670855230.379416,1245069.000,4892,3,PG,1,100,234
1670855230.419146,1245107.500,4909,2,PG,1,100,249
1670855230.458875,1245146.000,4909,2,PG,1,100,248
1670855230.499465,1245185.333,4926,3,PG,1,100,246
1670855230.540055,1245224.667,4926,3,PG,1,100,246
1670855230.580644,1245264.000,4926,3,PG,1,100,265
1670855230.621922,1245304.000,4942,3,PG,1,100,255
1670855230.663200,1245344.000,4942,3,PG,1,100,258
1670855230.704477,1245384.000,4942,3,PG,1,100,248
1670855230.743691,1245422.000,4960,2,PG,1,100,251
1670855230.782905,1245460.000,4960,2,PG,1,100,242
1670855230.822463,1245498.333,4976,3,PG,1,100,250
1670855230.862020,1245536.667,4976,3,PG,1,100,238
1670855230.901578,1245575.000,4976,3,PG,1,100,243
1670855230.940276,1245612.500,4993,2,PG,1,100,244
1670855230.978974,1245650.000,4993,2,PG,1,100,256
1670855231.019219,1245689.000,5010,3,PG,1,100,256
1670855231.059465,1245728.000,5010,3,PG,1,100,253
1670855231.099711,1245767.000,5010,3,PG,1,100,254
1670855231.140301,1245806.333,5027,3,PG,1,100,263
1670855231.180890,1245845.667,5027,3,PG,1,100,248
1670855231.221480,1245885.000,5027,3,PG,1,100,236
1670855231.262242,1245924.500,5041,2,PG,1,100,243
1670855231.303003,1245964.000,5041,2,PG,1,100,244
1670855231.342905,1246002.667,5058,3,PG,1,100,242
1670855231.382807,1246041.333,5058,3,PG,1,100,248
1670855231.422709,1246080.000,5058,3,PG,1,100,250
1670855231.467426,1246123.333,5078,3,PG,1,100,253
1670855231.512143,1246166.667,5078,3,PG,1,100,258
1670855231.556861,1246210.000,5078,3,PG,1,100,252
1670855231.597107,1246249.000,5095,2,PG,1,100,257
1670855231.637352,1246288.000,5095,2,PG,1,100,244
1670855231.676910,1246326.333,5111,3,PG,1,100,245
1670855231.716468,1246364.667,5111,3,PG,1,100,241
1670855231.756026,1246403.000,5111,3,PG,1,100,241
1670855231.794208,1246440.000,5130,2,PG,1,100,241
1670855231.832389,1246477.000,5130,2,PG,1,100,249
1670855231.872291,1246515.667,5145,3,PG,1,100,242
1670855231.912193,1246554.333,5145,3,PG,1,100,244
1670855231.952095,1246593.000,5145,3,PG,1,100,247
1670855231.993028,1246632.667,5162,3,PG,1,100,249
1670855232.033962,1246672.333,5162,3,PG,1,100,263
1670855232.074896,1246712.000,5162,3,PG,1,100,258
1670855232.116173,1246752.000,5179,2,PG,1,100,249
1670855232.157451,1246792.000,5179,2,PG,1,100,244
1670855232.197353,1246830.667,5196,3,PG,1,100,245
1670855232.237254,1246869.333,5196,3,PG,1,100,239
1670855232.277156,1246908.000,5196,3,PG,1,100,234
1670855232.316714,1246946.333,5210,3,PG,1,100,240
1670855232.356272,1246984.667,5210,3,PG,1,100,263
1670855232.395829,1247023.000,5210,3,PG,1,100,247
1670855232.435559,1247061.500,5228,2,PG,1,100,257
1670855232.475289,1247100.000,5228,2,PG,1,100,251
1670855232.515191,1247138.667,5244,3,PG,1,100,261
1670855232.555092,1247177.333,5244,3,PG,1,100,253
1670855232.594994,1247216.000,5244,3,PG,1,100,248
1670855232.635240,1247255.000,5261,2,PG,1,100,244
1670855232.675485,1247294.000,5261,2,PG,1,100,254
1670855232.715387,1247332.667,5278,3,PG,1,100,241
1670855232.755289,1247371.333,5278,3,PG,1,100,247
1670855232.795191,1247410.000,5278,3,PG,1,100,241
1670855232.834749,1247448.333,5295,3,PG,1,100,256
1670855232.874306,1247486.667,5295,3,PG,1,100,250
1670855232.913864,1247525.000,5295,3,PG,1,100,258
1670855232.953078,1247563.000,5311,2,PG,1,100,251
1670855232.992291,1247601.000,5311,2,PG,1,100,256
1670855233.034395,1247641.800,5337,5,PG,1,100,251
1670855233.076498,1247682.600,5337,5,PG,1,100,256
1670855233.118601,1247723.400,5337,5,PG,1,100,244
1670855233.160704,1247764.200,5337,5,PG,1,100,242
1670855233.202807,1247805.000,5337,5,PG,1,100,239
1670855233.242021,1247843.000,5353,3,PG,1,100,234
1670855233.281235,1247881.000,5353,3,PG,1,100,251
1670855233.320449,1247919.000,5353,3,PG,1,100,258
1670855233.360178,1247957.500,5370,2,PG,1,100,251
1670855233.399908,1247996.000,5370,2,PG,1,100,246
1670855233.440498,1248035.333,5386,3,PG,1,100,264
1670855233.481088,1248074.667,5386,3,PG,1,100,255
1670855233.521677,1248114.000,5386,3,PG,1,100,262
1670855233.561923,1248153.000,5403,3,PG,1,100,248
1670855233.602169,1248192.000,5403,3,PG,1,100,244
1670855233.642415,1248231.000,5403,3,PG,1,100,241
1670855233.682660,1248270.000,5419,2,PG,1,100,243
1670855233.722906,1248309.000,5419,2,PG,1,100,243
1670855233.762464,1248347.333,5437,3,PG,1,100,244
1670855233.802022,1248385.667,5437,3,PG,1,100,247
1670855233.841579,1248424.000,5437,3,PG,1,100,254
1670855233.880793,1248462.000,5453,2,PG,1,100,255
1670855233.920007,1248500.000,5453,2,PG,1,100,253
1670855233.959564,1248538.333,5470,3,PG,1,100,250
1670855233.999122,1248576.667,5470,3,PG,1,100,250
1670855234.038680,1248615.000,5470,3,PG,1,100,241
1670855234.078926,1248654.000,5487,3,PG,1,100,239
1670855234.119171,1248693.000,5487,3,PG,1,100,251
1670855234.159417,1248732.000,5487,3,PG,1,100,238
1670855234.199147,1248770.500,5504,2,PG,1,100,239
1670855234.238877,1248809.000,5504,2,PG,1,100,235
1670855234.278778,1248847.667,5518,3,PG,1,100,251
1670855234.318680,1248886.333,5518,3,PG,1,100,250
1670855234.358582,1248925.000,5518,3,PG,1,100,252
1670855234.397796,1248963.000,5536,3,PG,1,100,249
1670855234.437009,1249001.000,5536,3,PG,1,100,272
1670855234.476223,1249039.000,5536,3,PG,1,100,255
1670855234.516469,1249078.000,5552,2,PG,1,100,250
1670855234.556715,1249117.000,5552,2,PG,1,100,242
1670855234.596616,1249155.667,5569,3,PG,1,100,245
1670855234.636518,1249194.333,5569,3,PG,1,100,242
1670855234.676420,1249233.000,5569,3,PG,1,100,242
1670855234.716150,1249271.500,5588,2,PG,1,100,240
1670855234.755879,1249310.000,5588,2,PG,1,100,247
1670855234.795781,1249348.667,5606,3,PG,1,100,244
1670855234.835683,1249387.333,5606,3,PG,1,100,254
1670855234.875585,1249426.000,5606,3,PG,1,100,256
1670855234.922022,1249471.000,5622,2,PG,1,100,255
1670855234.968459,1249516.000,5622,2,PG,1,100,252
1670855235.008705,1249555.000,5640,3,PG,1,100,249
1670855235.048951,1249594.000,5640,3,PG,1,100,252
1670855235.089196,1249633.000,5640,3,PG,1,100,247
1670855235.128754,1249671.333,5656,3,PG,1,100,241
1670855235.168312,1249709.667,5656,3,PG,1,100,230
1670855235.207870,1249748.000,5656,3,PG,1,100,255
1670855235.247083,1249786.000,5671,2,PG,1,100,241
1670855235.286297,1249824.000,5671,2,PG,1,100,258
1670855235.325855,1249862.333,5687,3,PG,1,100,249
1670855235.365413,1249900.667,5687,3,PG,1,100,256
1670855235.404970,1249939.000,5687,3,PG,1,100,253
1670855235.444872,1249977.667,5705,3,PG,1,100,256
1670855235.484774,1250016.333,5705,3,PG,1,100,249
1670855235.524676,1250055.000,5705,3,PG,1,100,240
1670855235.564921,1250094.000,5721,2,PG,1,100,243
1670855235.605167,1250133.000,5721,2,PG,1,100,250
1670855235.645069,1250171.667,5738,3,PG,1,100,241
1670855235.684971,1250210.333,5738,3,PG,1,100,241
1670855235.724872,1250249.000,5738,3,PG,1,100,246
