LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1670855253.061488,1267049,8508,8,LM,1,100,1237427.5033334,1237427.5033602,1237427.5213123,Hello,
1670855254.575346,1268516,8748,8,LM,1,100,1237429.0404297,1237429.0404584,1237429.0701490,World,
1670855256.110875,1270004,9000,8,LM,1,100,1237430.5762598,1237430.5762885,1237430.5894420,Hello,
1670855257.668075,1271513,9252,8,LM,1,100,1237432.1083901,1237432.1083982,1237432.1238962,World,
1670855259.183997,1272982,9489,8,LM,1,100,1237433.6492254,1237433.6492476,1237433.6593354,Hello,
1670855260.724685,1274475,9745,8,LM,1,100,1237435.1763926,1237435.1763897,1237435.2076231,World,
1670855262.281885,1275984,9996,8,LM,1,100,1237436.7136393,1237436.7136364,1237436.7278034,Hello,
1670855263.908225,1277560,10250,8,LM,1,100,1237438.2437574,1237438.2437786,1237438.3246161,World,
1670855265.321984,1278930,10474,8,LM,1,100,1237439.7811158,1237439.7811109,1237439.8131327,Hello,
1670855266.859577,1280420,10728,8,LM,1,100,1237441.3171435,1237441.3171585,1237441.3456604,World,
1670855268.411617,1281924,10977,8,LM,1,100,1237442.8473183,1237442.8473334,1237442.8628634,Hello,
1670855269.931667,1283397,11214,8,LM,1,100,1237444.3821305,1237444.3821511,1237444.4130818,World,
1670855271.592060,1285006,11486,8,LM,1,100,1237445.9170967,1237445.9171074,1237446.0067821,Hello,
1670855273.033683,1286403,11722,8,LM,1,100,1237447.4544477,1237447.4544617,1237447.4698660,World,
1670855274.608425,1287929,11974,8,LM,1,100,1237448.9862777,1237448.9862989,1237449.0654174,Hello,
1670855276.068622,1289344,12215,8,LM,1,100,1237450.5223221,1237450.5223433,1237450.5546046,World,
1670855277.639237,1290866,12466,8,LM,1,100,1237452.0522435,1237452.0522643,1237452.0757649,Hello,
1670855279.116977,1292298,12703,8,LM,1,100,1237453.5889577,1237453.5889783,1237453.6042112,World,
1670855280.699975,1293832,12959,8,LM,1,100,1237455.1561951,1237455.1562146,1237455.1731387,Hello,
1670855282.244792,1295329,13210,8,LM,1,100,1237456.6904773,1237456.6904968,1237456.7214183,World,
1670855283.757618,1296795,13447,8,LM,1,100,1237458.2244693,1237458.2244883,1237458.2561805,Hello,
1670855285.302434,1298292,13698,8,LM,1,100,1237459.7617722,1237459.7617910,1237459.7901756,World,
1670855286.828676,1299771,13940,8,LM,1,100,1237461.2930644,1237461.2930845,1237461.3090801,Hello,
1670855288.391035,1301285,14191,8,LM,1,100,1237462.8337865,1237462.8338066,1237462.8432944,World,
1670855289.954426,1302800,14442,8,LM,1,100,1237464.3623739,1237464.3623917,1237464.4189590,Hello,
1670855291.435262,1304235,14668,8,LM,1,100,1237465.8962942,1237465.8963135,1237465.9280115,World,
1670855292.973886,1305726,14920,8,LM,1,100,1237467.4309482,1237467.4309694,1237467.4628784,Hello,
1670855294.742634,1307440,15206,8,LM,1,100,1237468.9652353,1237468.9652709,1237469.0317044,World,
1670855296.088286,1308744,15423,8,LM,1,100,1237470.4995131,1237470.4995486,1237470.5156996,Hello,
1670855297.608335,1310217,15664,8,LM,1,100,1237472.0344023,1237472.0344291,1237472.0501235,World,
1670855299.089171,1311652,15901,8,LM,1,100,1237473.5665285,1237473.5665369,1237473.5687780,Hello,
1670855300.654627,1313169,16150,8,LM,1,100,1237475.1022829,1237475.1023102,1237475.1185233,World,
1670855302.196347,1314663,16408,8,LM,1,100,1237476.6373130,1237476.6373404,1237476.6686498,Hello,
1670855303.700918,1316121,16645,8,LM,1,100,1237478.1715994,1237478.1716143,1237478.1871843,World,
1670855305.233351,1317606,16896,8,LM,1,100,1237479.7055391,1237479.7055571,1237479.7213336,Hello,
1670855306.802933,1319127,17149,8,LM,1,100,1237481.2402698,1237481.2402891,1237481.2560895,World,
1670855308.350846,1320627,17389,8,LM,1,100,1237482.7742119,1237482.7742312,1237482.8072290,Hello,
1670855309.912173,1322140,17642,8,LM,1,100,1237484.3094220,1237484.3094420,1237484.3245896,World,
1670855311.409520,1323591,17878,8,LM,1,100,1237485.8432962,1237485.8433247,1237485.8747106,Hello,
1670855312.926474,1325061,18119,8,LM,1,100,1237487.3782093,1237487.3782275,1237487.4089800,World,
1670855314.498121,1326584,18371,8,LM,1,100,1237488.9118914,1237488.9119091,1237488.9441353,Hello,
1670855316.050161,1328088,18622,8,LM,1,100,1237490.4465607,1237490.4465783,1237490.4793546,World,
1670855317.588785,1329579,18863,8,LM,1,100,1237491.9797704,1237491.9798041,1237492.0176884,Hello,
1670855319.122250,1331065,19101,8,LM,1,100,1237493.5155892,1237493.5156184,1237493.5317664,World,
1670855320.583479,1332481,19335,8,LM,1,100,1237495.0495305,1237495.0495372,1237495.0815578,Hello,
1670855322.122104,1333972,19589,8,LM,1,100,1237496.5845676,1237496.5845743,1237496.5997709,World,
1670855323.677240,1335479,19831,8,LM,1,100,1237498.1184155,1237498.1184321,1237498.1349585,Hello,
1670855325.350017,1337100,20099,8,LM,1,100,1237499.6531619,1237499.6531685,1237499.6771370,World,
1670855326.889673,1338592,20351,8,LM,1,100,1237501.1894453,1237501.1894558,1237501.2188235,Hello,
1670855328.285890,1339945,20572,8,LM,1,100,1237502.7235950,1237502.7236055,1237502.7405563,World,
1670855329.862697,1341473,20825,8,LM,1,100,1237504.2574589,1237504.2574747,1237504.2892983,Hello,
1670855331.324958,1342890,21060,8,LM,1,100,1237505.7902400,1237505.7902490,1237505.8061301,World,
1670855332.931690,1344447,21313,8,LM,1,100,1237507.3240858,1237507.3241151,1237507.3299568,Hello,
1670855334.406335,1345876,21553,8,LM,1,100,1237508.8593078,1237508.8593371,1237508.8909739,World,
1670855335.945991,1347368,21805,8,LM,1,100,1237510.3993122,1237510.3993265,1237510.4097791,Hello,
1670855337.460881,1348836,22041,8,LM,1,100,1237511.9273355,1237511.9273541,1237511.9433814,World,
1670855338.987123,1350315,22282,8,LM,1,100,1237513.4634302,1237513.4634612,1237513.4781378,Hello,
1670855340.539162,1351819,22533,8,LM,1,100,1237515.0023414,1237515.0023605,1237515.0308354,World,
1670855342.130416,1353361,22787,8,LM,1,100,1237516.5314103,1237516.5314293,1237516.5465189,Hello,
1670855343.612284,1354797,23021,8,LM,1,100,1237518.0836030,1237518.0836305,1237518.0979251,World,
1670855345.264422,1356398,23295,8,LM,1,100,1237519.6148885,1237519.6149133,1237519.6280276,Hello,
1670855346.749386,1357837,23533,8,LM,1,100,1237521.1515712,1237521.1515917,1237521.1824371,World,
1670855348.276659,1359317,23782,8,LM,1,100,1237522.6853031,1237522.6853236,1237522.7165680,Hello,
1670855349.813220,1360806,24025,8,LM,1,100,1237524.2196406,1237524.2196626,1237524.2861693,World,
1670855351.348749,1362294,24275,8,LM,1,100,1237525.7541246,1237525.7541328,1237525.7854177,Hello,
1670855352.910076,1363807,24527,8,LM,1,100,1237527.2877227,1237527.2877375,1237527.3200872,World,
1670855354.767571,1365607,24781,8,LM,1,100,1237528.8226822,1237528.8226970,1237528.8961364,Hello,
1670855355.962559,1366765,24970,8,LM,1,100,1237530.3577219,1237530.3577534,1237530.3727505,World,
1670855357.448555,1368205,25205,8,LM,1,100,1237531.8909622,1237531.8909820,1237531.9070281,Hello,
1670855359.022265,1369730,25458,8,LM,1,100,1237533.4258763,1237533.4258986,1237533.4574359,World,
1670855360.516516,1371178,25700,8,LM,1,100,1237534.9599868,1237534.9600201,1237534.9756545,Hello,
1670855362.024183,1372639,25939,8,LM,1,100,1237536.5002092,1237536.5002425,1237536.5112817,World,
1670855363.563839,1374131,26189,8,LM,1,100,1237538.0297892,1237538.0298222,1237538.0460608,Hello,
1670855365.180892,1375698,26441,8,LM,1,100,1237539.5630866,1237539.5631083,1237539.5794558,World,
1670855366.636961,1377109,26682,8,LM,1,100,1237541.0977652,1237541.0977740,1237541.1139483,Hello,
1670855368.176618,1378601,26933,8,LM,1,100,1237542.6389004,1237542.6389092,1237542.6517083,World,
1670855369.785414,1380160,27187,8,LM,1,100,1237544.1665335,1237544.1665483,1237544.1982048,Hello,
1670855371.243547,1381573,27363,8,LM,1,100,1237545.6995636,1237545.6995741,1237545.7096584,World,
1670855372.789396,1383071,27616,8,LM,1,100,1237547.2400951,1237547.2401225,1237547.2684521,Hello,
1670855374.328021,1384562,27867,8,LM,1,100,1237548.7694660,1237548.7694935,1237548.7851251,World,
1670855375.839815,1386027,28104,8,LM,1,100,1237550.3045488,1237550.3045754,1237550.3199706,Hello,
1670855377.472346,1387609,28360,8,LM,1,100,1237551.8395095,1237551.8395264,1237551.8720339,World,
1670855378.903649,1388996,28580,8,LM,1,100,1237553.3569653,1237553.3569647,1237553.3890003,Hello,
1670855380.429890,1390475,28831,8,LM,1,100,1237554.8921725,1237554.8921719,1237554.9070189,World,
1670855381.998441,1391995,29090,8,LM,1,100,1237556.4268927,1237556.4269118,1237556.4414914,Hello,
1670855383.524683,1393474,29324,8,LM,1,100,1237557.9602162,1237557.9602332,1237557.9877240,World,
1670855385.058147,1394960,29577,8,LM,1,100,1237559.4939240,1237559.4939459,1237559.5096657,Hello,
1670855386.591612,1396446,29816,8,LM,1,100,1237561.0277297,1237561.0277265,1237561.0434604,World,
1670855388.129205,1397936,30070,8,LM,1,100,1237562.5626453,1237562.5626421,1237562.5950027,Hello,
1670855389.638935,1399399,30307,8,LM,1,100,1237564.0968643,1237564.0968811,1237564.1128084,World,
1670855391.200263,1400912,30541,8,LM,1,100,1237565.6331169,1237565.6331147,1237565.6496005,Hello,
