LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1670855377.483697,1387620,28361,4,TX,1,100,1237551.8395095,1237551.8395264,
1670855378.915000,1389007,28581,4,TX,1,100,1237553.3569653,1237553.3569647,
1670855380.442273,1390487,28832,4,TX,1,100,1237554.8921725,1237554.8921719,
1670855382.008760,1392005,29091,4,TX,1,100,1237556.4268927,1237556.4269118,
1670855383.535002,1393484,29325,4,TX,1,100,1237557.9602162,1237557.9602332,
1670855385.075690,1394977,29578,4,TX,1,100,1237559.4939240,1237559.4939459,
1670855386.600900,1396455,29817,4,TX,1,100,1237561.0277297,1237561.0277265,
1670855388.146748,1397953,30071,4,TX,1,100,1237562.5626453,1237562.5626421,
1670855389.649255,1399409,30308,4,TX,1,100,1237564.0968643,1237564.0968811,
1670855391.211614,1400923,30542,4,TX,1,100,1237565.6331169,1237565.6331147,
1670855392.733728,1402398,30784,4,TX,1,100,1237567.1658841,1237567.1659218,
1670855394.300215,1403916,31036,4,TX,1,100,1237568.6999733,1237568.7000110,
1670855395.776923,1405347,31272,4,TX,1,100,1237570.2344248,1237570.2344439,
1670855397.340314,1406862,31528,4,TX,1,100,1237571.7689977,1237571.7690208,
1670855398.898546,1408372,31782,4,TX,1,100,1237573.3028788,1237573.3029052,
1670855400.602281,1410023,32050,4,TX,1,100,1237574.8372261,1237574.8372526,
1670855401.949996,1411329,32268,4,TX,1,100,1237576.3735587,1237576.3735765,
1670855403.509260,1412840,32508,4,TX,1,100,1237577.9068907,1237577.9069182,
1670855405.040661,1414324,32761,4,TX,1,100,1237579.4416629,1237579.4416823,
1670855406.513242,1415751,32997,4,TX,1,100,1237580.9771891,1237580.9772058,
1670855408.075601,1417265,33236,4,TX,1,100,1237582.5122162,1237582.5122329,
1670855409.643120,1418784,33489,4,TX,1,100,1237584.0432949,1237584.0433170,
1670855411.223022,1420315,33740,4,TX,1,100,1237585.5767541,1237585.5767835,
1670855412.666708,1421714,33977,4,TX,1,100,1237587.1129598,1237587.1129763,
1670855414.214620,1423214,34217,4,TX,1,100,1237588.6473531,1237588.6473696,
1670855415.762532,1424714,34467,4,TX,1,100,1237590.1816257,1237590.1816392,
1670855417.253688,1426159,34703,4,TX,1,100,1237591.7155322,1237591.7155414,
1670855418.881059,1427736,34959,4,TX,1,100,1237593.2485875,1237593.2485962,
1670855420.351576,1429161,35193,4,TX,1,100,1237594.7849713,1237594.7849800,
1670855421.881945,1430644,35444,4,TX,1,100,1237596.3246303,1237596.3246130,
1670855423.483518,1432196,35695,4,TX,1,100,1237597.8544076,1237597.8544173,
1670855424.928236,1433596,35923,4,TX,1,100,1237599.3881232,1237599.3881238,
1670855426.478212,1435098,36160,4,TX,1,100,1237600.9236702,1237600.9237183,
1670855428.061210,1436632,36411,4,TX,1,100,1237602.4560502,1237602.4560983,
1670855429.800032,1438317,36688,4,TX,1,100,1237603.9913718,1237603.9913964,
1670855431.078607,1439556,36890,4,TX,1,100,1237605.5246234,1237605.5246217,
1670855432.614136,1441044,37143,4,TX,1,100,1237607.0611553,1237607.0611752,
1670855434.297232,1442675,37399,4,TX,1,100,1237608.5959060,1237608.5959258,
1670855435.716152,1444050,37635,4,TX,1,100,1237610.1292779,1237610.1292801,
1670855437.300182,1445585,37887,4,TX,1,100,1237611.6621350,1237611.6621558,
1670855438.756251,1446996,38123,4,TX,1,100,1237613.2035155,1237613.2035396,
1670855440.379495,1448569,38363,4,TX,1,100,1237614.7322015,1237614.7322256,
1670855441.844852,1449989,38600,4,TX,1,100,1237616.2695705,1237616.2695841,
1670855443.405147,1451501,38851,4,TX,1,100,1237617.8076271,1237617.8076406,
1670855444.988145,1453035,39093,4,TX,1,100,1237619.3334246,1237619.3334460,
1670855446.513355,1454513,39346,4,TX,1,100,1237620.8688491,1237620.8688705,
1670855447.974584,1455929,39580,4,TX,1,100,1237622.4031431,1237622.4031631,
1670855449.587508,1457492,39834,4,TX,1,100,1237623.9378774,1237623.9379056,
1670855451.080728,1458939,40075,4,TX,1,100,1237625.4728360,1237625.4728763,
1670855452.655470,1460465,40326,4,TX,1,100,1237627.0064583,1237627.0064612,
