LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670855298.614478,1311192.000,15849,1,BV,1,100,3.94
1670855299.612366,1312159.000,16000,1,BV,1,100,3.93
1670855300.606125,1313122.000,16170,1,BV,1,100,3.94
1670855301.601949,1314087.000,16319,1,BV,1,100,3.94
1670855302.599836,1315054.000,16494,1,BV,1,100,3.94
1670855303.599787,1316023.000,16642,1,BV,1,100,3.94
1670855304.600770,1316993.000,16812,1,BV,1,100,3.94
1670855305.603818,1317965.000,16981,1,BV,1,100,3.94
1670855306.602737,1318933.000,17131,1,BV,1,100,3.94
1670855307.601656,1319901.000,17291,1,BV,1,100,3.94
1670855308.599544,1320868.000,17442,1,BV,1,100,3.94
1670855309.593303,1321831.000,17609,1,BV,1,100,3.94
1670855310.587063,1322794.000,17761,1,BV,1,100,3.94
1670855311.585982,1323762.000,17931,1,BV,1,100,3.94
1670855312.582837,1324728.000,18084,1,BV,1,100,3.94
1670855313.581757,1325696.000,18236,1,BV,1,100,3.94
1670855314.580676,1326664.000,18406,1,BV,1,100,3.93
1670855315.584755,1327637.000,18554,1,BV,1,100,3.94
1670855316.582642,1328604.000,18724,1,BV,1,100,3.94
1670855317.580530,1329571.000,18883,1,BV,1,100,3.94
1670855318.577385,1330537.000,19049,1,BV,1,100,3.94
1670855319.572177,1331501.000,19203,1,BV,1,100,3.93
1670855320.568000,1332466.000,19356,1,BV,1,100,3.93
1670855321.566920,1333434.000,19522,1,BV,1,100,3.93
1670855322.564807,1334401.000,19673,1,BV,1,100,3.93
1670855323.565790,1335371.000,19829,1,BV,1,100,3.93
1670855324.564709,1336339.000,19998,1,BV,1,100,3.94
1670855325.570852,1337314.000,20149,1,BV,1,100,3.94
1670855326.567708,1338280.000,20316,1,BV,1,100,3.93
1670855327.564563,1339246.000,20468,1,BV,1,100,3.93
1670855328.557291,1340208.000,20625,1,BV,1,100,3.93
1670855329.553114,1341173.000,20792,1,BV,1,100,3.93
1670855330.549969,1342139.000,20959,1,BV,1,100,3.93
1670855331.549921,1343108.000,21112,1,BV,1,100,3.93
1670855332.554000,1344081.000,21278,1,BV,1,100,3.93
1670855333.552919,1345049.000,21434,1,BV,1,100,3.93
1670855334.554934,1346020.000,21604,1,BV,1,100,3.93
1670855335.555917,1346990.000,21753,1,BV,1,100,3.93
1670855336.552773,1347956.000,21923,1,BV,1,100,3.93
1670855337.552724,1348925.000,22075,1,BV,1,100,3.93
