LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1670855230.829342,1245505.000,4979,1,T1,1,100,27.883
1670855230.960399,1245632.000,4996,1,T1,1,100,27.843
1670855231.093519,1245761.000,5013,1,T1,1,100,27.897
1670855231.228703,1245892.000,5044,1,T1,1,100,28.026
1670855231.362856,1246022.000,5061,1,T1,1,100,27.940
1670855231.497008,1246152.000,5081,1,T1,1,100,27.903
1670855231.630129,1246281.000,5098,1,T1,1,100,27.887
1670855231.762217,1246409.000,5114,1,T1,1,100,27.951
1670855231.893274,1246536.000,5148,1,T1,1,100,27.908
1670855232.027426,1246666.000,5165,1,T1,1,100,27.960
1670855232.163642,1246798.000,5182,1,T1,1,100,27.983
1670855232.297795,1246928.000,5213,1,T1,1,100,27.886
1670855232.429883,1247056.000,5231,1,T1,1,100,27.844
1670855232.561972,1247184.000,5247,1,T1,1,100,27.862
1670855232.695092,1247313.000,5264,1,T1,1,100,27.834
1670855232.828213,1247442.000,5298,1,T1,1,100,27.928
1670855232.959269,1247569.000,5314,1,T1,1,100,27.863
1670855233.090842,1247696.500,5340,2,T1,1,100,27.870
1670855233.222414,1247824.000,5340,2,T1,1,100,27.908
1670855233.354503,1247952.000,5373,1,T1,1,100,27.889
1670855233.488655,1248082.000,5389,1,T1,1,100,27.846
1670855233.622808,1248212.000,5406,1,T1,1,100,27.862
1670855233.755928,1248341.000,5440,1,T1,1,100,27.976
1670855233.886985,1248468.000,5456,1,T1,1,100,27.954
1670855234.020105,1248597.000,5473,1,T1,1,100,27.838
1670855234.152194,1248725.000,5490,1,T1,1,100,27.859
1670855234.284282,1248853.000,5521,1,T1,1,100,27.904
1670855234.418434,1248983.000,5539,1,T1,1,100,27.923
1670855234.550523,1249111.000,5555,1,T1,1,100,27.931
1670855234.682611,1249239.000,5572,1,T1,1,100,27.970
1670855234.815732,1249368.000,5609,1,T1,1,100,27.987
1670855234.948852,1249497.000,5625,1,T1,1,100,27.994
1670855235.081973,1249626.000,5643,1,T1,1,100,27.962
1670855235.213029,1249753.000,5674,1,T1,1,100,27.984
1670855235.345118,1249881.000,5690,1,T1,1,100,27.887
1670855235.478238,1250010.000,5708,1,T1,1,100,27.915
1670855235.611359,1250139.000,5724,1,T1,1,100,27.928
1670855235.744479,1250268.000,5758,1,T1,1,100,27.827
1670855235.877600,1250397.000,5775,1,T1,1,100,27.854
1670855236.010720,1250526.000,5791,1,T1,1,100,27.937
1670855236.144872,1250656.000,5812,1,T1,1,100,27.902
1670855236.277993,1250785.000,5843,1,T1,1,100,27.922
1670855236.411113,1250914.000,5860,1,T1,1,100,27.966
1670855236.542170,1251041.000,5877,1,T1,1,100,27.844
1670855236.678386,1251173.000,5893,1,T1,1,100,27.932
1670855236.811507,1251302.000,5927,1,T1,1,100,27.935
1670855236.943595,1251430.000,5944,1,T1,1,100,27.972
1670855237.076716,1251559.000,5961,1,T1,1,100,27.952
1670855237.209836,1251688.000,5978,1,T1,1,100,27.979
1670855237.342957,1251817.000,6010,1,T1,1,100,27.920
1670855237.475045,1251945.000,6026,1,T1,1,100,27.824
1670855237.609197,1252075.000,6043,1,T1,1,100,27.888
1670855237.743350,1252205.000,6062,1,T1,1,100,27.952
1670855237.875438,1252333.000,6096,1,T1,1,100,27.908
1670855238.007527,1252461.000,6113,1,T1,1,100,27.925
1670855238.140647,1252590.000,6130,1,T1,1,100,28.003
1670855238.275316,1252720.500,6166,2,T1,1,100,28.001
1670855238.409984,1252851.000,6166,2,T1,1,100,28.001
1670855238.542072,1252979.000,6199,1,T1,1,100,28.036
1670855238.675193,1253108.000,6216,1,T1,1,100,28.015
1670855238.807281,1253236.000,6235,1,T1,1,100,27.865
1670855238.943498,1253368.000,6266,1,T1,1,100,27.906
1670855239.078682,1253499.000,6284,1,T1,1,100,27.959
