LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1670855232.310178,1246940.000,5214,1,TH,1,100,21.639
1670855232.442267,1247068.000,5232,1,TH,1,100,21.650
1670855232.575387,1247197.000,5248,1,TH,1,100,21.650
1670855232.708508,1247326.000,5265,1,TH,1,100,21.666
1670855232.840596,1247454.000,5299,1,TH,1,100,21.666
1670855232.973716,1247583.000,5315,1,TH,1,100,21.510
1670855233.104773,1247710.000,5341,1,TH,1,100,21.509
1670855233.235830,1247837.000,5356,1,TH,1,100,21.676
1670855233.367918,1247965.000,5374,1,TH,1,100,21.684
1670855233.502070,1248095.000,5390,1,TH,1,100,21.666
1670855233.636223,1248225.000,5407,1,TH,1,100,21.666
1670855233.768312,1248353.000,5441,1,TH,1,100,21.668
1670855233.900400,1248481.000,5457,1,TH,1,100,21.668
1670855234.033520,1248610.000,5474,1,TH,1,100,21.647
1670855234.165609,1248738.000,5491,1,TH,1,100,21.646
1670855234.298729,1248867.000,5522,1,TH,1,100,21.649
1670855234.431850,1248996.000,5540,1,TH,1,100,21.649
1670855234.562906,1249123.000,5556,1,TH,1,100,21.598
1670855234.696027,1249252.000,5591,1,TH,1,100,21.598
1670855234.829147,1249381.000,5610,1,TH,1,100,21.633
1670855234.962268,1249510.000,5626,1,TH,1,100,21.633
1670855235.094356,1249638.000,5644,1,TH,1,100,21.670
1670855235.227477,1249767.000,5675,1,TH,1,100,21.670
1670855235.359565,1249895.000,5691,1,TH,1,100,21.627
1670855235.491654,1250023.000,5709,1,TH,1,100,21.627
1670855235.624774,1250152.000,5725,1,TH,1,100,21.584
1670855235.757895,1250281.000,5759,1,TH,1,100,21.584
1670855235.889983,1250409.000,5776,1,TH,1,100,21.649
1670855236.024135,1250539.000,5792,1,TH,1,100,21.649
1670855236.158288,1250669.000,5813,1,TH,1,100,21.581
1670855236.292440,1250799.000,5844,1,TH,1,100,21.588
1670855236.424529,1250927.000,5861,1,TH,1,100,21.605
1670855236.556617,1251055.000,5878,1,TH,1,100,21.605
1670855236.691802,1251186.000,5894,1,TH,1,100,21.675
1670855236.823890,1251314.000,5928,1,TH,1,100,21.675
1670855236.957011,1251443.000,5945,1,TH,1,100,21.661
1670855237.090131,1251572.000,5962,1,TH,1,100,21.661
1670855237.223251,1251701.000,5979,1,TH,1,100,21.578
1670855237.355340,1251829.000,6011,1,TH,1,100,21.578
1670855237.489492,1251959.000,6027,1,TH,1,100,21.664
1670855237.623645,1252089.000,6044,1,TH,1,100,21.664
1670855237.755733,1252217.000,6081,1,TH,1,100,21.664
1670855237.888854,1252346.000,6097,1,TH,1,100,21.664
1670855238.019910,1252473.000,6114,1,TH,1,100,21.589
1670855238.154063,1252603.000,6131,1,TH,1,100,21.588
1670855238.288215,1252733.000,6167,1,TH,1,100,21.591
1670855238.423399,1252864.000,6184,1,TH,1,100,21.591
1670855238.556520,1252993.000,6200,1,TH,1,100,21.747
1670855238.688608,1253121.000,6217,1,TH,1,100,21.747
1670855238.821728,1253250.000,6236,1,TH,1,100,21.624
1670855238.956913,1253381.000,6267,1,TH,1,100,21.623
1670855239.091065,1253511.000,6285,1,TH,1,100,21.645
1670855239.224186,1253640.000,6304,1,TH,1,100,21.645
1670855239.357306,1253769.000,6336,1,TH,1,100,21.715
1670855239.488363,1253896.000,6353,1,TH,1,100,21.715
1670855239.621483,1254025.000,6369,1,TH,1,100,21.551
