LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1670855301.688632,1314171.000,16322,2,AK,1,100,RD
1670855301.709271,1314191.000,16325,2,AK,1,100,16323
1670855301.729909,1314211.000,16325,2,AK,1,100,RD
1670855304.348977,1316749.000,17170,2,AK,1,100,16323
1670855306.968044,1319287.000,17170,2,AK,1,100,RD
1670855306.997454,1319315.500,17173,2,AK,1,100,17171
1670855307.026865,1319344.000,17173,2,AK,1,100,RD
1670855309.630969,1321867.500,18015,2,AK,1,100,17171
1670855312.235073,1324391.000,18015,2,AK,1,100,RD
1670855314.885099,1326959.000,18857,2,AK,1,100,18016
1670855317.535124,1329527.000,18857,2,AK,1,100,RD
1670855317.546992,1329538.500,18859,2,AK,1,100,18016
1670855317.558859,1329550.000,18859,2,AK,1,100,RD
1670855317.572274,1329563.000,18862,2,AK,1,100,18860
1670855317.585690,1329576.000,18862,2,AK,1,100,RD
1670855320.198049,1332107.500,19694,2,AK,1,100,18860
1670855322.810409,1334639.000,19694,2,AK,1,100,RD
1670855322.838787,1334666.500,19697,2,AK,1,100,19695
1670855322.867166,1334694.000,19697,2,AK,1,100,RD
1670855325.474366,1337220.500,20537,2,AK,1,100,19695
1670855328.081566,1339747.000,20537,2,AK,1,100,RD
1670855328.107880,1339772.500,20540,2,AK,1,100,20538
1670855328.134195,1339798.000,20540,2,AK,1,100,RD
1670855330.739331,1342322.500,21383,2,AK,1,100,20538
1670855333.344467,1344847.000,21383,2,AK,1,100,RD
1670855333.357882,1344860.000,21386,2,AK,1,100,21384
1670855333.371297,1344873.000,21386,2,AK,1,100,RD
1670855335.998104,1347418.500,22227,2,AK,1,100,21384
1670855338.624911,1349964.000,22227,2,AK,1,100,RD
1670855338.646066,1349984.500,22230,2,AK,1,100,22228
1670855338.667221,1350005.000,22230,2,AK,1,100,RD
1670855341.279581,1352536.500,23075,2,AK,1,100,22228
1670855343.891940,1355068.000,23075,2,AK,1,100,RD
1670855343.904324,1355080.000,23078,2,AK,1,100,23076
1670855343.916707,1355092.000,23078,2,AK,1,100,RD
1670855346.539386,1357633.500,23920,2,AK,1,100,23076
1670855349.162065,1360175.000,23920,2,AK,1,100,RD
1670855349.174448,1360187.000,23923,2,AK,1,100,23921
1670855349.186832,1360199.000,23923,2,AK,1,100,RD
1670855351.921992,1362849.500,24779,2,AK,1,100,23921
1670855354.657153,1365500.000,24779,2,AK,1,100,RD
1670855357.305631,1368066.500,25612,2,AK,1,100,24780
1670855359.954108,1370633.000,25612,2,AK,1,100,RD
1670855359.960300,1370639.000,25614,2,AK,1,100,24780
1670855359.966492,1370645.000,25614,2,AK,1,100,RD
1670855359.978875,1370657.000,25617,2,AK,1,100,25615
1670855359.991258,1370669.000,25617,2,AK,1,100,RD
1670855362.635608,1373231.500,26461,2,AK,1,100,25615
1670855365.279958,1375794.000,26461,2,AK,1,100,RD
1670855365.292341,1375806.000,26464,2,AK,1,100,26462
1670855365.304725,1375818.000,26464,2,AK,1,100,RD
