LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1671015110.705519,122034,18636,1,SA,1,100,0.000021
1671015111.042061,122360,18722,1,SA,1,100,0.000046
1671015111.642882,122942,18776,1,SA,1,100,0.000012
1671015111.976326,123265,18848,1,SA,1,100,0.000013
1671015112.506948,123779,18921,1,SA,1,100,0.000008
1671015112.710318,123976,19008,1,SA,1,100,0.000058
1671015113.512444,124753,19111,1,SA,1,100,0.000022
1671015113.976995,125203,19200,1,SA,1,100,0.000049
1671015115.237479,126424,19374,1,SA,1,100,0.000006
1671015115.438785,126619,19451,1,SA,1,100,0.000037
1671015116.039605,127201,19540,1,SA,1,100,0.000026
1671015116.704430,127845,19644,1,SA,1,100,0.000032
1671015117.300088,128422,19715,1,SA,1,100,0.000000
1671015117.495200,128611,19786,1,SA,1,100,0.000025
1671015117.894715,128998,19907,1,SA,1,100,0.000061
1671015118.627674,129708,19960,1,SA,1,100,0.000025
1671015119.094290,130160,20018,1,SA,1,100,0.000006
1671015119.825185,130868,20172,1,SA,1,100,0.000035
1671015120.625246,131643,20294,1,SA,1,100,0.000021
1671015121.025793,132031,20357,1,SA,1,100,0.000022
1671015121.358205,132353,20391,1,SA,1,100,0.000010
1671015121.956961,132933,20516,1,SA,1,100,0.000024
1671015122.693017,133646,20706,1,SA,1,100,0.000074
1671015123.424944,134355,20741,1,SA,1,100,0.000010
1671015123.889496,134805,20849,1,SA,1,100,0.000036
1671015124.956932,135839,21024,1,SA,1,100,0.000045
1671015125.755961,136613,21162,1,SA,1,100,0.000044
1671015126.881208,137703,21345,1,SA,1,100,0.000041
1671015127.411830,138217,21398,1,SA,1,100,0.000025
1671015127.812376,138605,21470,1,SA,1,100,0.000011
1671015128.010585,138797,21506,1,SA,1,100,0.000019
1671015128.412164,139186,21646,1,SA,1,100,0.000058
1671015129.206032,139955,21700,1,SA,1,100,0.000009
1671015129.405272,140148,21735,1,SA,1,100,0.000015
1671015129.608643,140345,21824,1,SA,1,100,0.000058
1671015130.338505,141052,21894,1,SA,1,100,0.000015
1671015130.871191,141568,21984,1,SA,1,100,0.000016
1671015131.273803,141958,22054,1,SA,1,100,0.000016
1671015131.537049,142213,22114,1,SA,1,100,0.000021
1671015131.869461,142535,22170,1,SA,1,100,0.000029
1671015132.201874,142857,22237,1,SA,1,100,0.000027
1671015133.005032,143635,22380,1,SA,1,100,0.000061
1671015133.870130,144473,22484,1,SA,1,100,0.000011
1671015134.274806,144865,22591,1,SA,1,100,0.000042
1671015134.807492,145381,22644,1,SA,1,100,0.000023
1671015135.211136,145772,22731,1,SA,1,100,0.000030
1671015135.609618,146158,22785,1,SA,1,100,0.000028
1671015136.143336,146675,22875,1,SA,1,100,0.000019
1671015136.672925,147188,23001,1,SA,1,100,0.000057
1671015137.401755,147894,23091,1,SA,1,100,0.000023
1671015137.733135,148215,23126,1,SA,1,100,0.000009
1671015138.198720,148666,23248,1,SA,1,100,0.000048
1671015138.793345,149242,23320,1,SA,1,100,0.000017
1671015139.060721,149501,23390,1,SA,1,100,0.000059
1671015139.527337,149953,23496,1,SA,1,100,0.000124
1671015140.192162,150597,23533,1,SA,1,100,0.000025
1671015140.391403,150790,23620,1,SA,1,100,0.000112
1671015141.257534,151629,23725,1,SA,1,100,0.000030
