LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1671015045.126309,58509,7682,8,LM,1,100,1397282.2744771,1397282.2745169,1397282.2793365,sync_event,
1671015045.653834,59020,7766,8,LM,1,100,1397282.7753922,1397282.7754320,1397282.7798638,sync_event,
1671015046.100836,59453,7837,8,LM,1,100,1397283.2756145,1397283.2756543,1397283.2809396,sync_event,
1671015046.706817,60040,7938,8,LM,1,100,1397283.7765820,1397283.7766218,1397283.8009083,sync_event,
1671015047.243633,60560,8014,8,LM,1,100,1397284.2768357,1397284.2768521,1397284.2812957,sync_event,
1671015047.680311,60983,8083,8,LM,1,100,1397284.7771797,1397284.7771960,1397284.7815467,sync_event,
1671015048.100472,61390,8155,8,LM,1,100,1397285.2775557,1397285.2775721,1397285.2815718,sync_event,
1671015048.611479,61885,8240,8,LM,1,100,1397285.7784385,1397285.7784549,1397285.7819819,sync_event,
1671015049.128680,62386,8328,8,LM,1,100,1397286.2791962,1397286.2792092,1397286.2823189,sync_event,
1671015049.635558,62877,8412,8,LM,1,100,1397286.7797378,1397286.7797508,1397286.7827624,sync_event,
1671015050.157920,63383,8499,8,LM,1,100,1397287.2797558,1397287.2797688,1397287.2999196,sync_event,
1671015050.692671,63901,8586,8,LM,1,100,1397287.7803392,1397287.7803522,1397287.7883939,sync_event,
1671015051.319299,64508,8690,8,LM,1,100,1397288.2804691,1397288.2804912,1397288.3528351,sync_event,
1671015051.722943,64899,8758,8,LM,1,100,1397288.7807186,1397288.7807407,1397288.8006204,sync_event,
1671015052.191624,65353,8829,8,LM,1,100,1397289.2812166,1397289.2812387,1397289.3015745,sync_event,
1671015052.692307,65838,8906,8,LM,1,100,1397289.7817347,1397289.7817568,1397289.8016989,sync_event,
1671015053.125889,66258,8977,8,LM,1,100,1397290.2822033,1397290.2822417,1397290.3016953,sync_event,
1671015053.655478,66771,9064,8,LM,1,100,1397290.7821882,1397290.7822266,1397290.8020476,sync_event,
1671015054.177840,67277,9151,8,LM,1,100,1397291.2825658,1397291.2826042,1397291.3271648,sync_event,
1671015054.678524,67762,9236,8,LM,1,100,1397291.7826889,1397291.7827273,1397291.7867637,sync_event,
1671015055.196757,68264,9323,8,LM,1,100,1397292.2835855,1397292.2836191,1397292.2867549,sync_event,
