LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1671015042.121865,55598.667,7209,3,AX,1,100,-0.077
1671015042.161782,55637.333,7209,3,AX,1,100,-0.079
1671015042.201699,55676.000,7209,3,AX,1,100,-0.078
1671015042.240927,55714.000,7226,3,AX,1,100,-0.073
1671015042.280156,55752.000,7226,3,AX,1,100,-0.079
1671015042.319385,55790.000,7226,3,AX,1,100,-0.077
1671015042.359646,55829.000,7241,2,AX,1,100,-0.080
1671015042.399907,55868.000,7241,2,AX,1,100,-0.079
1671015042.439824,55906.667,7258,3,AX,1,100,-0.081
1671015042.479741,55945.333,7258,3,AX,1,100,-0.083
1671015042.519658,55984.000,7258,3,AX,1,100,-0.081
1671015042.559403,56022.500,7274,2,AX,1,100,-0.080
1671015042.599148,56061.000,7274,2,AX,1,100,-0.077
1671015042.639066,56099.667,7295,3,AX,1,100,-0.077
1671015042.678982,56138.333,7295,3,AX,1,100,-0.082
1671015042.718899,56177.000,7295,3,AX,1,100,-0.079
1671015042.763634,56220.333,7311,3,AX,1,100,-0.078
1671015042.808369,56263.667,7311,3,AX,1,100,-0.079
1671015042.853103,56307.000,7311,3,AX,1,100,-0.080
1671015042.893364,56346.000,7326,2,AX,1,100,-0.083
1671015042.933625,56385.000,7326,2,AX,1,100,-0.082
1671015042.973543,56423.667,7343,3,AX,1,100,-0.081
1671015043.013460,56462.333,7343,3,AX,1,100,-0.079
1671015043.053377,56501.000,7343,3,AX,1,100,-0.080
1671015043.091573,56538.000,7362,2,AX,1,100,-0.083
1671015043.129770,56575.000,7362,2,AX,1,100,-0.080
1671015043.169687,56613.667,7381,3,AX,1,100,-0.079
1671015043.209604,56652.333,7381,3,AX,1,100,-0.082
1671015043.249521,56691.000,7381,3,AX,1,100,-0.082
1671015043.289782,56730.000,7397,2,AX,1,100,-0.079
1671015043.330043,56769.000,7397,2,AX,1,100,-0.084
1671015043.369960,56807.667,7413,3,AX,1,100,-0.084
1671015043.409877,56846.333,7413,3,AX,1,100,-0.082
1671015043.449794,56885.000,7413,3,AX,1,100,-0.081
1671015043.489711,56923.667,7430,3,AX,1,100,-0.082
1671015043.529628,56962.333,7430,3,AX,1,100,-0.082
1671015043.569545,57001.000,7430,3,AX,1,100,-0.084
1671015043.609290,57039.500,7449,2,AX,1,100,-0.082
1671015043.649035,57078.000,7449,2,AX,1,100,-0.079
1671015043.688608,57116.333,7467,3,AX,1,100,-0.088
1671015043.728181,57154.667,7467,3,AX,1,100,-0.082
1671015043.767754,57193.000,7467,3,AX,1,100,-0.083
1671015043.807499,57231.500,7481,2,AX,1,100,-0.083
1671015043.847244,57270.000,7481,2,AX,1,100,-0.086
