LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1671015091.850916,103770,15428,4,TX,1,100,2022-12-14_12-51-31-644439,1397328.8317305,
1671015092.277271,104183,15483,4,TX,1,100,2022-12-14_12-51-32-145081,1397329.3323880,
1671015092.666462,104560,15551,4,TX,1,100,2022-12-14_12-51-32-645002,1397329.8323270,
1671015093.306511,105180,15657,4,TX,1,100,2022-12-14_12-51-33-162417,1397330.3497584,
1671015093.849520,105706,15745,4,TX,1,100,2022-12-14_12-51-33-664017,1397330.8513758,
1671015094.239744,106084,15819,4,TX,1,100,2022-12-14_12-51-34-146022,1397331.3333972,
1671015094.693972,106524,15892,4,TX,1,100,2022-12-14_12-51-34-646206,1397331.8335980,
1671015095.222529,107036,15982,4,TX,1,100,2022-12-14_12-51-35-146208,1397332.3336161,
1671015095.715986,107514,16067,4,TX,1,100,2022-12-14_12-51-35-645963,1397332.8333870,
1671015096.159891,107944,16138,4,TX,1,100,2022-12-14_12-51-36-147205,1397333.3346454,
1671015096.658509,108427,16223,4,TX,1,100,2022-12-14_12-51-36-648067,1397333.8355244,
1671015097.196357,108948,16315,4,TX,1,100,2022-12-14_12-51-37-181677,1397334.3691533,
1671015097.921058,109650,16438,4,TX,1,100,2022-12-14_12-51-37-649963,1397334.8374554,
1671015098.426903,110140,16529,4,TX,1,100,2022-12-14_12-51-38-247218,1397335.4347295,
1671015098.752089,110455,16580,4,TX,1,100,2022-12-14_12-51-38-665633,1397335.8531584,
1671015099.207350,110896,16651,4,TX,1,100,2022-12-14_12-51-39-165919,1397336.3534613,
1671015099.724550,111397,16738,4,TX,1,100,2022-12-14_12-51-39-665748,1397336.8533070,
1671015100.211813,111869,16819,4,TX,1,100,2022-12-14_12-51-40-166092,1397337.3536662,
1671015100.742435,112383,16909,4,TX,1,100,2022-12-14_12-51-40-666872,1397337.8544654,
1671015101.180146,112807,16983,4,TX,1,100,2022-12-14_12-51-41-166524,1397338.3541330,
1671015102.020468,113621,17120,4,TX,1,100,2022-12-14_12-51-41-709149,1397338.8967742,
1671015102.193901,113789,17159,4,TX,1,100,2022-12-14_12-51-42-167822,1397339.3554648,
1671015102.717296,114296,17246,4,TX,1,100,2022-12-14_12-51-42-667738,1397339.8553976,
1671015103.340827,114900,17352,4,TX,1,100,2022-12-14_12-51-43-168524,1397340.3562007,
1671015103.802282,115347,17423,4,TX,1,100,2022-12-14_12-51-43-668844,1397340.8565372,
1671015104.235863,115767,17493,4,TX,1,100,2022-12-14_12-51-44-169792,1397341.3575012,
1671015104.740676,116256,17580,4,TX,1,100,2022-12-14_12-51-44-668451,1397341.8561763,
1671015105.226907,116727,17659,4,TX,1,100,2022-12-14_12-51-45-170615,1397342.3583583,
1671015105.849406,117330,17763,4,TX,1,100,2022-12-14_12-51-45-690494,1397342.8782548,
1671015106.280923,117748,17837,4,TX,1,100,2022-12-14_12-51-46-170270,1397343.3580461,
1671015106.686631,118141,17906,4,TX,1,100,2022-12-14_12-51-46-671024,1397343.8588178,
1671015107.435076,118866,18026,4,TX,1,100,2022-12-14_12-51-47-171407,1397344.3592160,
1671015107.735486,119157,18080,4,TX,1,100,2022-12-14_12-51-47-671365,1397344.8591922,
1671015108.277463,119682,18170,4,TX,1,100,2022-12-14_12-51-48-172011,1397345.3598550,
1671015108.686268,120078,18241,4,TX,1,100,2022-12-14_12-51-48-671811,1397345.8596701,
1671015109.245795,120620,18330,4,TX,1,100,2022-12-14_12-51-49-172235,1397346.3601117,
1671015109.828033,121184,18434,4,TX,1,100,2022-12-14_12-51-49-672982,1397346.8608770,
1671015110.268841,121611,18506,4,TX,1,100,2022-12-14_12-51-50-227887,1397347.4157982,
1671015110.892373,122215,18615,4,TX,1,100,2022-12-14_12-51-50-673327,1397347.8612546,
1671015111.193815,122507,18672,4,TX,1,100,2022-12-14_12-51-51-174626,1397348.3625677,
1671015111.720307,123017,18760,4,TX,1,100,2022-12-14_12-51-51-673241,1397348.8612003,
1671015112.233378,123514,18846,4,TX,1,100,2022-12-14_12-51-52-174720,1397349.3626974,
1671015112.691736,123958,18920,4,TX,1,100,2022-12-14_12-51-52-675080,1397349.8630743,
1671015113.245069,124494,19007,4,TX,1,100,2022-12-14_12-51-53-174423,1397350.3624338,
1671015113.745752,124979,19094,4,TX,1,100,2022-12-14_12-51-53-676726,1397350.8647529,
1671015114.292891,125509,19183,4,TX,1,100,2022-12-14_12-51-54-196388,1397351.3844326,
1671015114.701696,125905,19254,4,TX,1,100,2022-12-14_12-51-54-676138,1397351.8641984,
1671015115.199283,126387,19340,4,TX,1,100,2022-12-14_12-51-55-176479,1397352.3645563,
1671015115.737130,126908,19428,4,TX,1,100,2022-12-14_12-51-55-676758,1397352.8648503,
1671015116.207876,127364,19505,4,TX,1,100,2022-12-14_12-51-56-176620,1397353.3647311,
1671015116.796308,127934,19609,4,TX,1,100,2022-12-14_12-51-56-678525,1397353.8666506,
1671015117.232987,128357,19681,4,TX,1,100,2022-12-14_12-51-57-177850,1397354.3659940,
1671015117.755349,128863,19768,4,TX,1,100,2022-12-14_12-51-57-678392,1397354.8665530,
1671015118.278744,129370,19857,4,TX,1,100,2022-12-14_12-51-58-178305,1397355.3664824,
1671015118.798010,129873,19944,4,TX,1,100,2022-12-14_12-51-58-740234,1397355.9284303,
1671015119.232623,130294,20017,4,TX,1,100,2022-12-14_12-51-59-195800,1397356.3840112,
