LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1671015037.700021,51315.333,6470,3,PI,1,100,150142
1671015037.740626,51354.667,6470,3,PI,1,100,150130
1671015037.781231,51394.000,6470,3,PI,1,100,150135
1671015037.821148,51432.667,6487,3,PI,1,100,150128
1671015037.861065,51471.333,6487,3,PI,1,100,150127
1671015037.900983,51510.000,6487,3,PI,1,100,150119
1671015037.940727,51548.500,6501,2,PI,1,100,150131
1671015037.980473,51587.000,6501,2,PI,1,100,150106
1671015038.020046,51625.333,6519,3,PI,1,100,150085
1671015038.059618,51663.667,6519,3,PI,1,100,150084
1671015038.099191,51702.000,6519,3,PI,1,100,150083
1671015038.138936,51740.500,6540,2,PI,1,100,150086
1671015038.178681,51779.000,6540,2,PI,1,100,150072
1671015038.218942,51818.000,6557,3,PI,1,100,150054
1671015038.259203,51857.000,6557,3,PI,1,100,150058
1671015038.299465,51896.000,6557,3,PI,1,100,150071
1671015038.340070,51935.333,6574,3,PI,1,100,150054
1671015038.380675,51974.667,6574,3,PI,1,100,150060
1671015038.421280,52014.000,6574,3,PI,1,100,150055
1671015038.462058,52053.500,6589,2,PI,1,100,150058
1671015038.502835,52093.000,6589,2,PI,1,100,150056
1671015038.542752,52131.667,6608,3,PI,1,100,150064
1671015038.582669,52170.333,6608,3,PI,1,100,150044
1671015038.622586,52209.000,6608,3,PI,1,100,150051
1671015038.662847,52248.000,6626,2,PI,1,100,150051
1671015038.703108,52287.000,6626,2,PI,1,100,150068
1671015038.741649,52324.333,6642,3,PI,1,100,150048
1671015038.780190,52361.667,6642,3,PI,1,100,150050
1671015038.818730,52399.000,6642,3,PI,1,100,150057
1671015038.858647,52437.667,6660,3,PI,1,100,150071
1671015038.898564,52476.333,6660,3,PI,1,100,150059
1671015038.938481,52515.000,6660,3,PI,1,100,150072
1671015038.979259,52554.500,6676,2,PI,1,100,150071
1671015039.020036,52594.000,6676,2,PI,1,100,150075
1671015039.060985,52633.667,6695,3,PI,1,100,150082
1671015039.101935,52673.333,6695,3,PI,1,100,150081
1671015039.142884,52713.000,6695,3,PI,1,100,150073
1671015039.183145,52752.000,6714,2,PI,1,100,150085
1671015039.223406,52791.000,6714,2,PI,1,100,150093
1671015039.267797,52834.000,6731,3,PI,1,100,150087
1671015039.312187,52877.000,6731,3,PI,1,100,150089
1671015039.356578,52920.000,6731,3,PI,1,100,150093
1671015039.396323,52958.500,6746,2,PI,1,100,150089
1671015039.436068,52997.000,6746,2,PI,1,100,150104
1671015039.475641,53035.333,6763,3,PI,1,100,150104
1671015039.515213,53073.667,6763,3,PI,1,100,150106
1671015039.554786,53112.000,6763,3,PI,1,100,150102
1671015039.594015,53150.000,6782,3,PI,1,100,150110
1671015039.633244,53188.000,6782,3,PI,1,100,150107
1671015039.672473,53226.000,6782,3,PI,1,100,150105
1671015039.712734,53265.000,6800,2,PI,1,100,150103
1671015039.752995,53304.000,6800,2,PI,1,100,150110
1671015039.793256,53343.000,6815,3,PI,1,100,150110
1671015039.833518,53382.000,6815,3,PI,1,100,150111
1671015039.873779,53421.000,6815,3,PI,1,100,150118
1671015039.914556,53460.500,6831,2,PI,1,100,150122
1671015039.955333,53500.000,6831,2,PI,1,100,150137
1671015039.995250,53538.667,6848,3,PI,1,100,150126
1671015040.035167,53577.333,6848,3,PI,1,100,150139
1671015040.075084,53616.000,6848,3,PI,1,100,150141
1671015040.114657,53654.333,6870,3,PI,1,100,150138
1671015040.154230,53692.667,6870,3,PI,1,100,150149
1671015040.193803,53731.000,6870,3,PI,1,100,150135
1671015040.233032,53769.000,6886,2,PI,1,100,150142
1671015040.272261,53807.000,6886,2,PI,1,100,150150
1671015040.312178,53845.667,6902,3,PI,1,100,150154
1671015040.352095,53884.333,6902,3,PI,1,100,150167
1671015040.392012,53923.000,6902,3,PI,1,100,150161
1671015040.432273,53962.000,6918,2,PI,1,100,150173
1671015040.472534,54001.000,6918,2,PI,1,100,150192
1671015040.512795,54040.000,6938,3,PI,1,100,150215
1671015040.553056,54079.000,6938,3,PI,1,100,150205
1671015040.593318,54118.000,6938,3,PI,1,100,150220
1671015040.633579,54157.000,6955,3,PI,1,100,150204
1671015040.673840,54196.000,6955,3,PI,1,100,150211
1671015040.714101,54235.000,6955,3,PI,1,100,150215
1671015040.753846,54273.500,6972,2,PI,1,100,150217
1671015040.793591,54312.000,6972,2,PI,1,100,150210
1671015040.836949,54354.000,6986,3,PI,1,100,150225
1671015040.880307,54396.000,6986,3,PI,1,100,150221
1671015040.923665,54438.000,6986,3,PI,1,100,150206
1671015040.963410,54476.500,7003,2,PI,1,100,150220
1671015041.003155,54515.000,7003,2,PI,1,100,150219
1671015041.042384,54553.000,7025,3,PI,1,100,150219
1671015041.081613,54591.000,7025,3,PI,1,100,150232
1671015041.120842,54629.000,7025,3,PI,1,100,150231
1671015041.161103,54668.000,7042,3,PI,1,100,150226
1671015041.201364,54707.000,7042,3,PI,1,100,150217
1671015041.241625,54746.000,7042,3,PI,1,100,150231
1671015041.282403,54785.500,7058,2,PI,1,100,150214
1671015041.323180,54825.000,7058,2,PI,1,100,150215
1671015041.363785,54864.333,7074,3,PI,1,100,150215
1671015041.404390,54903.667,7074,3,PI,1,100,150233
1671015041.444996,54943.000,7074,3,PI,1,100,150227
1671015041.484740,54981.500,7090,2,PI,1,100,150225
1671015041.524486,55020.000,7090,2,PI,1,100,150233
1671015041.564747,55059.000,7110,3,PI,1,100,150254
1671015041.605008,55098.000,7110,3,PI,1,100,150254
1671015041.645269,55137.000,7110,3,PI,1,100,150258
1671015041.684842,55175.333,7127,3,PI,1,100,150256
1671015041.724415,55213.667,7127,3,PI,1,100,150251
1671015041.763988,55252.000,7127,3,PI,1,100,150268
1671015041.803733,55290.500,7147,2,PI,1,100,150263
1671015041.843478,55329.000,7147,2,PI,1,100,150274
1671015041.883395,55367.667,7163,3,PI,1,100,150264
1671015041.923312,55406.333,7163,3,PI,1,100,150281
1671015041.963229,55445.000,7163,3,PI,1,100,150268
