LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1671015069.215894,81844,11636,4,TX,1,100,1397306.2979216,1397306.2979494,
1671015069.734127,82346,11724,4,TX,1,100,1397306.7988778,1397306.7989056,
1671015070.150159,82749,11795,4,TX,1,100,1397307.2997130,1397307.2997408,
1671015070.652907,83236,11880,4,TX,1,100,1397307.7999069,1397307.7999347,
1671015071.174237,83741,11967,4,TX,1,100,1397308.3000189,1397308.3000368,
1671015071.686277,84237,12053,4,TX,1,100,1397308.8003171,1397308.8003350,
1671015072.206574,84741,12143,4,TX,1,100,1397309.3013094,1397309.3013273,
1671015072.671126,85191,12211,4,TX,1,100,1397309.8021317,1397309.8021496,
1671015073.198650,85702,12301,4,TX,1,100,1397310.3025156,1397310.3025117,
1671015073.730304,86217,12394,4,TX,1,100,1397310.8031270,1397310.8031231,
1671015074.150465,86624,12465,4,TX,1,100,1397311.3033842,1397311.3033803,
1671015074.655278,87113,12550,4,TX,1,100,1397311.8044475,1397311.8044436,
1671015075.275712,87714,12657,4,TX,1,100,1397312.3053697,1397312.3054013,
1671015075.801172,88223,12745,4,TX,1,100,1397312.8061192,1397312.8061508,
1671015076.530002,88929,12865,4,TX,1,100,1397313.3063540,1397313.3063857,
1671015076.670400,89065,12885,4,TX,1,100,1397313.8072918,1397313.8073235,
1671015077.207215,89585,12975,4,TX,1,100,1397314.3079559,1397314.3079826,
1671015077.722351,90084,13061,4,TX,1,100,1397314.8089157,1397314.8089424,
1671015078.216841,90563,13148,4,TX,1,100,1397315.3097986,1397315.3098253,
1671015078.730945,91061,13236,4,TX,1,100,1397315.8100776,1397315.8101043,
1671015079.290471,91603,13314,4,TX,1,100,1397316.3107767,1397316.3107806,
1671015079.656951,91958,13368,4,TX,1,100,1397316.8113494,1397316.8113533,
1671015080.182410,92467,13458,4,TX,1,100,1397317.3122230,1397317.3122269,
1671015080.764648,93031,13559,4,TX,1,100,1397317.8125144,1397317.8125183,
1671015081.283914,93534,13650,4,TX,1,100,1397318.3134399,1397318.3134483,
1671015081.730916,93967,13721,4,TX,1,100,1397318.8133370,1397318.8133454,
1671015082.249149,94469,13810,4,TX,1,100,1397319.3136794,1397319.3136878,
1671015082.675504,94882,13882,4,TX,1,100,1397319.8144905,1397319.8144989,
1671015083.271163,95459,13987,4,TX,1,100,1397320.3153674,1397320.3153874,
1671015083.753264,95926,14058,4,TX,1,100,1397320.8161572,1397320.8161772,
1671015084.177555,96337,14134,4,TX,1,100,1397321.3163694,1397321.3163894,
1671015084.676173,96820,14220,4,TX,1,100,1397321.8165226,1397321.8165426,
1671015085.496881,97615,14360,4,TX,1,100,1397322.3173486,1397322.3173916,
1671015085.830326,97938,14413,4,TX,1,100,1397322.8180789,1397322.8181219,
1671015086.297975,98391,14488,4,TX,1,100,1397323.3189484,1397323.3189914,
1671015086.720201,98800,14557,4,TX,1,100,1397323.8197827,1397323.8198257,
1671015087.315859,99377,14662,4,TX,1,100,1397324.3197976,1397324.3198440,
1671015087.725697,99774,14730,4,TX,1,100,1397324.8207513,1397324.8207977,
1671015088.155149,100190,14803,4,TX,1,100,1397325.3215633,1397325.3216097,
1671015088.665124,100684,14887,4,TX,1,100,1397325.8221768,1397325.8222232,
1671015089.184389,101187,14978,4,TX,1,100,1397326.3226094,1397326.3226609,
1671015089.694364,101681,15054,4,TX,1,100,1397326.8232746,1397326.8233261,
1671015090.306540,102274,15161,4,TX,1,100,1397327.3237895,1397327.3238411,
1671015090.707087,102662,15232,4,TX,1,100,1397327.8239595,1397327.8240111,
1671015091.228417,103167,15323,4,TX,1,100,1397328.3240807,1397328.3241014,
1671015091.848851,103768,15427,4,TX,1,100,1397328.8247768,1397328.8247975,
1671015092.275206,104181,15482,4,TX,1,100,1397329.3255054,1397329.3255261,
1671015092.663365,104557,15550,4,TX,1,100,1397329.8264743,1397329.8264950,
1671015093.304446,105178,15656,4,TX,1,100,1397330.3267818,1397330.3267893,
1671015093.848488,105705,15744,4,TX,1,100,1397330.8274516,1397330.8274591,
1671015094.237679,106082,15818,4,TX,1,100,1397331.3275467,1397331.3275542,
1671015094.691907,106522,15891,4,TX,1,100,1397331.8276855,1397331.8276930,
1671015095.220464,107034,15981,4,TX,1,100,1397332.3276406,1397332.3276533,
1671015095.712889,107511,16066,4,TX,1,100,1397332.8281092,1397332.8281219,
1671015096.157826,107942,16137,4,TX,1,100,1397333.3287142,1397333.3287269,
1671015096.656445,108425,16222,4,TX,1,100,1397333.8296021,1397333.8296148,
1671015097.194292,108946,16314,4,TX,1,100,1397334.3302202,1397334.3302168,
1671015097.917961,109647,16437,4,TX,1,100,1397334.8304737,1397334.8304703,
1671015098.423806,110137,16528,4,TX,1,100,1397335.3306725,1397335.3306691,
1671015098.750024,110453,16579,4,TX,1,100,1397335.8311122,1397335.8311088,
1671015099.205285,110894,16650,4,TX,1,100,1397336.3315207,1397336.3315391,
1671015099.722486,111395,16737,4,TX,1,100,1397336.8323640,1397336.8323824,
1671015100.209749,111867,16818,4,TX,1,100,1397337.3327763,1397337.3327947,
1671015100.739338,112380,16908,4,TX,1,100,1397337.8334845,1397337.8335029,
1671015101.178081,112805,16982,4,TX,1,100,1397338.3341922,1397338.3342013,
1671015102.018403,113619,17119,4,TX,1,100,1397338.8350221,1397338.8350312,
1671015102.191836,113787,17158,4,TX,1,100,1397339.3355599,1397339.3355690,
1671015102.715231,114294,17245,4,TX,1,100,1397339.8365022,1397339.8365113,
1671015103.338763,114898,17351,4,TX,1,100,1397340.3372693,1397340.3372482,
1671015103.799185,115344,17422,4,TX,1,100,1397340.8375695,1397340.8375484,
1671015104.233799,115765,17492,4,TX,1,100,1397341.3375910,1397341.3375700,
1671015104.738611,116254,17579,4,TX,1,100,1397341.8386312,1397341.8386101,
1671015105.224842,116725,17658,4,TX,1,100,1397342.3394588,1397342.3394669,
1671015105.847342,117328,17762,4,TX,1,100,1397342.8402099,1397342.8402180,
1671015106.278858,117746,17836,4,TX,1,100,1397343.3411279,1397343.3411360,
1671015106.684567,118139,17905,4,TX,1,100,1397343.8418604,1397343.8418685,
1671015107.433011,118864,18025,4,TX,1,100,1397344.3422566,1397344.3422677,
1671015107.733421,119155,18079,4,TX,1,100,1397344.8426360,1397344.8426471,
1671015108.274366,119679,18169,4,TX,1,100,1397345.3428845,1397345.3428956,
1671015108.684204,120076,18240,4,TX,1,100,1397345.8437512,1397345.8437623,
1671015109.243730,120618,18329,4,TX,1,100,1397346.3441529,1397346.3441561,
1671015109.825968,121182,18433,4,TX,1,100,1397346.8449749,1397346.8449782,
1671015110.266776,121609,18505,4,TX,1,100,1397347.3459610,1397347.3459642,
