LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1671015037.861065,51471.333,6488,3,PR,1,100,149360
1671015037.900983,51510.000,6488,3,PR,1,100,149367
1671015037.940727,51548.500,6502,2,PR,1,100,149367
1671015037.980473,51587.000,6502,2,PR,1,100,149360
1671015038.020046,51625.333,6520,3,PR,1,100,149377
1671015038.059618,51663.667,6520,3,PR,1,100,149372
1671015038.099191,51702.000,6520,3,PR,1,100,149371
1671015038.138936,51740.500,6541,2,PR,1,100,149377
1671015038.178681,51779.000,6541,2,PR,1,100,149391
1671015038.218942,51818.000,6558,3,PR,1,100,149398
1671015038.259203,51857.000,6558,3,PR,1,100,149386
1671015038.299465,51896.000,6558,3,PR,1,100,149388
1671015038.340070,51935.333,6575,3,PR,1,100,149391
1671015038.380675,51974.667,6575,3,PR,1,100,149393
1671015038.421280,52014.000,6575,3,PR,1,100,149381
1671015038.462058,52053.500,6590,2,PR,1,100,149381
1671015038.502835,52093.000,6590,2,PR,1,100,149378
1671015038.542752,52131.667,6609,3,PR,1,100,149392
1671015038.582669,52170.333,6609,3,PR,1,100,149386
1671015038.622586,52209.000,6609,3,PR,1,100,149384
1671015038.662847,52248.000,6627,2,PR,1,100,149384
1671015038.703108,52287.000,6627,2,PR,1,100,149388
1671015038.741649,52324.333,6643,3,PR,1,100,149394
1671015038.780190,52361.667,6643,3,PR,1,100,149399
1671015038.818730,52399.000,6643,3,PR,1,100,149398
1671015038.858647,52437.667,6661,3,PR,1,100,149397
1671015038.898564,52476.333,6661,3,PR,1,100,149393
1671015038.938481,52515.000,6661,3,PR,1,100,149410
1671015038.979259,52554.500,6677,2,PR,1,100,149391
1671015039.020036,52594.000,6677,2,PR,1,100,149409
1671015039.060985,52633.667,6696,3,PR,1,100,149401
1671015039.101935,52673.333,6696,3,PR,1,100,149419
1671015039.142884,52713.000,6696,3,PR,1,100,149418
1671015039.183145,52752.000,6715,2,PR,1,100,149418
1671015039.223406,52791.000,6715,2,PR,1,100,149424
1671015039.267797,52834.000,6732,3,PR,1,100,149431
1671015039.312187,52877.000,6732,3,PR,1,100,149420
1671015039.356578,52920.000,6732,3,PR,1,100,149424
1671015039.396323,52958.500,6747,2,PR,1,100,149421
1671015039.436068,52997.000,6747,2,PR,1,100,149435
1671015039.475641,53035.333,6764,3,PR,1,100,149429
1671015039.515213,53073.667,6764,3,PR,1,100,149445
1671015039.554786,53112.000,6764,3,PR,1,100,149441
1671015039.594015,53150.000,6783,3,PR,1,100,149435
1671015039.633244,53188.000,6783,3,PR,1,100,149449
1671015039.672473,53226.000,6783,3,PR,1,100,149458
1671015039.712734,53265.000,6801,2,PR,1,100,149444
1671015039.752995,53304.000,6801,2,PR,1,100,149453
1671015039.793256,53343.000,6816,3,PR,1,100,149454
1671015039.833518,53382.000,6816,3,PR,1,100,149462
1671015039.873779,53421.000,6816,3,PR,1,100,149457
1671015039.914556,53460.500,6832,2,PR,1,100,149458
1671015039.955333,53500.000,6832,2,PR,1,100,149455
1671015039.995250,53538.667,6849,3,PR,1,100,149471
1671015040.035167,53577.333,6849,3,PR,1,100,149469
1671015040.075084,53616.000,6849,3,PR,1,100,149475
1671015040.114657,53654.333,6871,3,PR,1,100,149477
1671015040.154230,53692.667,6871,3,PR,1,100,149482
1671015040.193803,53731.000,6871,3,PR,1,100,149486
1671015040.233032,53769.000,6887,2,PR,1,100,149482
1671015040.272261,53807.000,6887,2,PR,1,100,149482
1671015040.312178,53845.667,6903,3,PR,1,100,149494
1671015040.352095,53884.333,6903,3,PR,1,100,149499
1671015040.392012,53923.000,6903,3,PR,1,100,149492
1671015040.432273,53962.000,6919,2,PR,1,100,149498
1671015040.472534,54001.000,6919,2,PR,1,100,149507
1671015040.512795,54040.000,6939,3,PR,1,100,149510
1671015040.553056,54079.000,6939,3,PR,1,100,149517
1671015040.593318,54118.000,6939,3,PR,1,100,149508
1671015040.633579,54157.000,6956,3,PR,1,100,149519
1671015040.673840,54196.000,6956,3,PR,1,100,149527
1671015040.714101,54235.000,6956,3,PR,1,100,149531
1671015040.753846,54273.500,6973,2,PR,1,100,149540
1671015040.793591,54312.000,6973,2,PR,1,100,149536
1671015040.836949,54354.000,6987,3,PR,1,100,149540
1671015040.880307,54396.000,6987,3,PR,1,100,149535
1671015040.923665,54438.000,6987,3,PR,1,100,149547
1671015040.963410,54476.500,7004,2,PR,1,100,149537
1671015041.003155,54515.000,7004,2,PR,1,100,149538
1671015041.042384,54553.000,7026,3,PR,1,100,149537
1671015041.081613,54591.000,7026,3,PR,1,100,149553
1671015041.120842,54629.000,7026,3,PR,1,100,149543
1671015041.161103,54668.000,7043,3,PR,1,100,149549
1671015041.201364,54707.000,7043,3,PR,1,100,149543
1671015041.241625,54746.000,7043,3,PR,1,100,149543
1671015041.282403,54785.500,7059,2,PR,1,100,149550
1671015041.323180,54825.000,7059,2,PR,1,100,149532
1671015041.363785,54864.333,7075,3,PR,1,100,149537
1671015041.404390,54903.667,7075,3,PR,1,100,149550
1671015041.444996,54943.000,7075,3,PR,1,100,149541
1671015041.484740,54981.500,7091,2,PR,1,100,149553
1671015041.524486,55020.000,7091,2,PR,1,100,149553
1671015041.564747,55059.000,7111,3,PR,1,100,149549
1671015041.605008,55098.000,7111,3,PR,1,100,149556
1671015041.645269,55137.000,7111,3,PR,1,100,149570
1671015041.684842,55175.333,7128,3,PR,1,100,149565
1671015041.724415,55213.667,7128,3,PR,1,100,149553
1671015041.763988,55252.000,7128,3,PR,1,100,149556
