LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1671015036.766444,50411.000,6315,2,PG,1,100,14979
1671015036.807738,50451.000,6315,2,PG,1,100,14997
1671015036.847999,50490.000,6329,3,PG,1,100,14984
1671015036.888260,50529.000,6329,3,PG,1,100,14983
1671015036.928521,50568.000,6329,3,PG,1,100,14992
1671015036.968438,50606.667,6347,3,PG,1,100,14992
1671015037.008355,50645.333,6347,3,PG,1,100,14991
1671015037.048272,50684.000,6347,3,PG,1,100,14992
1671015037.088017,50722.500,6368,2,PG,1,100,14983
1671015037.127762,50761.000,6368,2,PG,1,100,14998
1671015037.168023,50800.000,6385,3,PG,1,100,14996
1671015037.208284,50839.000,6385,3,PG,1,100,14995
1671015037.248546,50878.000,6385,3,PG,1,100,14992
1671015037.287258,50915.500,6401,2,PG,1,100,14997
1671015037.325971,50953.000,6401,2,PG,1,100,14998
1671015037.365544,50991.333,6417,3,PG,1,100,14997
1671015037.405117,51029.667,6417,3,PG,1,100,14995
1671015037.444690,51068.000,6417,3,PG,1,100,14997
1671015037.484607,51106.667,6433,3,PG,1,100,14993
1671015037.524524,51145.333,6433,3,PG,1,100,14991
1671015037.564441,51184.000,6433,3,PG,1,100,14988
1671015037.611928,51230.000,6453,2,PG,1,100,14985
1671015037.659416,51276.000,6453,2,PG,1,100,14983
1671015037.700021,51315.333,6472,3,PG,1,100,14983
1671015037.740626,51354.667,6472,3,PG,1,100,14987
1671015037.781231,51394.000,6472,3,PG,1,100,14978
1671015037.821148,51432.667,6489,3,PG,1,100,14990
1671015037.861065,51471.333,6489,3,PG,1,100,14983
1671015037.900983,51510.000,6489,3,PG,1,100,14985
1671015037.940727,51548.500,6503,2,PG,1,100,14990
1671015037.980473,51587.000,6503,2,PG,1,100,14994
1671015038.020046,51625.333,6521,3,PG,1,100,14988
1671015038.059618,51663.667,6521,3,PG,1,100,14986
1671015038.099191,51702.000,6521,3,PG,1,100,14982
1671015038.138936,51740.500,6542,2,PG,1,100,14998
1671015038.178681,51779.000,6542,2,PG,1,100,14988
1671015038.218942,51818.000,6559,3,PG,1,100,14992
1671015038.259203,51857.000,6559,3,PG,1,100,14989
1671015038.299465,51896.000,6559,3,PG,1,100,14997
1671015038.340070,51935.333,6576,3,PG,1,100,14987
1671015038.380675,51974.667,6576,3,PG,1,100,14993
1671015038.421280,52014.000,6576,3,PG,1,100,14987
1671015038.462058,52053.500,6591,2,PG,1,100,15005
1671015038.502835,52093.000,6591,2,PG,1,100,14988
1671015038.542752,52131.667,6610,3,PG,1,100,14988
1671015038.582669,52170.333,6610,3,PG,1,100,14979
1671015038.622586,52209.000,6610,3,PG,1,100,14985
1671015038.662847,52248.000,6628,2,PG,1,100,14977
1671015038.703108,52287.000,6628,2,PG,1,100,14986
1671015038.741649,52324.333,6644,3,PG,1,100,14978
1671015038.780190,52361.667,6644,3,PG,1,100,14990
1671015038.818730,52399.000,6644,3,PG,1,100,14985
