LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1671015037.874142,51484.000,6493,2,AY,1,100,-0.884
1671015037.914059,51522.667,6509,3,AY,1,100,-0.891
1671015037.953976,51561.333,6509,3,AY,1,100,-0.875
1671015037.993893,51600.000,6509,3,AY,1,100,-0.878
1671015038.033466,51638.333,6527,3,AY,1,100,-0.886
1671015038.073039,51676.667,6527,3,AY,1,100,-0.882
1671015038.112612,51715.000,6527,3,AY,1,100,-0.877
1671015038.152357,51753.500,6548,2,AY,1,100,-0.863
1671015038.192101,51792.000,6548,2,AY,1,100,-0.884
1671015038.236836,51835.333,6565,3,AY,1,100,-0.873
1671015038.281571,51878.667,6565,3,AY,1,100,-0.879
1671015038.326305,51922.000,6565,3,AY,1,100,-0.870
1671015038.367083,51961.500,6580,2,AY,1,100,-0.883
1671015038.407860,52001.000,6580,2,AY,1,100,-0.867
1671015038.448465,52040.333,6597,3,AY,1,100,-0.876
1671015038.489070,52079.667,6597,3,AY,1,100,-0.881
1671015038.529676,52119.000,6597,3,AY,1,100,-0.874
1671015038.569421,52157.500,6616,2,AY,1,100,-0.868
1671015038.609166,52196.000,6616,2,AY,1,100,-0.885
1671015038.648739,52234.333,6634,3,AY,1,100,-0.886
1671015038.688312,52272.667,6634,3,AY,1,100,-0.876
1671015038.727885,52311.000,6634,3,AY,1,100,-0.869
1671015038.767113,52349.000,6649,2,AY,1,100,-0.875
1671015038.806342,52387.000,6649,2,AY,1,100,-0.874
1671015038.846259,52425.667,6667,3,AY,1,100,-0.874
1671015038.886176,52464.333,6667,3,AY,1,100,-0.883
1671015038.926093,52503.000,6667,3,AY,1,100,-0.877
1671015038.966698,52542.333,6684,3,AY,1,100,-0.877
1671015039.007304,52581.667,6684,3,AY,1,100,-0.878
1671015039.047909,52621.000,6684,3,AY,1,100,-0.869
1671015039.088686,52660.500,6703,2,AY,1,100,-0.881
1671015039.129464,52700.000,6703,2,AY,1,100,-0.869
1671015039.169725,52739.000,6722,3,AY,1,100,-0.885
1671015039.209986,52778.000,6722,3,AY,1,100,-0.880
1671015039.250247,52817.000,6722,3,AY,1,100,-0.868
1671015039.289992,52855.500,6737,2,AY,1,100,-0.868
1671015039.329737,52894.000,6737,2,AY,1,100,-0.880
1671015039.374127,52937.000,6754,3,AY,1,100,-0.879
1671015039.418518,52980.000,6754,3,AY,1,100,-0.863
1671015039.462909,53023.000,6754,3,AY,1,100,-0.873
1671015039.502653,53061.500,6771,2,AY,1,100,-0.876
1671015039.542398,53100.000,6771,2,AY,1,100,-0.879
1671015039.581627,53138.000,6790,3,AY,1,100,-0.884
1671015039.620856,53176.000,6790,3,AY,1,100,-0.863
1671015039.660085,53214.000,6790,3,AY,1,100,-0.874
1671015039.700346,53253.000,6807,2,AY,1,100,-0.870
1671015039.740607,53292.000,6807,2,AY,1,100,-0.870
1671015039.780524,53330.667,6822,3,AY,1,100,-0.878
1671015039.820441,53369.333,6822,3,AY,1,100,-0.874
1671015039.860358,53408.000,6822,3,AY,1,100,-0.874
1671015039.900964,53447.333,6839,3,AY,1,100,-0.879
1671015039.941569,53486.667,6839,3,AY,1,100,-0.870
1671015039.982174,53526.000,6839,3,AY,1,100,-0.874
1671015040.021919,53564.500,6856,2,AY,1,100,-0.882
1671015040.061664,53603.000,6856,2,AY,1,100,-0.882
1671015040.101925,53642.000,6878,3,AY,1,100,-0.874
1671015040.142186,53681.000,6878,3,AY,1,100,-0.871
1671015040.182447,53720.000,6878,3,AY,1,100,-0.869
1671015040.221676,53758.000,6892,3,AY,1,100,-0.871
1671015040.260905,53796.000,6892,3,AY,1,100,-0.882
1671015040.300134,53834.000,6892,3,AY,1,100,-0.877
1671015040.339879,53872.500,6910,2,AY,1,100,-0.868
