LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1671015112.710318,123976,19009,1,SR,1,100,0.400000
1671015113.512444,124753,19112,1,SR,1,100,0.200000
1671015113.976995,125203,19201,1,SR,1,100,0.333333
1671015115.237479,126424,19375,1,SR,1,100,0.066667
1671015115.438785,126619,19452,1,SR,1,100,0.333333
1671015116.039605,127201,19541,1,SR,1,100,0.266667
1671015116.704430,127845,19645,1,SR,1,100,0.200000
1671015117.300088,128422,19716,1,SR,1,100,0.066667
1671015117.495200,128611,19787,1,SR,1,100,0.266667
1671015117.894715,128998,19908,1,SR,1,100,0.600000
1671015118.627674,129708,19961,1,SR,1,100,0.200000
1671015119.094290,130160,20019,1,SR,1,100,0.066667
1671015119.825185,130868,20173,1,SR,1,100,0.266667
1671015120.625246,131643,20295,1,SR,1,100,0.133333
1671015121.025793,132031,20358,1,SR,1,100,0.200000
1671015121.358205,132353,20392,1,SR,1,100,0.066667
1671015121.956961,132933,20517,1,SR,1,100,0.200000
1671015122.693017,133646,20707,1,SR,1,100,0.600000
1671015123.424944,134355,20742,1,SR,1,100,0.066667
1671015123.889496,134805,20850,1,SR,1,100,0.266667
1671015124.956932,135839,21025,1,SR,1,100,0.266667
1671015125.755961,136613,21163,1,SR,1,100,0.333333
1671015126.881208,137703,21346,1,SR,1,100,0.266667
1671015127.411830,138217,21399,1,SR,1,100,0.133333
1671015127.812376,138605,21471,1,SR,1,100,0.066667
1671015128.010585,138797,21507,1,SR,1,100,0.133333
1671015128.412164,139186,21647,1,SR,1,100,0.533333
1671015129.206032,139955,21701,1,SR,1,100,0.066667
1671015129.405272,140148,21736,1,SR,1,100,0.066667
1671015129.608643,140345,21825,1,SR,1,100,0.466667
1671015130.338505,141052,21895,1,SR,1,100,0.133333
1671015130.871191,141568,21985,1,SR,1,100,0.133333
1671015131.273803,141958,22055,1,SR,1,100,0.133333
1671015131.537049,142213,22115,1,SR,1,100,0.200000
1671015131.869461,142535,22171,1,SR,1,100,0.200000
1671015132.201874,142857,22238,1,SR,1,100,0.266667
1671015133.005032,143635,22381,1,SR,1,100,0.333333
1671015133.870130,144473,22485,1,SR,1,100,0.133333
1671015134.274806,144865,22592,1,SR,1,100,0.266667
1671015134.807492,145381,22645,1,SR,1,100,0.133333
1671015135.211136,145772,22732,1,SR,1,100,0.266667
1671015135.609618,146158,22786,1,SR,1,100,0.133333
1671015136.143336,146675,22876,1,SR,1,100,0.133333
1671015136.672925,147188,23002,1,SR,1,100,0.466667
1671015137.401755,147894,23092,1,SR,1,100,0.200000
1671015137.733135,148215,23127,1,SR,1,100,0.066667
1671015138.198720,148666,23249,1,SR,1,100,0.333333
1671015138.793345,149242,23321,1,SR,1,100,0.133333
1671015139.060721,149501,23391,1,SR,1,100,0.333333
1671015139.527337,149953,23497,1,SR,1,100,0.533333
1671015140.192162,150597,23534,1,SR,1,100,0.066667
1671015140.391403,150790,23621,1,SR,1,100,0.333333
1671015141.257534,151629,23726,1,SR,1,100,0.133333
1671015141.653951,152013,23782,1,SR,1,100,0.066667
1671015141.855257,152208,23847,1,SR,1,100,0.133333
1671015142.388975,152725,23917,1,SR,1,100,0.133333
1671015142.925791,153245,24027,1,SR,1,100,0.266667
1671015143.457444,153760,24078,1,SR,1,100,0.066667
