LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1671015040.021919,53564.500,6858,2,GX,1,100,-0.458
1671015040.061664,53603.000,6858,2,GX,1,100,-0.366
1671015040.101925,53642.000,6880,3,GX,1,100,0.336
1671015040.142186,53681.000,6880,3,GX,1,100,0.946
1671015040.182447,53720.000,6880,3,GX,1,100,0.458
1671015040.221676,53758.000,6894,3,GX,1,100,0.763
1671015040.260905,53796.000,6894,3,GX,1,100,0.214
1671015040.300134,53834.000,6894,3,GX,1,100,0.732
1671015040.339879,53872.500,6912,2,GX,1,100,1.007
1671015040.379624,53911.000,6912,2,GX,1,100,1.190
1671015040.424358,53954.333,6928,3,GX,1,100,2.625
1671015040.469093,53997.667,6928,3,GX,1,100,5.188
1671015040.513828,54041.000,6928,3,GX,1,100,-1.007
1671015040.553573,54079.500,6948,2,GX,1,100,-1.038
1671015040.593318,54118.000,6948,2,GX,1,100,-1.831
1671015040.633579,54157.000,6965,3,GX,1,100,-1.160
1671015040.673840,54196.000,6965,3,GX,1,100,-0.916
1671015040.714101,54235.000,6965,3,GX,1,100,0.031
1671015040.753846,54273.500,6980,2,GX,1,100,-0.732
1671015040.793591,54312.000,6980,2,GX,1,100,-1.251
1671015040.832476,54349.667,6996,3,GX,1,100,-1.709
1671015040.871360,54387.333,6996,3,GX,1,100,-0.427
1671015040.910245,54425.000,6996,3,GX,1,100,-1.282
1671015040.950162,54463.667,7013,3,GX,1,100,-1.099
1671015040.990079,54502.333,7013,3,GX,1,100,-0.122
1671015041.029996,54541.000,7013,3,GX,1,100,-0.732
1671015041.069741,54579.500,7035,2,GX,1,100,-0.977
1671015041.109486,54618.000,7035,2,GX,1,100,1.556
1671015041.149403,54656.667,7052,3,GX,1,100,-0.824
1671015041.189320,54695.333,7052,3,GX,1,100,0.732
1671015041.229237,54734.000,7052,3,GX,1,100,-0.122
1671015041.269842,54773.333,7066,3,GX,1,100,-1.770
1671015041.310448,54812.667,7066,3,GX,1,100,0.854
1671015041.351053,54852.000,7066,3,GX,1,100,-0.885
1671015041.391314,54891.000,7084,2,GX,1,100,-0.275
1671015041.431575,54930.000,7084,2,GX,1,100,-2.960
1671015041.471492,54968.667,7100,3,GX,1,100,-1.465
1671015041.511409,55007.333,7100,3,GX,1,100,0.702
1671015041.551326,55046.000,7100,3,GX,1,100,0.458
1671015041.598298,55091.500,7120,2,GX,1,100,1.892
1671015041.645269,55137.000,7120,2,GX,1,100,-0.732
1671015041.684842,55175.333,7135,3,GX,1,100,-0.427
1671015041.724415,55213.667,7135,3,GX,1,100,1.068
1671015041.763988,55252.000,7135,3,GX,1,100,1.312
1671015041.803905,55290.667,7157,3,GX,1,100,1.312
1671015041.843822,55329.333,7157,3,GX,1,100,-1.556
1671015041.883739,55368.000,7157,3,GX,1,100,0.244
1671015041.923484,55406.500,7173,2,GX,1,100,-0.031
1671015041.963229,55445.000,7173,2,GX,1,100,0.336
1671015042.002802,55483.333,7192,3,GX,1,100,1.312
1671015042.042375,55521.667,7192,3,GX,1,100,-0.336
1671015042.081948,55560.000,7192,3,GX,1,100,-0.153
1671015042.121865,55598.667,7212,3,GX,1,100,-0.336
1671015042.161782,55637.333,7212,3,GX,1,100,-0.610
1671015042.201699,55676.000,7212,3,GX,1,100,0.946
1671015042.240927,55714.000,7229,3,GX,1,100,-0.092
1671015042.280156,55752.000,7229,3,GX,1,100,0.092
1671015042.319385,55790.000,7229,3,GX,1,100,-0.183
1671015042.359646,55829.000,7244,2,GX,1,100,0.671
1671015042.399907,55868.000,7244,2,GX,1,100,0.366
1671015042.439824,55906.667,7261,3,GX,1,100,0.031
1671015042.479741,55945.333,7261,3,GX,1,100,0.153
1671015042.519658,55984.000,7261,3,GX,1,100,0.061
1671015042.559403,56022.500,7277,2,GX,1,100,-0.336
1671015042.599148,56061.000,7277,2,GX,1,100,0.488
1671015042.639066,56099.667,7298,3,GX,1,100,0.671
1671015042.678982,56138.333,7298,3,GX,1,100,-0.122
1671015042.718899,56177.000,7298,3,GX,1,100,0.122
1671015042.763634,56220.333,7314,3,GX,1,100,-0.275
1671015042.808369,56263.667,7314,3,GX,1,100,-0.061
1671015042.853103,56307.000,7314,3,GX,1,100,-0.427
1671015042.893364,56346.000,7329,2,GX,1,100,-0.488
1671015042.933625,56385.000,7329,2,GX,1,100,0.549
1671015042.973543,56423.667,7346,3,GX,1,100,-0.275
1671015043.013460,56462.333,7346,3,GX,1,100,-0.244
1671015043.053377,56501.000,7346,3,GX,1,100,-0.214
1671015043.091573,56538.000,7365,2,GX,1,100,-0.122
1671015043.129770,56575.000,7365,2,GX,1,100,0.549
1671015043.169687,56613.667,7384,3,GX,1,100,0.000
1671015043.209604,56652.333,7384,3,GX,1,100,0.366
1671015043.249521,56691.000,7384,3,GX,1,100,0.000
1671015043.289782,56730.000,7400,2,GX,1,100,0.122
1671015043.330043,56769.000,7400,2,GX,1,100,0.305
1671015043.369960,56807.667,7416,3,GX,1,100,0.275
1671015043.409877,56846.333,7416,3,GX,1,100,0.275
1671015043.449794,56885.000,7416,3,GX,1,100,-0.336
1671015043.489711,56923.667,7433,3,GX,1,100,0.336
1671015043.529628,56962.333,7433,3,GX,1,100,-0.153
1671015043.569545,57001.000,7433,3,GX,1,100,0.061
