LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1671015037.953976,51561.333,6510,3,AZ,1,100,0.510
1671015037.993893,51600.000,6510,3,AZ,1,100,0.521
1671015038.033466,51638.333,6528,3,AZ,1,100,0.531
1671015038.073039,51676.667,6528,3,AZ,1,100,0.533
1671015038.112612,51715.000,6528,3,AZ,1,100,0.533
1671015038.152357,51753.500,6549,2,AZ,1,100,0.529
1671015038.192101,51792.000,6549,2,AZ,1,100,0.531
1671015038.236836,51835.333,6566,3,AZ,1,100,0.523
1671015038.281571,51878.667,6566,3,AZ,1,100,0.530
1671015038.326305,51922.000,6566,3,AZ,1,100,0.524
1671015038.367083,51961.500,6581,2,AZ,1,100,0.530
1671015038.407860,52001.000,6581,2,AZ,1,100,0.524
1671015038.448465,52040.333,6598,3,AZ,1,100,0.527
1671015038.489070,52079.667,6598,3,AZ,1,100,0.533
1671015038.529676,52119.000,6598,3,AZ,1,100,0.534
1671015038.569421,52157.500,6617,2,AZ,1,100,0.529
1671015038.609166,52196.000,6617,2,AZ,1,100,0.528
1671015038.648739,52234.333,6635,3,AZ,1,100,0.534
1671015038.688312,52272.667,6635,3,AZ,1,100,0.526
1671015038.727885,52311.000,6635,3,AZ,1,100,0.526
1671015038.767113,52349.000,6650,2,AZ,1,100,0.529
1671015038.806342,52387.000,6650,2,AZ,1,100,0.532
1671015038.846259,52425.667,6668,3,AZ,1,100,0.528
1671015038.886176,52464.333,6668,3,AZ,1,100,0.531
1671015038.926093,52503.000,6668,3,AZ,1,100,0.530
1671015038.966698,52542.333,6685,3,AZ,1,100,0.532
1671015039.007304,52581.667,6685,3,AZ,1,100,0.531
1671015039.047909,52621.000,6685,3,AZ,1,100,0.531
1671015039.088686,52660.500,6704,2,AZ,1,100,0.536
1671015039.129464,52700.000,6704,2,AZ,1,100,0.530
1671015039.169725,52739.000,6723,3,AZ,1,100,0.531
1671015039.209986,52778.000,6723,3,AZ,1,100,0.528
1671015039.250247,52817.000,6723,3,AZ,1,100,0.532
1671015039.289992,52855.500,6738,2,AZ,1,100,0.530
1671015039.329737,52894.000,6738,2,AZ,1,100,0.534
1671015039.374127,52937.000,6755,3,AZ,1,100,0.530
1671015039.418518,52980.000,6755,3,AZ,1,100,0.529
1671015039.462909,53023.000,6755,3,AZ,1,100,0.531
1671015039.502653,53061.500,6772,2,AZ,1,100,0.534
1671015039.542398,53100.000,6772,2,AZ,1,100,0.536
1671015039.581627,53138.000,6791,3,AZ,1,100,0.532
1671015039.620856,53176.000,6791,3,AZ,1,100,0.526
1671015039.660085,53214.000,6791,3,AZ,1,100,0.535
1671015039.700346,53253.000,6808,2,AZ,1,100,0.538
1671015039.740607,53292.000,6808,2,AZ,1,100,0.534
1671015039.780524,53330.667,6823,3,AZ,1,100,0.532
1671015039.820441,53369.333,6823,3,AZ,1,100,0.529
1671015039.860358,53408.000,6823,3,AZ,1,100,0.532
