LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1671015044.578138,57978.000,7610,3,GZ,1,100,-0.214
1671015044.617367,58016.000,7610,3,GZ,1,100,0.214
1671015044.657284,58054.667,7627,3,GZ,1,100,1.068
1671015044.697201,58093.333,7627,3,GZ,1,100,0.763
1671015044.737118,58132.000,7627,3,GZ,1,100,0.702
1671015044.777035,58170.667,7644,3,GZ,1,100,0.305
1671015044.816952,58209.333,7644,3,GZ,1,100,-0.031
1671015044.856869,58248.000,7644,3,GZ,1,100,-0.427
1671015044.897131,58287.000,7658,2,GZ,1,100,-0.427
1671015044.937392,58326.000,7658,2,GZ,1,100,0.031
1671015044.983847,58371.000,7676,2,GZ,1,100,0.092
1671015045.030302,58416.000,7676,2,GZ,1,100,-0.732
1671015045.070219,58454.667,7697,3,GZ,1,100,-1.007
1671015045.110136,58493.333,7697,3,GZ,1,100,-0.519
1671015045.150053,58532.000,7697,3,GZ,1,100,-0.366
1671015045.189626,58570.333,7714,3,GZ,1,100,-0.824
1671015045.229199,58608.667,7714,3,GZ,1,100,-0.702
1671015045.268772,58647.000,7714,3,GZ,1,100,-0.458
1671015045.310066,58687.000,7731,2,GZ,1,100,-0.458
1671015045.351359,58727.000,7731,2,GZ,1,100,-0.183
1671015045.390932,58765.333,7746,3,GZ,1,100,-0.458
1671015045.430505,58803.667,7746,3,GZ,1,100,-0.214
1671015045.470078,58842.000,7746,3,GZ,1,100,0.153
1671015045.509823,58880.500,7762,2,GZ,1,100,0.122
1671015045.549568,58919.000,7762,2,GZ,1,100,0.214
1671015045.589485,58957.667,7782,3,GZ,1,100,0.702
1671015045.629402,58996.333,7782,3,GZ,1,100,4.242
1671015045.669319,59035.000,7782,3,GZ,1,100,8.698
1671015045.709236,59073.667,7799,3,GZ,1,100,11.719
1671015045.749153,59112.333,7799,3,GZ,1,100,20.172
1671015045.789070,59151.000,7799,3,GZ,1,100,31.525
1671015045.828815,59189.500,7815,2,GZ,1,100,31.616
1671015045.868560,59228.000,7815,2,GZ,1,100,19.653
1671015045.908477,59266.667,7830,3,GZ,1,100,15.778
1671015045.948394,59305.333,7830,3,GZ,1,100,9.155
1671015045.988311,59344.000,7830,3,GZ,1,100,10.254
1671015046.027540,59382.000,7853,3,GZ,1,100,23.682
1671015046.066768,59420.000,7853,3,GZ,1,100,25.696
1671015046.105997,59458.000,7853,3,GZ,1,100,20.874
1671015046.152969,59503.500,7869,2,GZ,1,100,14.099
1671015046.199940,59549.000,7869,2,GZ,1,100,-14.740
1671015046.239857,59587.667,7886,3,GZ,1,100,-32.074
1671015046.279774,59626.333,7886,3,GZ,1,100,-41.168
1671015046.319691,59665.000,7886,3,GZ,1,100,-23.346
1671015046.359952,59704.000,7902,2,GZ,1,100,-10.956
1671015046.400213,59743.000,7902,2,GZ,1,100,-21.057
1671015046.439786,59781.333,7918,3,GZ,1,100,-45.441
1671015046.479359,59819.667,7918,3,GZ,1,100,-71.442
1671015046.518932,59858.000,7918,3,GZ,1,100,-69.000
1671015046.558505,59896.333,7934,3,GZ,1,100,-52.277
1671015046.598078,59934.667,7934,3,GZ,1,100,-27.740
1671015046.637651,59973.000,7934,3,GZ,1,100,-11.841
1671015046.677396,60011.500,7955,2,GZ,1,100,-4.486
1671015046.717141,60050.000,7955,2,GZ,1,100,-9.125
1671015046.757746,60089.333,7971,3,GZ,1,100,-2.777
1671015046.798351,60128.667,7971,3,GZ,1,100,17.761
1671015046.838957,60168.000,7971,3,GZ,1,100,25.452
1671015046.879218,60207.000,7988,2,GZ,1,100,32.837
1671015046.919479,60246.000,7988,2,GZ,1,100,26.672
1671015046.959396,60284.667,8005,3,GZ,1,100,9.277
1671015046.999313,60323.333,8005,3,GZ,1,100,-33.356
1671015047.039230,60362.000,8005,3,GZ,1,100,-60.181
1671015047.081762,60403.200,8028,5,GZ,1,100,-69.397
1671015047.124295,60444.400,8028,5,GZ,1,100,-94.116
1671015047.166827,60485.600,8028,5,GZ,1,100,-75.592
1671015047.209359,60526.800,8028,5,GZ,1,100,-25.421
1671015047.251891,60568.000,8028,5,GZ,1,100,-0.183
1671015047.291120,60606.000,8047,3,GZ,1,100,22.705
1671015047.330349,60644.000,8047,3,GZ,1,100,38.208
1671015047.369578,60682.000,8047,3,GZ,1,100,31.342
1671015047.409839,60721.000,8063,3,GZ,1,100,17.334
1671015047.450100,60760.000,8063,3,GZ,1,100,5.371
1671015047.490361,60799.000,8063,3,GZ,1,100,-4.425
1671015047.530106,60837.500,8078,2,GZ,1,100,-14.038
1671015047.569851,60876.000,8078,2,GZ,1,100,-7.690
1671015047.610456,60915.333,8099,3,GZ,1,100,5.310
1671015047.651062,60954.667,8099,3,GZ,1,100,20.721
1671015047.691667,60994.000,8099,3,GZ,1,100,25.940
1671015047.731412,61032.500,8115,2,GZ,1,100,21.179
1671015047.771157,61071.000,8115,2,GZ,1,100,12.726
1671015047.811418,61110.000,8132,3,GZ,1,100,-4.425
1671015047.851679,61149.000,8132,3,GZ,1,100,-23.071
1671015047.891940,61188.000,8132,3,GZ,1,100,-45.166
1671015047.931857,61226.667,8148,3,GZ,1,100,-65.125
1671015047.971774,61265.333,8148,3,GZ,1,100,-66.650
1671015048.011691,61304.000,8148,3,GZ,1,100,-64.606
