LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1670854081.288902,131718.000,19763,1,TH,1,100,21.099
1670854081.422052,131847.000,19780,1,TH,1,100,21.134
1670854081.558298,131979.000,19814,1,TH,1,100,21.134
1670854081.691448,132108.000,19830,1,TH,1,100,21.161
1670854081.824599,132237.000,19847,1,TH,1,100,21.161
1670854081.956716,132365.000,19864,1,TH,1,100,21.123
1670854082.088834,132493.000,19895,1,TH,1,100,21.130
1670854082.225081,132625.000,19913,1,TH,1,100,21.109
1670854082.357199,132753.000,19929,1,TH,1,100,21.109
1670854082.491381,132883.000,19961,1,TH,1,100,21.138
1670854082.624531,133012.000,19980,1,TH,1,100,21.138
1670854082.756649,133140.000,19996,1,TH,1,100,21.025
1670854082.888767,133268.000,20014,1,TH,1,100,21.024
1670854083.025013,133400.000,20045,1,TH,1,100,21.089
1670854083.158164,133529.000,20061,1,TH,1,100,21.089
1670854083.289249,133656.000,20079,1,TH,1,100,21.035
1670854083.421367,133784.000,20110,1,TH,1,100,21.035
1670854083.552453,133911.000,20129,1,TH,1,100,21.098
1670854083.685603,134040.000,20146,1,TH,1,100,21.098
1670854083.820817,134171.000,20162,1,TH,1,100,21.119
1670854083.955000,134301.000,20194,1,TH,1,100,21.119
1670854084.088150,134430.000,20211,1,TH,1,100,21.102
1670854084.218203,134556.000,20228,1,TH,1,100,21.102
1670854084.352386,134686.000,20245,1,TH,1,100,21.089
1670854084.488632,134818.000,20277,1,TH,1,100,21.089
1670854084.621782,134947.000,20295,1,TH,1,100,21.178
1670854084.752868,135074.000,20312,1,TH,1,100,21.185
1670854084.886018,135203.000,20344,1,TH,1,100,21.172
1670854085.019168,135332.000,20360,1,TH,1,100,21.172
1670854085.151286,135460.000,20377,1,TH,1,100,21.120
1670854085.286500,135591.000,20394,1,TH,1,100,21.120
1670854085.420683,135721.000,20425,1,TH,1,100,21.137
1670854085.552801,135849.000,20443,1,TH,1,100,21.137
1670854085.683886,135976.000,20461,1,TH,1,100,21.083
1670854085.818069,136106.000,20478,1,TH,1,100,21.083
1670854085.951219,136235.000,20510,1,TH,1,100,21.126
1670854086.083337,136363.000,20526,1,TH,1,100,21.126
1670854086.215455,136491.000,20544,1,TH,1,100,21.107
1670854086.348605,136620.000,20575,1,TH,1,100,21.107
1670854086.480722,136748.000,20597,1,TH,1,100,21.166
1670854086.613873,136877.000,20616,1,TH,1,100,21.173
1670854086.747023,137006.000,20632,1,TH,1,100,21.232
1670854086.878109,137133.000,20664,1,TH,1,100,21.233
1670854087.011259,137262.000,20681,1,TH,1,100,21.157
1670854087.144408,137391.000,20697,1,TH,1,100,21.157
1670854087.277559,137520.000,20715,1,TH,1,100,21.092
1670854087.409677,137648.000,20746,1,TH,1,100,21.092
1670854087.542827,137777.000,20763,1,TH,1,100,21.092
1670854087.674945,137905.000,20782,1,TH,1,100,21.092
1670854087.807062,138033.000,20814,1,TH,1,100,21.121
1670854087.940212,138162.000,20830,1,TH,1,100,21.121
1670854088.073363,138291.000,20847,1,TH,1,100,21.137
1670854088.206513,138420.000,20864,1,TH,1,100,21.145
1670854088.338631,138548.000,20895,1,TH,1,100,21.107
1670854088.473845,138679.000,20912,1,TH,1,100,21.100
1670854088.606995,138808.000,20931,1,TH,1,100,21.062
1670854088.739113,138936.000,20948,1,TH,1,100,21.069
1670854088.872263,139065.000,20980,1,TH,1,100,21.128
1670854089.005413,139194.000,20996,1,TH,1,100,21.121
1670854089.136499,139321.000,21013,1,TH,1,100,21.148
1670854089.270681,139451.000,21045,1,TH,1,100,21.155
1670854089.403831,139580.000,21061,1,TH,1,100,21.175
1670854089.536981,139709.000,21079,1,TH,1,100,21.175
1670854089.669099,139837.000,21097,1,TH,1,100,21.118
1670854089.802249,139966.000,21129,1,TH,1,100,21.118
1670854089.937464,140097.000,21146,1,TH,1,100,21.168
1670854090.069582,140225.000,21162,1,TH,1,100,21.168
1670854090.202732,140354.000,21180,1,TH,1,100,21.152
1670854090.334850,140482.000,21211,1,TH,1,100,21.152
1670854090.466968,140610.000,21227,1,TH,1,100,21.185
1670854090.600117,140739.000,21247,1,TH,1,100,21.192
1670854090.736364,140871.000,21278,1,TH,1,100,21.118
1670854090.869514,141000.000,21295,1,TH,1,100,21.118
1670854091.001632,141128.000,21312,1,TH,1,100,21.143
1670854091.134782,141257.000,21328,1,TH,1,100,21.143
1670854091.267932,141386.000,21360,1,TH,1,100,21.111
1670854091.402115,141516.000,21377,1,TH,1,100,21.111
1670854091.536297,141646.000,21394,1,TH,1,100,21.197
1670854091.669447,141775.000,21427,1,TH,1,100,21.197
1670854091.801565,141903.000,21450,1,TH,1,100,21.105
1670854091.932651,142030.000,21466,1,TH,1,100,21.105
1670854092.066833,142160.000,21483,1,TH,1,100,21.172
1670854092.203079,142292.000,21515,1,TH,1,100,21.172
1670854092.335197,142420.000,21531,1,TH,1,100,21.167
1670854092.466283,142547.000,21548,1,TH,1,100,21.174
1670854092.599433,142676.000,21567,1,TH,1,100,21.193
1670854092.732583,142805.000,21598,1,TH,1,100,21.193
1670854092.864701,142933.000,21616,1,TH,1,100,21.066
1670854093.000948,143065.000,21632,1,TH,1,100,21.066
1670854093.134098,143194.000,21649,1,TH,1,100,21.138
1670854093.265183,143321.000,21681,1,TH,1,100,21.139
1670854093.397301,143449.000,21697,1,TH,1,100,21.139
1670854093.531484,143579.000,21715,1,TH,1,100,21.139
1670854093.666698,143710.000,21733,1,TH,1,100,21.135
1670854093.799848,143839.000,21765,1,TH,1,100,21.143
1670854093.931966,143967.000,21782,1,TH,1,100,21.108
1670854094.065116,144096.000,21798,1,TH,1,100,21.108
1670854094.197234,144224.000,21830,1,TH,1,100,21.175
1670854094.330384,144353.000,21847,1,TH,1,100,21.175
1670854094.464566,144483.000,21863,1,TH,1,100,21.224
1670854094.597716,144612.000,21883,1,TH,1,100,21.224
1670854094.728802,144739.000,21914,1,TH,1,100,21.202
1670854094.861952,144868.000,21931,1,TH,1,100,21.202
1670854094.995102,144997.000,21948,1,TH,1,100,21.148
1670854095.127220,145125.000,21980,1,TH,1,100,21.148
1670854095.260370,145254.000,21996,1,TH,1,100,21.170
1670854095.392488,145382.000,22013,1,TH,1,100,21.170
1670854095.524606,145510.000,22030,1,TH,1,100,21.078
1670854095.657756,145639.000,22063,1,TH,1,100,21.078
1670854095.790906,145768.000,22081,1,TH,1,100,21.153
1670854095.923024,145896.000,22097,1,TH,1,100,21.153
1670854096.055142,146024.000,22114,1,TH,1,100,21.180
1670854096.189324,146154.000,22146,1,TH,1,100,21.180
1670854096.322474,146283.000,22162,1,TH,1,100,21.180
1670854096.454592,146411.000,22179,1,TH,1,100,21.188
1670854096.587742,146540.000,22213,1,TH,1,100,21.087
1670854096.720892,146669.000,22229,1,TH,1,100,21.087
1670854096.851978,146796.000,22247,1,TH,1,100,21.079
1670854096.985128,146925.000,22263,1,TH,1,100,21.079
1670854097.118278,147054.000,22286,1,TH,1,100,21.128
1670854097.250396,147182.000,22303,1,TH,1,100,21.128
1670854097.383546,147311.000,22319,1,TH,1,100,21.095
1670854097.517729,147441.000,22353,1,TH,1,100,21.095
1670854097.652943,147572.000,22370,1,TH,1,100,21.157
1670854097.785061,147700.000,22386,1,TH,1,100,21.157
1670854097.918211,147829.000,22404,1,TH,1,100,21.103
1670854098.049297,147956.000,22435,1,TH,1,100,21.103
