LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1670854072.813228,123506.500,18420,2,PR,1,100,1571
1670854072.852967,123545.000,18420,2,PR,1,100,1578
1670854072.892190,123583.000,18436,3,PR,1,100,1575
1670854072.931412,123621.000,18436,3,PR,1,100,1572
1670854072.970634,123659.000,18436,3,PR,1,100,1574
1670854073.011233,123698.333,18452,3,PR,1,100,1579
1670854073.051832,123737.667,18452,3,PR,1,100,1582
1670854073.092431,123777.000,18452,3,PR,1,100,1590
1670854073.132685,123816.000,18469,2,PR,1,100,1588
1670854073.172940,123855.000,18469,2,PR,1,100,1602
1670854073.212851,123893.667,18486,3,PR,1,100,1585
1670854073.252761,123932.333,18486,3,PR,1,100,1591
1670854073.292672,123971.000,18486,3,PR,1,100,1577
1670854073.332410,124009.500,18502,2,PR,1,100,1569
1670854073.372149,124048.000,18502,2,PR,1,100,1571
1670854073.411716,124086.333,18517,3,PR,1,100,1574
1670854073.451282,124124.667,18517,3,PR,1,100,1577
1670854073.490849,124163.000,18517,3,PR,1,100,1571
1670854073.530071,124201.000,18535,3,PR,1,100,1592
1670854073.569294,124239.000,18535,3,PR,1,100,1590
1670854073.608516,124277.000,18535,3,PR,1,100,1583
1670854073.648771,124316.000,18553,2,PR,1,100,1586
1670854073.689026,124355.000,18553,2,PR,1,100,1590
1670854073.729624,124394.333,18570,3,PR,1,100,1586
1670854073.770223,124433.667,18570,3,PR,1,100,1582
1670854073.810822,124473.000,18570,3,PR,1,100,1573
1670854073.851593,124512.500,18585,2,PR,1,100,1567
1670854073.892363,124552.000,18585,2,PR,1,100,1573
1670854073.932274,124590.667,18602,3,PR,1,100,1580
1670854073.972184,124629.333,18602,3,PR,1,100,1579
1670854074.012095,124668.000,18602,3,PR,1,100,1584
1670854074.051318,124706.000,18618,3,PR,1,100,1586
1670854074.090540,124744.000,18618,3,PR,1,100,1591
1670854074.129763,124782.000,18618,3,PR,1,100,1590
1670854074.176210,124827.000,18636,2,PR,1,100,1586
1670854074.222658,124872.000,18636,2,PR,1,100,1594
1670854074.262225,124910.333,18651,3,PR,1,100,1579
1670854074.301791,124948.667,18651,3,PR,1,100,1567
1670854074.341358,124987.000,18651,3,PR,1,100,1577
1670854074.381096,125025.500,18667,2,PR,1,100,1586
1670854074.420835,125064.000,18667,2,PR,1,100,1576
1670854074.460746,125102.667,18683,3,PR,1,100,1583
1670854074.500656,125141.333,18683,3,PR,1,100,1591
1670854074.540567,125180.000,18683,3,PR,1,100,1587
1670854074.581337,125219.500,18703,2,PR,1,100,1588
1670854074.622108,125259.000,18703,2,PR,1,100,1584
1670854074.662707,125298.333,18719,3,PR,1,100,1599
1670854074.703306,125337.667,18719,3,PR,1,100,1580
1670854074.743904,125377.000,18719,3,PR,1,100,1582
1670854074.783815,125415.667,18734,3,PR,1,100,1572
1670854074.823726,125454.333,18734,3,PR,1,100,1573
1670854074.863636,125493.000,18734,3,PR,1,100,1576
1670854074.902859,125531.000,18751,2,PR,1,100,1578
1670854074.942081,125569.000,18751,2,PR,1,100,1576
1670854074.981304,125607.000,18768,3,PR,1,100,1578
