LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1670854443.476208,482616.500,11616,2,AK,1,100,10778
1670854446.100503,485159.000,11616,2,AK,1,100,RD
1670854446.127855,485185.500,11619,2,AK,1,100,11617
1670854446.155208,485212.000,11619,2,AK,1,100,RD
1670854448.762472,487738.000,12450,2,AK,1,100,11617
1670854451.369736,490264.000,12450,2,AK,1,100,RD
1670854451.381606,490275.500,12453,2,AK,1,100,12451
1670854451.393476,490287.000,12453,2,AK,1,100,RD
1670854454.038415,492849.500,13301,2,AK,1,100,12451
1670854456.683353,495412.000,13301,2,AK,1,100,RD
1670854456.699352,495427.500,13304,2,AK,1,100,13302
1670854456.715351,495443.000,13304,2,AK,1,100,RD
1670854459.330873,497977.000,14136,2,AK,1,100,13302
1670854461.946394,500511.000,14136,2,AK,1,100,RD
1670854461.959296,500523.500,14139,2,AK,1,100,14137
1670854461.972198,500536.000,14139,2,AK,1,100,RD
1670854464.596493,503078.500,14959,2,AK,1,100,14137
1670854467.220789,505621.000,14959,2,AK,1,100,RD
1670854467.240400,505640.000,14962,2,AK,1,100,14960
1670854467.260011,505659.000,14962,2,AK,1,100,RD
1670854469.881210,508198.500,15793,2,AK,1,100,14960
1670854472.502409,510738.000,15793,2,AK,1,100,RD
1670854472.515311,510750.500,15796,2,AK,1,100,15794
1670854472.528213,510763.000,15796,2,AK,1,100,RD
