LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1670854078.594247,129107.333,19351,3,MX,1,100,125
1670854078.634157,129146.000,19351,3,MX,1,100,127
1670854078.674412,129185.000,19366,2,MX,1,100,125
1670854078.714667,129224.000,19366,2,MX,1,100,125
1670854078.754577,129262.667,19382,3,MX,1,100,126
1670854078.794488,129301.333,19382,3,MX,1,100,125
1670854078.834399,129340.000,19382,3,MX,1,100,126
1670854078.874309,129378.667,19399,3,MX,1,100,125
1670854078.914220,129417.333,19399,3,MX,1,100,125
1670854078.954131,129456.000,19399,3,MX,1,100,127
1670854079.000578,129501.000,19416,2,MX,1,100,127
1670854079.047026,129546.000,19416,2,MX,1,100,125
1670854079.086592,129584.333,19432,3,MX,1,100,126
1670854079.126159,129622.667,19432,3,MX,1,100,124
1670854079.165726,129661.000,19432,3,MX,1,100,125
1670854079.207012,129701.000,19448,2,MX,1,100,126
1670854079.248299,129741.000,19448,2,MX,1,100,125
1670854079.288554,129780.000,19464,3,MX,1,100,126
1670854079.328809,129819.000,19464,3,MX,1,100,125
1670854079.369063,129858.000,19464,3,MX,1,100,126
1670854079.408974,129896.667,19481,3,MX,1,100,126
1670854079.448884,129935.333,19481,3,MX,1,100,126
1670854079.488795,129974.000,19481,3,MX,1,100,126
1670854079.528018,130012.000,19498,2,MX,1,100,126
1670854079.567240,130050.000,19498,2,MX,1,100,126
1670854079.607495,130089.000,19517,3,MX,1,100,125
1670854079.647750,130128.000,19517,3,MX,1,100,125
1670854079.688004,130167.000,19517,3,MX,1,100,126
1670854079.727743,130205.500,19531,2,MX,1,100,126
1670854079.767481,130244.000,19531,2,MX,1,100,126
1670854079.807392,130282.667,19549,3,MX,1,100,126
1670854079.847303,130321.333,19549,3,MX,1,100,126
1670854079.887213,130360.000,19549,3,MX,1,100,126
1670854079.926436,130398.000,19565,3,MX,1,100,125
1670854079.965658,130436.000,19565,3,MX,1,100,125
1670854080.004881,130474.000,19565,3,MX,1,100,126
1670854080.045135,130513.000,19582,2,MX,1,100,125
1670854080.085390,130552.000,19582,2,MX,1,100,126
1670854080.129773,130595.000,19599,3,MX,1,100,125
1670854080.174157,130638.000,19599,3,MX,1,100,124
1670854080.218540,130681.000,19599,3,MX,1,100,126
1670854080.258279,130719.500,19614,2,MX,1,100,126
1670854080.298017,130758.000,19614,2,MX,1,100,126
1670854080.337928,130796.667,19630,3,MX,1,100,126
1670854080.377839,130835.333,19630,3,MX,1,100,125
1670854080.417749,130874.000,19630,3,MX,1,100,126
1670854080.457660,130912.667,19647,3,MX,1,100,126
