LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1670854075.261022,125878.000,18801,3,PI,1,100,1250
1670854075.301621,125917.333,18815,3,PI,1,100,1241
1670854075.342220,125956.667,18815,3,PI,1,100,1250
1670854075.382818,125996.000,18815,3,PI,1,100,1251
1670854075.422557,126034.500,18832,2,PI,1,100,1258
1670854075.462296,126073.000,18832,2,PI,1,100,1255
1670854075.502206,126111.667,18849,3,PI,1,100,1240
1670854075.542117,126150.333,18849,3,PI,1,100,1228
1670854075.582027,126189.000,18849,3,PI,1,100,1228
1670854075.621766,126227.500,18868,2,PI,1,100,1225
1670854075.661505,126266.000,18868,2,PI,1,100,1239
1670854075.701415,126304.667,18883,3,PI,1,100,1237
1670854075.741326,126343.333,18883,3,PI,1,100,1243
1670854075.781236,126382.000,18883,3,PI,1,100,1253
1670854075.821147,126420.667,18900,3,PI,1,100,1255
1670854075.861058,126459.333,18900,3,PI,1,100,1248
1670854075.900968,126498.000,18900,3,PI,1,100,1244
1670854075.940879,126536.667,18921,3,PI,1,100,1260
1670854075.980789,126575.333,18921,3,PI,1,100,1243
1670854076.020700,126614.000,18921,3,PI,1,100,1241
1670854076.067664,126659.500,18938,2,PI,1,100,1233
1670854076.114628,126705.000,18938,2,PI,1,100,1239
1670854076.155915,126745.000,18954,2,PI,1,100,1236
1670854076.197201,126785.000,18954,2,PI,1,100,1230
1670854076.236768,126823.333,18971,3,PI,1,100,1240
1670854076.276335,126861.667,18971,3,PI,1,100,1239
1670854076.315901,126900.000,18971,3,PI,1,100,1247
1670854076.355124,126938.000,18986,3,PI,1,100,1249
1670854076.394346,126976.000,18986,3,PI,1,100,1264
1670854076.433569,127014.000,18986,3,PI,1,100,1244
1670854076.473135,127052.333,19003,3,PI,1,100,1243
1670854076.512702,127090.667,19003,3,PI,1,100,1236
1670854076.552268,127129.000,19003,3,PI,1,100,1231
1670854076.592523,127168.000,19022,2,PI,1,100,1229
1670854076.632778,127207.000,19022,2,PI,1,100,1232
1670854076.673032,127246.000,19039,3,PI,1,100,1235
1670854076.713287,127285.000,19039,3,PI,1,100,1232
1670854076.753542,127324.000,19039,3,PI,1,100,1254
