LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1670854083.414142,133777.000,20093,2,EL,1,100,26466.000000
1670854083.480201,133841.000,20109,1,EL,1,100,26466.000000
1670854083.546260,133905.000,20127,2,EL,1,100,26466.000000
1670854083.612319,133969.000,20127,2,EL,1,100,26466.000000
1670854083.678378,134033.000,20144,1,EL,1,100,26466.000000
1670854083.746501,134099.000,20160,2,EL,1,100,26466.000000
1670854083.814625,134165.000,20160,2,EL,1,100,26466.000000
1670854083.881716,134230.000,20178,1,EL,1,100,26466.000000
1670854083.948291,134294.500,20192,2,EL,1,100,26466.199219
1670854084.014866,134359.000,20192,2,EL,1,100,26466.000000
1670854084.081957,134424.000,20209,1,EL,1,100,26466.000000
1670854084.146984,134487.000,20226,2,EL,1,100,26466.000000
1670854084.212010,134550.000,20226,2,EL,1,100,26466.199219
1670854084.278585,134614.500,20243,2,EL,1,100,26466.000000
1670854084.345160,134679.000,20243,2,EL,1,100,26466.000000
1670854084.413284,134745.000,20259,1,EL,1,100,26466.000000
1670854084.480891,134810.500,20275,2,EL,1,100,26466.000000
1670854084.548498,134876.000,20275,2,EL,1,100,26466.000000
1670854084.615589,134941.000,20293,1,EL,1,100,26466.000000
1670854084.681648,135005.000,20310,2,EL,1,100,26466.000000
1670854084.747707,135069.000,20310,2,EL,1,100,26466.000000
1670854084.812734,135132.000,20326,1,EL,1,100,26466.000000
1670854084.879309,135196.500,20343,2,EL,1,100,26466.400391
1670854084.945884,135261.000,20343,2,EL,1,100,26466.000000
1670854085.011943,135325.000,20358,2,EL,1,100,26466.000000
1670854085.078002,135389.000,20358,2,EL,1,100,26466.199219
1670854085.146125,135455.000,20375,1,EL,1,100,26466.000000
1670854085.212700,135519.500,20392,2,EL,1,100,26466.000000
1670854085.279275,135584.000,20392,2,EL,1,100,26466.000000
1670854085.346366,135649.000,20409,1,EL,1,100,26466.000000
1670854085.412941,135713.500,20423,2,EL,1,100,26466.000000
1670854085.479517,135778.000,20423,2,EL,1,100,26466.199219
1670854085.546608,135843.000,20441,1,EL,1,100,26466.000000
1670854085.611634,135906.000,20459,2,EL,1,100,26466.000000
1670854085.676661,135969.000,20459,2,EL,1,100,26466.000000
1670854085.743752,136034.000,20476,2,EL,1,100,26466.000000
1670854085.810843,136099.000,20476,2,EL,1,100,26466.000000
1670854085.877934,136164.000,20493,1,EL,1,100,26466.000000
1670854085.943994,136228.000,20508,2,EL,1,100,26466.000000
