LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1670854077.310398,127863.500,19138,2,PG,1,100,249
1670854077.350137,127902.000,19138,2,PG,1,100,250
1670854077.389703,127940.333,19154,3,PG,1,100,248
1670854077.429270,127978.667,19154,3,PG,1,100,250
1670854077.468836,128017.000,19154,3,PG,1,100,249
1670854077.508747,128055.667,19172,3,PG,1,100,262
1670854077.548657,128094.333,19172,3,PG,1,100,263
1670854077.588568,128133.000,19172,3,PG,1,100,261
1670854077.628307,128171.500,19190,2,PG,1,100,259
1670854077.668045,128210.000,19190,2,PG,1,100,271
1670854077.707612,128248.333,19207,3,PG,1,100,260
1670854077.747178,128286.667,19207,3,PG,1,100,264
1670854077.786745,128325.000,19207,3,PG,1,100,251
1670854077.833193,128370.000,19222,2,PG,1,100,254
1670854077.879640,128415.000,19222,2,PG,1,100,250
1670854077.919207,128453.333,19239,3,PG,1,100,245
1670854077.958774,128491.667,19239,3,PG,1,100,255
1670854077.998340,128530.000,19239,3,PG,1,100,251
1670854078.038595,128569.000,19255,2,PG,1,100,260
1670854078.078849,128608.000,19255,2,PG,1,100,258
1670854078.118760,128646.667,19273,3,PG,1,100,272
1670854078.158671,128685.333,19273,3,PG,1,100,257
1670854078.198581,128724.000,19273,3,PG,1,100,268
1670854078.238492,128762.667,19289,3,PG,1,100,259
1670854078.278403,128801.333,19289,3,PG,1,100,254
1670854078.318313,128840.000,19289,3,PG,1,100,250
1670854078.358224,128878.667,19304,3,PG,1,100,242
1670854078.398134,128917.333,19304,3,PG,1,100,243
1670854078.438045,128956.000,19304,3,PG,1,100,243
1670854078.476235,128993.000,19320,2,PG,1,100,256
1670854078.514426,129030.000,19320,2,PG,1,100,257
1670854078.554336,129068.667,19340,3,PG,1,100,264
1670854078.594247,129107.333,19340,3,PG,1,100,261
1670854078.634157,129146.000,19340,3,PG,1,100,271
1670854078.674412,129185.000,19356,2,PG,1,100,259
1670854078.714667,129224.000,19356,2,PG,1,100,254
1670854078.754577,129262.667,19372,3,PG,1,100,252
1670854078.794488,129301.333,19372,3,PG,1,100,246
1670854078.834399,129340.000,19372,3,PG,1,100,254
1670854078.874309,129378.667,19388,3,PG,1,100,255
1670854078.914220,129417.333,19388,3,PG,1,100,251
1670854078.954131,129456.000,19388,3,PG,1,100,252
1670854078.993869,129494.500,19405,2,PG,1,100,260
1670854079.033608,129533.000,19405,2,PG,1,100,256
1670854079.073518,129571.667,19421,3,PG,1,100,263
1670854079.113429,129610.333,19421,3,PG,1,100,263
1670854079.153340,129649.000,19421,3,PG,1,100,276
1670854079.193594,129688.000,19439,2,PG,1,100,258
1670854079.233849,129727.000,19439,2,PG,1,100,262
1670854079.274448,129766.333,19453,3,PG,1,100,248
1670854079.315046,129805.667,19453,3,PG,1,100,251
1670854079.355645,129845.000,19453,3,PG,1,100,252
1670854079.395556,129883.667,19470,3,PG,1,100,250
1670854079.435466,129922.333,19470,3,PG,1,100,252
1670854079.475377,129961.000,19470,3,PG,1,100,250
1670854079.514944,129999.333,19487,3,PG,1,100,266
