LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1670854095.245920,145240.000,21995,1,T1,1,100,24.057
1670854095.378038,145368.000,22012,1,T1,1,100,24.025
1670854095.511188,145497.000,22029,1,T1,1,100,24.046
1670854095.644338,145626.000,22062,1,T1,1,100,24.091
1670854095.777488,145755.000,22080,1,T1,1,100,24.039
1670854095.910638,145884.000,22096,1,T1,1,100,23.982
1670854096.041724,146011.000,22113,1,T1,1,100,24.098
1670854096.175906,146141.000,22145,1,T1,1,100,24.149
1670854096.308024,146269.000,22161,1,T1,1,100,24.171
1670854096.441174,146398.000,22178,1,T1,1,100,24.180
1670854096.573292,146526.000,22197,1,T1,1,100,24.113
1670854096.707474,146656.000,22228,1,T1,1,100,24.120
1670854096.839592,146784.000,22246,1,T1,1,100,24.158
1670854096.971710,146912.000,22262,1,T1,1,100,24.175
1670854097.104860,147041.000,22285,1,T1,1,100,24.111
1670854097.238010,147170.000,22302,1,T1,1,100,24.048
1670854097.371160,147299.000,22318,1,T1,1,100,24.127
1670854097.503278,147427.000,22352,1,T1,1,100,24.055
1670854097.638493,147558.000,22369,1,T1,1,100,24.059
1670854097.772675,147688.000,22385,1,T1,1,100,24.097
1670854097.904793,147816.000,22403,1,T1,1,100,24.148
1670854098.036911,147944.000,22434,1,T1,1,100,24.135
1670854098.171093,148074.000,22451,1,T1,1,100,24.165
1670854098.302179,148201.000,22468,1,T1,1,100,24.107
1670854098.435329,148330.000,22500,1,T1,1,100,24.046
1670854098.567447,148458.000,22518,1,T1,1,100,24.091
1670854098.700597,148587.000,22535,1,T1,1,100,24.146
1670854098.832715,148715.000,22552,1,T1,1,100,24.063
1670854098.966897,148845.000,22583,1,T1,1,100,24.205
1670854099.102111,148976.000,22600,1,T1,1,100,24.159
1670854099.234229,149104.000,22617,1,T1,1,100,24.140
1670854099.367379,149233.000,22634,1,T1,1,100,24.202
1670854099.499497,149361.000,22651,1,T1,1,100,24.194
1670854099.631615,149489.000,22670,1,T1,1,100,24.084
1670854099.765797,149619.000,22702,1,T1,1,100,24.107
1670854099.901012,149750.000,22718,1,T1,1,100,24.153
1670854100.035194,149880.000,22735,1,T1,1,100,24.102
1670854100.167312,150008.000,22752,1,T1,1,100,24.115
1670854100.300462,150137.000,22783,1,T1,1,100,24.121
1670854100.433612,150266.000,22800,1,T1,1,100,24.159
1670854100.567794,150396.000,22819,1,T1,1,100,24.140
1670854100.701977,150526.000,22836,1,T1,1,100,24.060
1670854100.834095,150654.000,22868,1,T1,1,100,24.168
1670854100.966212,150782.000,22884,1,T1,1,100,24.179
1670854101.099362,150911.000,22901,1,T1,1,100,24.113
1670854101.233545,151041.000,22933,1,T1,1,100,24.191
1670854101.368759,151172.000,22949,1,T1,1,100,24.153
1670854101.500877,151300.000,22967,1,T1,1,100,24.137
1670854101.631963,151427.000,22985,1,T1,1,100,24.166
1670854101.765113,151556.000,23017,1,T1,1,100,24.107
1670854101.896199,151683.000,23034,1,T1,1,100,24.082
1670854102.029349,151812.000,23050,1,T1,1,100,24.177
1670854102.165595,151944.000,23082,1,T1,1,100,24.183
1670854102.299778,152074.000,23104,1,T1,1,100,24.150
1670854102.430863,152201.000,23121,1,T1,1,100,24.136
1670854102.562981,152329.000,23140,1,T1,1,100,24.165
1670854102.698195,152460.000,23156,1,T1,1,100,24.107
1670854102.833410,152591.000,23188,1,T1,1,100,24.153
1670854102.965528,152719.000,23205,1,T1,1,100,24.137
1670854103.096614,152846.000,23221,1,T1,1,100,24.059
1670854103.229764,152975.000,23239,1,T1,1,100,24.132
1670854103.362914,153104.000,23270,1,T1,1,100,24.163
1670854103.496064,153233.000,23287,1,T1,1,100,24.142
1670854103.629214,153362.000,23306,1,T1,1,100,24.168
1670854103.761332,153490.000,23322,1,T1,1,100,24.250
1670854103.892417,153617.000,23354,1,T1,1,100,24.214
