LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1670854200.079414,246806.000,38891,2,RD,1,100,TL
1670854202.716611,249361.000,38891,2,RD,1,100,TU
1670854205.369807,251931.500,39725,2,RD,1,100,TL
1670854208.023003,254502.000,39725,2,RD,1,100,TU
1670854210.674135,257070.500,40545,2,RD,1,100,TL
1670854213.325267,259639.000,40545,2,RD,1,100,TU
1670854215.950078,262182.000,41366,2,RD,1,100,TL
1670854218.574889,264725.000,41366,2,RD,1,100,TU
1670854221.216731,267284.500,42201,2,RD,1,100,TL
1670854223.858573,269844.000,42201,2,RD,1,100,TU
1670854226.511769,272414.500,43035,2,RD,1,100,TL
1670854229.164965,274985.000,43035,2,RD,1,100,TU
1670854231.820741,277558.000,43871,2,RD,1,100,TL
1670854234.476518,280131.000,43871,2,RD,1,100,TU
1670854237.132810,282704.500,44705,2,RD,1,100,TL
1670854239.789103,285278.000,44705,2,RD,1,100,TU
1670854242.428880,287835.500,45525,2,RD,1,100,TL
1670854245.068658,290393.000,45525,2,RD,1,100,TU
1670854247.726499,292968.000,46363,2,RD,1,100,TL
1670854250.384339,295543.000,46363,2,RD,1,100,TU
1670854253.038567,298114.500,47199,2,RD,1,100,TL
1670854255.692796,300686.000,47199,2,RD,1,100,TU
1670854258.348056,303258.500,48033,2,RD,1,100,TL
1670854261.003316,305831.000,48033,2,RD,1,100,TU
1670854263.664253,308409.000,48869,2,RD,1,100,TL
1670854266.325190,310987.000,48869,2,RD,1,100,TU
1670854268.976322,313555.500,49703,2,RD,1,100,TL
1670854271.627454,316124.000,49703,2,RD,1,100,TU
1670854274.272908,318687.000,50536,2,RD,1,100,TL
1670854276.918363,321250.000,50536,2,RD,1,100,TU
1670854279.563301,323812.500,51358,2,RD,1,100,TL
1670854282.208240,326375.000,51358,2,RD,1,100,TU
1670854284.843889,328928.500,52194,2,RD,1,100,TL
1670854287.479538,331482.000,52194,2,RD,1,100,TU
