LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1670854129.773077,178691.000,27444,1,SF,1,100,0.5025
1670854130.104404,179012.000,27493,1,SF,1,100,0.4967
1670854130.439859,179337.000,27542,1,SF,1,100,0.4910
1670854130.837245,179722.000,27610,1,SF,1,100,0.4853
1670854131.168572,180043.000,27659,1,SF,1,100,0.4797
1670854131.432808,180299.000,27708,1,SF,1,100,0.4741
1670854131.763103,180619.000,27760,1,SF,1,100,0.4686
1670854132.095462,180941.000,27809,1,SF,1,100,0.4632
1670854132.426789,181262.000,27857,1,SF,1,100,0.4579
1670854132.827271,181650.000,27924,1,SF,1,100,0.4526
1670854133.159630,181972.000,27975,1,SF,1,100,0.4473
1670854133.424898,182229.000,28023,1,SF,1,100,0.4422
1670854133.756225,182550.000,28075,1,SF,1,100,0.4370
1670854134.089617,182873.000,28111,1,SF,1,100,0.4320
1670854134.424040,183197.000,28160,1,SF,1,100,0.4270
1670854134.824522,183585.000,28229,1,SF,1,100,0.4220
1670854135.157914,183908.000,28277,1,SF,1,100,0.4172
1670854135.423182,184165.000,28326,1,SF,1,100,0.4123
1670854135.757605,184489.000,28378,1,SF,1,100,0.4076
1670854136.153959,184873.000,28425,1,SF,1,100,0.4029
1670854136.424388,185135.000,28475,1,SF,1,100,0.3982
1670854136.756747,185457.000,28526,1,SF,1,100,0.3936
1670854137.091170,185781.000,28574,1,SF,1,100,0.3890
1670854137.491652,186169.000,28642,1,SF,1,100,0.3845
1670854137.824012,186491.000,28692,1,SF,1,100,0.3801
1670854138.157403,186814.000,28740,1,SF,1,100,0.3757
1670854138.420607,187069.000,28791,1,SF,1,100,0.3713
1670854138.758126,187396.000,28841,1,SF,1,100,0.3670
1670854139.088421,187716.000,28890,1,SF,1,100,0.3628
1670854139.425941,188043.000,28930,1,SF,1,100,0.3586
1670854139.822295,188427.000,28997,1,SF,1,100,0.3545
1670854140.153622,188748.000,29045,1,SF,1,100,0.3504
1670854140.418890,189005.000,29096,1,SF,1,100,0.3463
1670854140.749185,189325.000,29146,1,SF,1,100,0.3423
1670854141.079479,189645.000,29195,1,SF,1,100,0.3383
1670854141.412871,189968.000,29245,1,SF,1,100,0.3344
1670854141.809225,190352.000,29312,1,SF,1,100,0.3306
1670854142.142616,190675.000,29361,1,SF,1,100,0.3267
1670854142.407884,190932.000,29411,1,SF,1,100,0.3229
1670854142.740243,191254.000,29462,1,SF,1,100,0.3192
1670854143.071570,191575.000,29510,1,SF,1,100,0.3155
1670854143.472052,191963.000,29578,1,SF,1,100,0.3119
1670854143.803379,192284.000,29628,1,SF,1,100,0.3083
1670854144.071744,192544.000,29676,1,SF,1,100,0.3047
1670854144.406167,192868.000,29727,1,SF,1,100,0.3012
1670854144.740591,193192.000,29766,1,SF,1,100,0.2977
1670854145.070885,193512.000,29816,1,SF,1,100,0.2942
1670854145.402212,193833.000,29865,1,SF,1,100,0.2908
1670854145.805791,194224.000,29932,1,SF,1,100,0.2875
1670854146.136086,194544.000,29981,1,SF,1,100,0.2841
1670854146.406515,194806.000,30031,1,SF,1,100,0.2809
1670854146.736809,195126.000,30082,1,SF,1,100,0.2776
1670854147.073297,195452.000,30130,1,SF,1,100,0.2744
1670854147.469651,195836.000,30198,1,SF,1,100,0.2712
1670854147.803042,196159.000,30248,1,SF,1,100,0.2681
1670854148.071407,196419.000,30296,1,SF,1,100,0.2650
1670854148.400669,196738.000,30347,1,SF,1,100,0.2619
1670854148.737157,197064.000,30397,1,SF,1,100,0.2589
1670854149.135575,197450.000,30462,1,SF,1,100,0.2559
1670854149.464838,197769.000,30513,1,SF,1,100,0.2529
1670854149.796165,198090.000,30563,1,SF,1,100,0.2500
1670854150.061433,198347.000,30618,1,SF,1,100,0.2471
1670854150.392760,198668.000,30668,1,SF,1,100,0.2443
1670854150.724087,198989.000,30719,1,SF,1,100,0.2414
1670854151.057478,199312.000,30767,1,SF,1,100,0.2386
1670854151.455896,199698.000,30834,1,SF,1,100,0.2359
1670854151.787223,200019.000,30885,1,SF,1,100,0.2332
1670854152.052491,200276.000,30933,1,SF,1,100,0.2305
1670854152.385882,200599.000,30982,1,SF,1,100,0.2278
1670854152.721338,200924.000,31034,1,SF,1,100,0.2252
1670854153.121820,201312.000,31099,1,SF,1,100,0.2226
1670854153.391217,201573.000,31150,1,SF,1,100,0.2200
1670854153.722544,201894.000,31200,1,SF,1,100,0.2174
1670854154.056967,202218.000,31249,1,SF,1,100,0.2149
