LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670854121.427973,170606.000,26137,1,BV,1,100,4.01
1670854122.420922,171568.000,26287,1,BV,1,100,4.00
1670854123.414902,172531.000,26458,1,BV,1,100,4.01
1670854124.410948,173496.000,26606,1,BV,1,100,4.00
1670854125.410089,174464.000,26773,1,BV,1,100,4.01
1670854126.408199,175431.000,26922,1,BV,1,100,4.01
1670854127.409405,176401.000,27089,1,BV,1,100,4.01
1670854128.405450,177366.000,27237,1,BV,1,100,4.01
1670854129.404592,178334.000,27409,1,BV,1,100,4.01
1670854130.406830,179305.000,27559,1,BV,1,100,4.01
1670854131.398746,180266.000,27725,1,BV,1,100,4.00
1670854132.393759,181230.000,27874,1,BV,1,100,4.00
1670854133.390837,182196.000,28040,1,BV,1,100,4.00
1670854134.389978,183164.000,28177,1,BV,1,100,4.01
1670854135.390152,184133.000,28343,1,BV,1,100,4.00
1670854136.389294,185101.000,28490,1,BV,1,100,4.01
1670854137.392564,186073.000,28640,1,BV,1,100,4.01
1670854138.387577,187037.000,28806,1,BV,1,100,4.00
1670854139.391880,188010.000,28947,1,BV,1,100,4.00
1670854140.384828,188972.000,29112,1,BV,1,100,4.00
1670854141.378809,189935.000,29262,1,BV,1,100,4.00
1670854142.374854,190900.000,29426,1,BV,1,100,4.00
1670854143.371932,191866.000,29576,1,BV,1,100,4.00
1670854144.372105,192835.000,29742,1,BV,1,100,4.00
1670854145.369183,193801.000,29882,1,BV,1,100,4.00
1670854146.371421,194772.000,30046,1,BV,1,100,4.00
1670854147.369530,195739.000,30196,1,BV,1,100,4.01
1670854148.366608,196705.000,30362,1,BV,1,100,4.00
1670854149.366782,197674.000,30510,1,BV,1,100,4.00
1670854150.358698,198635.000,30683,1,BV,1,100,4.00
1670854151.356807,199602.000,30832,1,BV,1,100,4.00
1670854152.351820,200566.000,30999,1,BV,1,100,4.00
1670854153.357155,201540.000,31147,1,BV,1,100,4.00
1670854154.355265,202507.000,31314,1,BV,1,100,4.00
1670854155.355438,203476.000,31471,1,BV,1,100,4.00
1670854156.357677,204447.000,31620,1,BV,1,100,4.00
1670854157.354754,205413.000,31787,1,BV,1,100,4.00
1670854158.353896,206381.000,31935,1,BV,1,100,4.00
1670854159.347877,207344.000,32102,1,BV,1,100,4.00
1670854160.343922,208309.000,32251,1,BV,1,100,4.00
1670854161.339967,209274.000,32423,1,BV,1,100,4.01
