LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1670854085.676661,135969.000,20458,2,EA,1,100,0.030319
1670854085.743752,136034.000,20475,2,EA,1,100,0.030319
1670854085.810843,136099.000,20475,2,EA,1,100,0.030319
1670854085.877934,136164.000,20492,1,EA,1,100,0.030319
1670854085.943994,136228.000,20507,2,EA,1,100,0.030319
1670854086.010052,136292.000,20507,2,EA,1,100,0.030319
1670854086.078176,136358.000,20523,1,EA,1,100,0.030319
1670854086.143719,136421.500,20541,2,EA,1,100,0.030319
1670854086.209261,136485.000,20541,2,EA,1,100,0.030319
1670854086.274288,136548.000,20557,1,EA,1,100,0.030319
1670854086.340347,136612.000,20573,2,EA,1,100,0.030319
1670854086.406406,136676.000,20573,2,EA,1,100,0.030319
1670854086.473497,136741.000,20594,2,EA,1,100,0.030319
1670854086.540588,136806.000,20594,2,EA,1,100,0.030319
1670854086.606647,136870.000,20613,1,EA,1,100,0.030319
1670854086.673223,136934.500,20629,2,EA,1,100,0.030319
1670854086.739798,136999.000,20629,2,EA,1,100,0.030319
1670854086.804824,137062.000,20646,1,EA,1,100,0.030319
1670854086.871399,137126.500,20661,2,EA,1,100,0.030319
1670854086.937974,137191.000,20661,2,EA,1,100,0.030319
1670854087.004549,137255.500,20678,2,EA,1,100,0.030319
1670854087.071124,137320.000,20678,2,EA,1,100,0.030319
1670854087.138216,137385.000,20694,1,EA,1,100,0.030319
1670854087.204791,137449.500,20712,2,EA,1,100,0.030319
1670854087.271366,137514.000,20712,2,EA,1,100,0.030319
1670854087.336392,137577.000,20728,1,EA,1,100,0.030319
1670854087.402451,137641.000,20743,2,EA,1,100,0.030319
1670854087.468510,137705.000,20743,2,EA,1,100,0.030319
1670854087.535601,137770.000,20760,1,EA,1,100,0.030319
1670854087.601660,137834.000,20779,2,EA,1,100,0.030319
1670854087.667719,137898.000,20779,2,EA,1,100,0.030319
1670854087.734294,137962.500,20795,2,EA,1,100,0.030319
1670854087.800869,138027.000,20795,2,EA,1,100,0.030319
1670854087.866928,138091.000,20812,1,EA,1,100,0.030319
1670854087.933503,138155.500,20827,2,EA,1,100,0.030319
1670854088.000078,138220.000,20827,2,EA,1,100,0.030319
1670854088.066137,138284.000,20844,1,EA,1,100,0.030319
1670854088.133229,138349.000,20861,2,EA,1,100,0.030319
1670854088.200320,138414.000,20861,2,EA,1,100,0.030319
1670854088.264314,138476.000,20878,1,EA,1,100,0.030319
1670854088.331922,138541.500,20892,2,EA,1,100,0.030319
1670854088.399529,138607.000,20892,2,EA,1,100,0.030319
1670854088.467652,138673.000,20909,1,EA,1,100,0.030319
1670854088.533711,138737.000,20928,2,EA,1,100,0.030319
1670854088.599770,138801.000,20928,2,EA,1,100,0.030319
1670854088.666345,138865.500,20945,2,EA,1,100,0.030319
1670854088.732920,138930.000,20945,2,EA,1,100,0.030319
1670854088.798979,138994.000,20961,1,EA,1,100,0.030319
1670854088.865554,139058.500,20977,2,EA,1,100,0.030319
