LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1670854079.607495,130089.000,19515,3,GY,1,100,0.122
1670854079.647750,130128.000,19515,3,GY,1,100,0.122
1670854079.688004,130167.000,19515,3,GY,1,100,0.122
1670854079.727743,130205.500,19529,2,GY,1,100,0.122
1670854079.767481,130244.000,19529,2,GY,1,100,0.122
1670854079.807392,130282.667,19547,3,GY,1,100,0.122
1670854079.847303,130321.333,19547,3,GY,1,100,0.183
1670854079.887213,130360.000,19547,3,GY,1,100,0.122
1670854079.926436,130398.000,19563,3,GY,1,100,0.153
1670854079.965658,130436.000,19563,3,GY,1,100,0.122
1670854080.004881,130474.000,19563,3,GY,1,100,0.092
1670854080.045135,130513.000,19580,2,GY,1,100,0.122
1670854080.085390,130552.000,19580,2,GY,1,100,0.092
1670854080.129773,130595.000,19597,3,GY,1,100,0.122
1670854080.174157,130638.000,19597,3,GY,1,100,0.122
1670854080.218540,130681.000,19597,3,GY,1,100,0.122
1670854080.258279,130719.500,19612,2,GY,1,100,0.122
1670854080.298017,130758.000,19612,2,GY,1,100,0.153
1670854080.337928,130796.667,19628,3,GY,1,100,0.153
1670854080.377839,130835.333,19628,3,GY,1,100,0.183
1670854080.417749,130874.000,19628,3,GY,1,100,0.153
1670854080.457660,130912.667,19645,3,GY,1,100,0.122
1670854080.497571,130951.333,19645,3,GY,1,100,0.153
1670854080.537481,130990.000,19645,3,GY,1,100,0.122
1670854080.576704,131028.000,19664,2,GY,1,100,0.122
1670854080.615926,131066.000,19664,2,GY,1,100,0.153
1670854080.656869,131105.667,19679,3,GY,1,100,0.153
1670854080.697812,131145.333,19679,3,GY,1,100,0.153
1670854080.738755,131185.000,19679,3,GY,1,100,0.122
1670854080.777977,131223.000,19695,2,GY,1,100,0.183
1670854080.817199,131261.000,19695,2,GY,1,100,0.183
1670854080.857110,131299.667,19713,3,GY,1,100,0.153
1670854080.897021,131338.333,19713,3,GY,1,100,0.153
1670854080.936931,131377.000,19713,3,GY,1,100,0.183
1670854080.976842,131415.667,19729,3,GY,1,100,0.122
1670854081.016752,131454.333,19729,3,GY,1,100,0.092
1670854081.056663,131493.000,19729,3,GY,1,100,0.122
1670854081.096918,131532.000,19746,2,GY,1,100,0.153
1670854081.137172,131571.000,19746,2,GY,1,100,0.153
1670854081.180008,131612.500,19768,4,GY,1,100,0.153
1670854081.222843,131654.000,19768,4,GY,1,100,0.153
1670854081.265678,131695.500,19768,4,GY,1,100,0.153
1670854081.308513,131737.000,19768,4,GY,1,100,0.122
1670854081.348423,131775.667,19785,3,GY,1,100,0.092
1670854081.388334,131814.333,19785,3,GY,1,100,0.122
1670854081.428245,131853.000,19785,3,GY,1,100,0.122
1670854081.469532,131893.000,19799,2,GY,1,100,0.122
1670854081.510818,131933.000,19799,2,GY,1,100,0.122
1670854081.551073,131972.000,19819,3,GY,1,100,0.153
1670854081.591328,132011.000,19819,3,GY,1,100,0.183
1670854081.631582,132050.000,19819,3,GY,1,100,0.153
1670854081.671493,132088.667,19835,3,GY,1,100,0.153
1670854081.711404,132127.333,19835,3,GY,1,100,0.153
1670854081.751314,132166.000,19835,3,GY,1,100,0.153
1670854081.790537,132204.000,19852,2,GY,1,100,0.122
1670854081.829759,132242.000,19852,2,GY,1,100,0.122
1670854081.870014,132281.000,19869,3,GY,1,100,0.153
1670854081.910269,132320.000,19869,3,GY,1,100,0.153
1670854081.950523,132359.000,19869,3,GY,1,100,0.153
1670854081.989746,132397.000,19884,2,GY,1,100,0.153
1670854082.028968,132435.000,19884,2,GY,1,100,0.153
1670854082.069223,132474.000,19900,3,GY,1,100,0.122
1670854082.109478,132513.000,19900,3,GY,1,100,0.153
1670854082.149732,132552.000,19900,3,GY,1,100,0.122
1670854082.189987,132591.000,19918,3,GY,1,100,0.122
1670854082.230242,132630.000,19918,3,GY,1,100,0.122
1670854082.270496,132669.000,19918,3,GY,1,100,0.092
1670854082.310751,132708.000,19934,2,GY,1,100,0.122
1670854082.351006,132747.000,19934,2,GY,1,100,0.183
1670854082.397969,132792.500,19949,2,GY,1,100,0.153
1670854082.444933,132838.000,19949,2,GY,1,100,0.122
1670854082.484844,132876.667,19966,3,GY,1,100,0.153
1670854082.524755,132915.333,19966,3,GY,1,100,0.153
1670854082.564665,132954.000,19966,3,GY,1,100,0.183
1670854082.604232,132992.333,19985,3,GY,1,100,0.122
1670854082.643798,133030.667,19985,3,GY,1,100,0.153
1670854082.683365,133069.000,19985,3,GY,1,100,0.153
1670854082.723104,133107.500,20001,2,GY,1,100,0.153
1670854082.762842,133146.000,20001,2,GY,1,100,0.153
1670854082.803097,133185.000,20019,3,GY,1,100,0.122
1670854082.843351,133224.000,20019,3,GY,1,100,0.122
