LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1671000926.327990,35252.000,1690,1,T1,1,100,29.036
1671000926.461489,35384.000,1703,1,T1,1,100,29.051
1671000926.593977,35515.000,1710,1,T1,1,100,29.129
1671000926.727477,35647.000,1721,1,T1,1,100,29.056
1671000926.861987,35780.000,1728,1,T1,1,100,29.024
1671000926.993464,35910.000,1742,1,T1,1,100,29.010
1671000927.126963,36042.000,1750,1,T1,1,100,29.075
1671000927.260462,36174.000,1757,1,T1,1,100,28.962
1671000927.393961,36306.000,1771,1,T1,1,100,28.948
1671000927.526449,36437.000,1779,1,T1,1,100,28.977
1671000927.657926,36567.000,1787,1,T1,1,100,28.990
1671000927.791425,36699.000,1802,1,T1,1,100,29.067
1671000927.924924,36831.000,1810,1,T1,1,100,29.029
1671000928.059435,36964.000,1818,1,T1,1,100,29.083
1671000928.192934,37096.000,1826,1,T1,1,100,28.930
1671000928.326434,37228.000,1840,1,T1,1,100,29.111
1671000928.458921,37359.000,1847,1,T1,1,100,28.942
1671000928.592421,37491.000,1855,1,T1,1,100,28.975
1671000928.724909,37622.000,1871,1,T1,1,100,29.025
1671000928.858408,37754.000,1878,1,T1,1,100,28.904
1671000928.990896,37885.000,1887,1,T1,1,100,28.994
1671000929.124395,38017.000,1900,1,T1,1,100,28.927
1671000929.257894,38149.000,1907,1,T1,1,100,29.004
1671000929.391393,38281.000,1916,1,T1,1,100,28.966
1671000929.524893,38413.000,1929,1,T1,1,100,29.056
1671000929.657381,38544.000,1937,1,T1,1,100,29.095
1671000929.790880,38676.000,1947,1,T1,1,100,28.970
1671000929.921345,38805.000,1954,1,T1,1,100,28.987
1671000930.054844,38937.000,1968,1,T1,1,100,28.924
1671000930.189355,39070.000,1976,1,T1,1,100,29.002
1671000930.322854,39202.000,1984,1,T1,1,100,28.966
1671000930.455342,39333.000,1997,1,T1,1,100,28.914
1671000930.587830,39464.000,2005,1,T1,1,100,29.034
1671000930.721329,39596.000,2015,1,T1,1,100,28.979
1671000930.854828,39728.000,2028,1,T1,1,100,29.062
1671000930.987316,39859.000,2042,1,T1,1,100,28.991
1671000931.118793,39989.000,2049,1,T1,1,100,29.103
1671000931.252292,40121.000,2057,1,T1,1,100,29.044
1671000931.386803,40254.000,2071,1,T1,1,100,29.055
1671000931.520302,40386.000,2078,1,T1,1,100,29.024
1671000931.653801,40518.000,2087,1,T1,1,100,29.010
1671000931.787301,40650.000,2102,1,T1,1,100,28.969
1671000931.918777,40780.000,2109,1,T1,1,100,28.951
1671000932.051265,40911.000,2118,1,T1,1,100,28.979
1671000932.184764,41043.000,2125,1,T1,1,100,28.955
1671000932.318263,41175.000,2139,1,T1,1,100,28.981
1671000932.452774,41308.000,2147,1,T1,1,100,29.027
1671000932.584250,41438.000,2154,1,T1,1,100,29.012
1671000932.717750,41570.000,2170,1,T1,1,100,29.041
1671000932.851249,41702.000,2178,1,T1,1,100,28.982
1671000932.984748,41834.000,2186,1,T1,1,100,29.063
1671000933.118248,41966.000,2199,1,T1,1,100,28.992
1671000933.250736,42097.000,2207,1,T1,1,100,29.067
1671000933.383223,42228.000,2215,1,T1,1,100,28.994
1671000933.517734,42361.000,2228,1,T1,1,100,28.997
1671000933.651233,42493.000,2237,1,T1,1,100,29.034
1671000933.784732,42625.000,2246,1,T1,1,100,28.979
1671000933.918232,42757.000,2254,1,T1,1,100,28.956
1671000934.049708,42887.000,2268,1,T1,1,100,29.052
1671000934.183208,43019.000,2275,1,T1,1,100,28.987
1671000934.315695,43150.000,2284,1,T1,1,100,28.994
1671000934.449195,43282.000,2297,1,T1,1,100,29.068
1671000934.582694,43414.000,2304,1,T1,1,100,29.065
1671000934.715182,43545.000,2315,1,T1,1,100,28.957
1671000934.847670,43676.000,2328,1,T1,1,100,29.052
1671000934.980158,43807.000,2336,1,T1,1,100,28.987
1671000935.113657,43939.000,2344,1,T1,1,100,28.959
1671000935.247156,44071.000,2351,1,T1,1,100,28.947
1671000935.380655,44203.000,2365,1,T1,1,100,29.012
