LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1671000919.287928,28291.000,1163,1,TH,1,100,23.151
1671000919.421427,28423.000,1170,1,TH,1,100,23.150
1671000919.554926,28555.000,1178,1,TH,1,100,23.235
1671000919.688425,28687.000,1194,1,TH,1,100,23.235
1671000919.821925,28819.000,1201,1,TH,1,100,23.283
1671000919.953401,28949.000,1209,1,TH,1,100,23.283
1671000920.086900,29081.000,1223,1,TH,1,100,23.315
1671000920.220400,29213.000,1230,1,TH,1,100,23.315
1671000920.353899,29345.000,1239,1,TH,1,100,23.313
1671000920.485375,29475.000,1251,1,TH,1,100,23.313
1671000920.618875,29607.000,1265,1,TH,1,100,23.291
1671000920.752374,29739.000,1275,1,TH,1,100,23.291
1671000920.885873,29871.000,1282,1,TH,1,100,23.289
1671000921.019372,30003.000,1296,1,TH,1,100,23.289
1671000921.152872,30135.000,1304,1,TH,1,100,23.276
1671000921.286371,30267.000,1311,1,TH,1,100,23.268
1671000921.417847,30397.000,1325,1,TH,1,100,23.271
1671000921.551347,30529.000,1333,1,TH,1,100,23.271
1671000921.684846,30661.000,1341,1,TH,1,100,23.310
1671000921.818345,30793.000,1351,1,TH,1,100,23.311
1671000921.949822,30923.000,1365,1,TH,1,100,23.342
1671000922.083321,31055.000,1372,1,TH,1,100,23.342
1671000922.216820,31187.000,1380,1,TH,1,100,23.258
1671000922.350319,31319.000,1394,1,TH,1,100,23.257
1671000922.483819,31451.000,1401,1,TH,1,100,23.279
1671000922.615295,31581.000,1409,1,TH,1,100,23.279
1671000922.748795,31713.000,1425,1,TH,1,100,23.321
1671000922.881282,31844.000,1432,1,TH,1,100,23.321
1671000923.014782,31976.000,1441,1,TH,1,100,23.406
1671000923.148281,32108.000,1448,1,TH,1,100,23.406
1671000923.281780,32240.000,1462,1,TH,1,100,23.372
1671000923.414268,32371.000,1470,1,TH,1,100,23.372
1671000923.547767,32503.000,1477,1,TH,1,100,23.417
1671000923.681267,32635.000,1486,1,TH,1,100,23.417
1671000923.814766,32767.000,1501,1,TH,1,100,23.345
1671000923.948265,32899.000,1508,1,TH,1,100,23.345
1671000924.079741,33029.000,1517,1,TH,1,100,23.303
1671000924.213241,33161.000,1524,1,TH,1,100,23.295
1671000924.346740,33293.000,1538,1,TH,1,100,23.372
1671000924.480239,33425.000,1546,1,TH,1,100,23.380
1671000924.613739,33557.000,1553,1,TH,1,100,23.366
1671000924.747238,33689.000,1569,1,TH,1,100,23.366
1671000924.878714,33819.000,1577,1,TH,1,100,23.409
1671000925.012213,33951.000,1585,1,TH,1,100,23.409
1671000925.145713,34083.000,1598,1,TH,1,100,23.393
1671000925.279212,34215.000,1606,1,TH,1,100,23.386
1671000925.412711,34347.000,1614,1,TH,1,100,23.436
1671000925.544188,34477.000,1632,1,TH,1,100,23.436
1671000925.677687,34609.000,1643,1,TH,1,100,23.404
1671000925.811186,34741.000,1650,1,TH,1,100,23.404
1671000925.944686,34873.000,1658,1,TH,1,100,23.521
1671000926.077173,35004.000,1672,1,TH,1,100,23.521
1671000926.209661,35135.000,1679,1,TH,1,100,23.468
1671000926.341138,35265.000,1691,1,TH,1,100,23.468
1671000926.474637,35397.000,1704,1,TH,1,100,23.441
1671000926.608136,35529.000,1711,1,TH,1,100,23.441
1671000926.741636,35661.000,1722,1,TH,1,100,23.489
1671000926.875135,35793.000,1735,1,TH,1,100,23.489
1671000927.006611,35923.000,1743,1,TH,1,100,23.486
1671000927.140111,36055.000,1751,1,TH,1,100,23.486
1671000927.273610,36187.000,1758,1,TH,1,100,23.505
1671000927.407109,36319.000,1772,1,TH,1,100,23.505
1671000927.539597,36450.000,1780,1,TH,1,100,23.534
1671000927.672085,36581.000,1788,1,TH,1,100,23.534
1671000927.805584,36713.000,1803,1,TH,1,100,23.495
1671000927.939084,36845.000,1811,1,TH,1,100,23.487
1671000928.072583,36977.000,1819,1,TH,1,100,23.392
1671000928.206082,37109.000,1832,1,TH,1,100,23.392
1671000928.339581,37241.000,1841,1,TH,1,100,23.574
1671000928.472069,37372.000,1848,1,TH,1,100,23.575
1671000928.605568,37504.000,1856,1,TH,1,100,23.464
1671000928.739068,37636.000,1872,1,TH,1,100,23.471
1671000928.872567,37768.000,1879,1,TH,1,100,23.447
1671000929.005055,37899.000,1888,1,TH,1,100,23.439
1671000929.137543,38030.000,1901,1,TH,1,100,23.495
1671000929.271042,38162.000,1908,1,TH,1,100,23.495
1671000929.404541,38294.000,1917,1,TH,1,100,23.479
1671000929.538040,38426.000,1930,1,TH,1,100,23.479
1671000929.670528,38557.000,1938,1,TH,1,100,23.537
1671000929.804028,38689.000,1948,1,TH,1,100,23.538
1671000929.935504,38819.000,1955,1,TH,1,100,23.553
