LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1671000924.207173,33155.000,1522,2,EL,1,100,26467.000000
1671000924.271899,33219.000,1530,1,EL,1,100,26467.000000
1671000924.338649,33285.000,1536,2,EL,1,100,26467.000000
1671000924.405399,33351.000,1536,2,EL,1,100,26467.199219
1671000924.473160,33418.000,1544,1,EL,1,100,26467.400391
1671000924.539909,33484.000,1551,2,EL,1,100,26467.000000
1671000924.606659,33550.000,1551,2,EL,1,100,26467.000000
1671000924.673409,33616.000,1560,1,EL,1,100,26467.400391
1671000924.740158,33682.000,1567,2,EL,1,100,26467.000000
1671000924.806908,33748.000,1567,2,EL,1,100,26467.000000
1671000924.872646,33813.000,1575,1,EL,1,100,26467.000000
1671000924.939396,33879.000,1583,2,EL,1,100,26467.000000
1671000925.006145,33945.000,1583,2,EL,1,100,26467.000000
1671000925.071884,34010.000,1591,1,EL,1,100,26467.000000
1671000925.138633,34076.000,1596,2,EL,1,100,26467.000000
1671000925.205383,34142.000,1596,2,EL,1,100,26467.400391
1671000925.273144,34209.000,1604,1,EL,1,100,26467.199219
1671000925.339388,34274.500,1612,2,EL,1,100,26467.599609
1671000925.405632,34340.000,1612,2,EL,1,100,26467.800781
1671000925.471370,34405.000,1620,2,EL,1,100,26467.800781
1671000925.537108,34470.000,1620,2,EL,1,100,26468.000000
1671000925.603858,34536.000,1631,1,EL,1,100,26468.000000
1671000925.670608,34602.000,1641,2,EL,1,100,26468.000000
1671000925.737357,34668.000,1641,2,EL,1,100,26468.000000
1671000925.804107,34734.000,1648,1,EL,1,100,26468.000000
1671000925.870857,34800.000,1656,2,EL,1,100,26468.000000
1671000925.937606,34866.000,1656,2,EL,1,100,26468.000000
1671000926.004356,34932.000,1664,1,EL,1,100,26468.000000
1671000926.070094,34997.000,1670,2,EL,1,100,26468.000000
1671000926.135832,35062.000,1670,2,EL,1,100,26468.000000
