LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
637365.111729,637365.111707,1673971861.913075,3573612.000,60432,1,T1,1,100,28.337
637365.244858,637365.244836,1673971862.046200,3573741.000,60451,1,T1,1,100,28.323
637365.380051,637365.380029,1673971862.181389,3573872.000,60469,1,T1,1,100,28.353
637365.514212,637365.514190,1673971862.315547,3574002.000,60500,1,T1,1,100,28.436
637365.646309,637365.646287,1673971862.447640,3574130.000,60517,1,T1,1,100,28.331
637365.779438,637365.779416,1673971862.580765,3574259.000,60537,1,T1,1,100,28.320
637365.912567,637365.912545,1673971862.713890,3574388.000,60553,1,T1,1,100,28.280
637366.043632,637366.043609,1673971862.844951,3574515.000,60587,1,T1,1,100,28.299
637366.178825,637366.178802,1673971862.980140,3574646.000,60604,1,T1,1,100,28.342
637366.310922,637366.310899,1673971863.112234,3574774.000,60624,1,T1,1,100,28.361
637366.444051,637366.444028,1673971863.245359,3574903.000,60641,1,T1,1,100,28.404
637366.577180,637366.577157,1673971863.378484,3575032.000,60673,1,T1,1,100,28.352
637366.710309,637366.710286,1673971863.511609,3575161.000,60689,1,T1,1,100,28.365
637366.846534,637366.846511,1673971863.647830,3575293.000,60709,1,T1,1,100,28.300
637366.978630,637366.978608,1673971863.779923,3575421.000,60743,1,T1,1,100,28.342
637367.111759,637367.111737,1673971863.913049,3575550.000,60759,1,T1,1,100,28.432
637367.243856,637367.243834,1673971864.045142,3575678.000,60779,1,T1,1,100,28.400
637367.374921,637367.374899,1673971864.176203,3575805.000,60796,1,T1,1,100,28.279
637367.505986,637367.505964,1673971864.307264,3575932.000,60827,1,T1,1,100,28.263
637367.643243,637367.643221,1673971864.444517,3576065.000,60845,1,T1,1,100,28.291
637367.776372,637367.776350,1673971864.577642,3576194.000,60864,1,T1,1,100,28.374
637367.908469,637367.908447,1673971864.709736,3576322.000,60881,1,T1,1,100,28.339
637368.041598,637368.041576,1673971864.842861,3576451.000,60915,1,T1,1,100,28.359
637368.174727,637368.174705,1673971864.975986,3576580.000,60931,1,T1,1,100,28.368
637368.309920,637368.309898,1673971865.111175,3576711.000,60952,1,T1,1,100,28.337
637368.445113,637368.445091,1673971865.246364,3576842.000,60983,1,T1,1,100,28.394
637368.579274,637368.579252,1673971865.380522,3576972.000,60999,1,T1,1,100,28.419
637368.711371,637368.711349,1673971865.512615,3577100.000,61017,1,T1,1,100,28.358
637368.843468,637368.843446,1673971865.644708,3577228.000,61036,1,T1,1,100,28.332
637368.978661,637368.978639,1673971865.779897,3577359.000,61076,2,T1,1,100,28.321
637369.113854,637369.113832,1673971865.915086,3577490.000,61076,2,T1,1,100,28.352
637369.245951,637369.245929,1673971866.047179,3577618.000,61095,1,T1,1,100,28.365
637369.379080,637369.379057,1673971866.180305,3577747.000,61113,1,T1,1,100,28.371
637369.512209,637369.512186,1673971866.313430,3577876.000,61144,1,T1,1,100,28.409
637369.642242,637369.642219,1673971866.443459,3578002.000,61161,1,T1,1,100,28.425
637369.775371,637369.775348,1673971866.576584,3578131.000,61181,1,T1,1,100,28.432
637369.912628,637369.912605,1673971866.713837,3578264.000,61197,1,T1,1,100,28.400
637370.046789,637370.046766,1673971866.847994,3578394.000,61231,1,T1,1,100,28.421
637370.178886,637370.178863,1673971866.980088,3578522.000,61248,1,T1,1,100,28.360
637370.310983,637370.310960,1673971867.112181,3578650.000,61268,1,T1,1,100,28.368
637370.445143,637370.445121,1673971867.246338,3578780.000,61299,1,T1,1,100,28.301
637370.580336,637370.580314,1673971867.381527,3578911.000,61316,1,T1,1,100,28.379
637370.712433,637370.712411,1673971867.513620,3579039.000,61336,1,T1,1,100,28.447
637370.844530,637370.844508,1673971867.645713,3579167.000,61353,1,T1,1,100,28.406
637370.978691,637370.978669,1673971867.779871,3579297.000,61369,1,T1,1,100,28.353
637371.108724,637371.108702,1673971867.909900,3579423.000,61403,1,T1,1,100,28.330
637371.241853,637371.241831,1673971868.043025,3579552.000,61423,1,T1,1,100,28.356
637371.378078,637371.378056,1673971868.179246,3579684.000,61440,1,T1,1,100,28.296
637371.511207,637371.511185,1673971868.312371,3579813.000,61471,1,T1,1,100,28.305
637371.643304,637371.643282,1673971868.444464,3579941.000,61489,1,T1,1,100,28.345
637371.775401,637371.775379,1673971868.576558,3580069.000,61508,1,T1,1,100,28.326
637371.908530,637371.908508,1673971868.709683,3580198.000,61525,1,T1,1,100,28.460
637372.040627,637372.040605,1673971868.841776,3580326.000,61559,1,T1,1,100,28.376
637372.174788,637372.174766,1673971868.975933,3580456.000,61575,1,T1,1,100,28.376
637372.306885,637372.306863,1673971869.108026,3580584.000,61593,1,T1,1,100,28.375
637372.438982,637372.438959,1673971869.240119,3580712.000,61612,1,T1,1,100,28.446
637372.572111,637372.572088,1673971869.373245,3580841.000,61644,1,T1,1,100,28.370
637372.705240,637372.705217,1673971869.506370,3580970.000,61661,1,T1,1,100,28.337
637372.841465,637372.841442,1673971869.642591,3581102.000,61680,1,T1,1,100,28.323
637372.973562,637372.973539,1673971869.774684,3581230.000,61714,1,T1,1,100,28.353
637373.105659,637373.105636,1673971869.906777,3581358.000,61731,1,T1,1,100,28.330
637373.239820,637373.239797,1673971870.040935,3581488.000,61747,1,T1,1,100,28.320
637373.371917,637373.371894,1673971870.173028,3581616.000,61768,1,T1,1,100,28.458
637373.505046,637373.505023,1673971870.306153,3581745.000,61799,1,T1,1,100,28.375
637373.638175,637373.638152,1673971870.439278,3581874.000,61816,1,T1,1,100,28.340
637373.769239,637373.769217,1673971870.570339,3582001.000,61836,1,T1,1,100,28.395
637373.902368,637373.902346,1673971870.703465,3582130.000,61852,1,T1,1,100,28.348
637374.034465,637374.034443,1673971870.835558,3582258.000,61886,1,T1,1,100,28.363
637374.167594,637374.167572,1673971870.968683,3582387.000,61903,1,T1,1,100,28.370
637374.300723,637374.300701,1673971871.101808,3582516.000,61929,2,T1,1,100,28.408
637374.433852,637374.433830,1673971871.234933,3582645.000,61929,2,T1,1,100,28.389
