LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
637325.794310,637325.794288,1673971822.596773,3535514,54089,8,LM,1,100,637325.6893077,637325.6893035,637325.7246233,sync_event,
637326.319601,637326.319580,1673971823.122050,3536023,54175,8,LM,1,100,637326.1895894,637326.1895852,637326.2232466,sync_event,
637326.903718,637326.903696,1673971823.706150,3536589,54249,8,LM,1,100,637326.6896191,637326.6896300,637326.7233794,sync_event,
637327.326841,637327.326819,1673971824.129261,3536999,54320,8,LM,1,100,637327.1904933,637327.1905042,637327.2231936,sync_event,
637328.054406,637328.054384,1673971824.856805,3537704,54438,8,LM,1,100,637327.6909862,637327.6909971,637327.7236937,sync_event,
637328.321696,637328.321674,1673971825.124088,3537963,54476,8,LM,1,100,637328.1915200,637328.1915309,637328.2231036,sync_event,
637328.735531,637328.735509,1673971825.537911,3538364,54545,8,LM,1,100,637328.6924954,637328.6925170,637328.7073003,sync_event,
637329.263919,637329.263897,1673971826.066283,3538876,54632,8,LM,1,100,637329.1928900,637329.1929116,637329.2409238,sync_event,
637329.754122,637329.754100,1673971826.556473,3539351,54715,8,LM,1,100,637329.6930357,637329.6930573,637329.7237920,sync_event,
637330.287670,637330.287648,1673971827.090006,3539868,54803,8,LM,1,100,637330.1936352,637330.1936568,637330.2254423,sync_event,
637330.733497,637330.733475,1673971827.535820,3540300,54873,8,LM,1,100,637330.6951297,637330.6951269,637330.7248448,sync_event,
637331.235053,637331.235031,1673971828.037362,3540786,54959,8,LM,1,100,637331.1951908,637331.1951880,637331.2231085,sync_event,
637331.754152,637331.754131,1673971828.556447,3541289,55043,8,LM,1,100,637331.6962225,637331.6962197,637331.7241714,sync_event,
637332.294924,637332.294903,1673971829.097203,3541813,55121,8,LM,1,100,637332.1970764,637332.1970736,637332.2231988,sync_event,
637332.834664,637332.834643,1673971829.636928,3542336,55207,8,LM,1,100,637332.6971176,637332.6971198,637332.7252433,sync_event,
637333.250563,637333.250542,1673971830.052815,3542739,55276,8,LM,1,100,637333.1980658,637333.1980680,637333.2045410,sync_event,
637333.873896,637333.873874,1673971830.676130,3543343,55378,8,LM,1,100,637333.6981176,637333.6981198,637333.7723578,sync_event,
637334.268123,637334.268101,1673971831.070345,3543725,55448,8,LM,1,100,637334.1985018,637334.1985040,637334.2228638,sync_event,
637334.787222,637334.787201,1673971831.589430,3544228,55534,8,LM,1,100,637334.6989092,637334.6989199,637334.7232270,sync_event,
637335.308386,637335.308364,1673971832.110579,3544733,55620,8,LM,1,100,637335.1990477,637335.1990584,637335.2237011,sync_event,
637335.825422,637335.825400,1673971832.627600,3545234,55706,8,LM,1,100,637335.6991521,637335.6991628,637335.7231744,sync_event,
637336.245449,637336.245427,1673971833.047616,3545641,55776,8,LM,1,100,637336.1995451,637336.1995558,637336.2235397,sync_event,
637336.878069,637336.878048,1673971833.680218,3546254,55878,8,LM,1,100,637336.6998508,637336.6998681,637336.7234364,sync_event,
637337.247528,637337.247506,1673971834.049666,3546612,55932,8,LM,1,100,637337.2008733,637337.2008906,637337.2072471,sync_event,
637337.761468,637337.761446,1673971834.563591,3547110,56005,8,LM,1,100,637337.7012947,637337.7013120,637337.7395047,sync_event,
637338.258895,637338.258874,1673971835.061005,3547592,56092,8,LM,1,100,637338.2013938,637338.2014111,637338.2230107,sync_event,
637338.780059,637338.780037,1673971835.582154,3548097,56178,8,LM,1,100,637338.7023707,637338.7023957,637338.7232505,sync_event,
