LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
637316.350409,637316.350388,1673971813.153141,3526363.000,52561,2,AK,1,100,RD
637318.940748,637318.940727,1673971815.743407,3528873.000,53396,2,AK,1,100,52559
637321.531087,637321.531065,1673971818.333672,3531383.000,53396,2,AK,1,100,RD
637321.552243,637321.552221,1673971818.354827,3531403.500,53399,2,AK,1,100,53397
637321.573399,637321.573378,1673971818.375983,3531424.000,53399,2,AK,1,100,RD
637324.184894,637324.184872,1673971820.987403,3533954.500,54245,2,AK,1,100,53397
637326.796389,637326.796367,1673971823.598824,3536485.000,54245,2,AK,1,100,RD
637326.809289,637326.809267,1673971823.611724,3536497.500,54248,2,AK,1,100,54246
637326.822189,637326.822167,1673971823.624623,3536510.000,54248,2,AK,1,100,RD
637329.457420,637329.457398,1673971826.259779,3539063.500,55099,2,AK,1,100,54246
637332.092651,637332.092629,1673971828.894936,3541617.000,55099,2,AK,1,100,RD
637332.112259,637332.112237,1673971828.914543,3541636.000,55102,2,AK,1,100,55100
637332.131867,637332.131845,1673971828.934151,3541655.000,55102,2,AK,1,100,RD
637334.742330,637334.742308,1673971831.544539,3544184.500,55952,2,AK,1,100,55100
637337.352793,637337.352771,1673971834.154928,3546714.000,55952,2,AK,1,100,RD
637337.400781,637337.400759,1673971834.202915,3546760.500,55955,2,AK,1,100,55953
637337.448770,637337.448748,1673971834.250902,3546807.000,55955,2,AK,1,100,RD
637340.042204,637340.042182,1673971836.844263,3549320.000,56802,2,AK,1,100,55953
637342.635639,637342.635617,1673971839.437624,3551833.000,56802,2,AK,1,100,RD
637342.660407,637342.660385,1673971839.462391,3551857.000,56805,2,AK,1,100,56803
637342.685175,637342.685153,1673971839.487159,3551881.000,56805,2,AK,1,100,RD
637345.300798,637345.300776,1673971842.102707,3554415.500,57657,2,AK,1,100,56803
637347.916421,637347.916399,1673971844.718256,3556950.000,57657,2,AK,1,100,RD
637347.959765,637347.959743,1673971844.761599,3556992.000,57660,2,AK,1,100,57658
637348.003110,637348.003088,1673971844.804942,3557034.000,57660,2,AK,1,100,RD
637350.605316,637350.605294,1673971847.407075,3559555.500,58510,2,AK,1,100,57658
637353.207523,637353.207501,1673971850.009207,3562077.000,58510,2,AK,1,100,RD
637353.221455,637353.221433,1673971850.023139,3562090.500,58513,2,AK,1,100,58511
637353.235387,637353.235365,1673971850.037071,3562104.000,58513,2,AK,1,100,RD
637355.861846,637355.861824,1673971852.663455,3564649.000,59360,2,AK,1,100,58511
637358.488305,637358.488283,1673971855.289840,3567194.000,59360,2,AK,1,100,RD
637358.523910,637358.523887,1673971855.325443,3567228.500,59363,2,AK,1,100,59361
637358.559514,637358.559492,1673971855.361046,3567263.000,59363,2,AK,1,100,RD
637361.173073,637361.173050,1673971857.974530,3569795.500,60213,2,AK,1,100,59361
637363.786631,637363.786609,1673971860.588015,3572328.000,60213,2,AK,1,100,RD
637363.832556,637363.832534,1673971860.633938,3572372.500,60216,2,AK,1,100,60214
637363.878480,637363.878458,1673971860.679861,3572417.000,60216,2,AK,1,100,RD
637366.463659,637366.463637,1673971863.264966,3574922.000,61065,2,AK,1,100,60214
637369.048837,637369.048815,1673971865.850071,3577427.000,61065,2,AK,1,100,RD
637369.061221,637369.061199,1673971865.862455,3577439.000,61068,2,AK,1,100,61066
637369.073606,637369.073583,1673971865.874839,3577451.000,61068,2,AK,1,100,RD
637371.703677,637371.703654,1673971868.504835,3579999.500,61918,2,AK,1,100,61066
637374.333748,637374.333725,1673971871.134831,3582548.000,61918,2,AK,1,100,RD
637374.347680,637374.347657,1673971871.148763,3582561.500,61921,2,AK,1,100,61919
637374.361612,637374.361589,1673971871.162695,3582575.000,61921,2,AK,1,100,RD
637376.987039,637376.987016,1673971873.788047,3585119.000,62766,2,AK,1,100,61919
637379.612466,637379.612443,1673971876.413399,3587663.000,62766,2,AK,1,100,RD
637379.626914,637379.626891,1673971876.427847,3587677.000,62769,2,AK,1,100,62767
637379.641362,637379.641339,1673971876.442295,3587691.000,62769,2,AK,1,100,RD
637382.274013,637382.273990,1673971879.074871,3590242.000,63606,2,AK,1,100,62767
637384.906664,637384.906641,1673971881.707447,3592793.000,63606,2,AK,1,100,RD
637384.935044,637384.935021,1673971881.735826,3592820.500,63609,2,AK,1,100,63607
637384.963424,637384.963402,1673971881.764206,3592848.000,63609,2,AK,1,100,RD
