LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
637292.865532,637292.865511,1673971789.668932,3503606.500,48848,4,EM,1,100,RB
637292.917390,637292.917369,1673971789.720789,3503656.750,48848,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637292.969249,637292.969228,1673971789.772645,3503707.000,48848,4,EM,1,100,PS
637293.021107,637293.021086,1673971789.824502,3503757.250,48884,4,EM,1,100,RS
637293.072966,637293.072944,1673971789.876359,3503807.500,48884,4,EM,1,100,RB
637293.124824,637293.124803,1673971789.928216,3503857.750,48884,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637293.176682,637293.176661,1673971789.980073,3503908.000,48884,4,EM,1,100,PS
637293.228541,637293.228520,1673971790.031930,3503958.250,48918,4,EM,1,100,RS
637293.280399,637293.280378,1673971790.083787,3504008.500,48918,4,EM,1,100,RB
637293.332257,637293.332236,1673971790.135644,3504058.750,48918,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637293.384116,637293.384095,1673971790.187501,3504109.000,48918,4,EM,1,100,PS
637293.435974,637293.435953,1673971790.239358,3504159.250,48952,4,EM,1,100,RS
637293.487833,637293.487811,1673971790.291214,3504209.500,48952,4,EM,1,100,RB
637293.539691,637293.539670,1673971790.343071,3504259.750,48952,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637293.591549,637293.591528,1673971790.394928,3504310.000,48952,4,EM,1,100,PS
637293.643408,637293.643387,1673971790.446785,3504360.250,48986,4,EM,1,100,RS
637293.695266,637293.695245,1673971790.498642,3504410.500,48986,4,EM,1,100,RB
637293.747124,637293.747103,1673971790.550499,3504460.750,48986,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637293.798983,637293.798962,1673971790.602356,3504511.000,48986,4,EM,1,100,PS
637293.850841,637293.850820,1673971790.654213,3504561.250,49020,4,EM,1,100,RS
637293.902700,637293.902678,1673971790.706070,3504611.500,49020,4,EM,1,100,RB
637293.954558,637293.954537,1673971790.757927,3504661.750,49020,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637294.006416,637294.006395,1673971790.809783,3504712.000,49020,4,EM,1,100,PS
637294.064983,637294.064962,1673971790.868348,3504768.750,49057,4,EM,1,100,RS
637294.123549,637294.123528,1673971790.926913,3504825.500,49057,4,EM,1,100,RB
637294.182116,637294.182094,1673971790.985478,3504882.250,49057,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637294.240682,637294.240661,1673971791.044043,3504939.000,49057,4,EM,1,100,PS
637294.292540,637294.292519,1673971791.095900,3504989.250,49090,4,EM,1,100,RS
637294.344399,637294.344378,1673971791.147756,3505039.500,49090,4,EM,1,100,RB
637294.396257,637294.396236,1673971791.199613,3505089.750,49090,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637294.448115,637294.448094,1673971791.251470,3505140.000,49090,4,EM,1,100,PS
637294.499974,637294.499953,1673971791.303327,3505190.250,49124,4,EM,1,100,RS
637294.551832,637294.551811,1673971791.355184,3505240.500,49124,4,EM,1,100,RB
637294.603691,637294.603669,1673971791.407041,3505290.750,49124,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637294.655549,637294.655528,1673971791.458898,3505341.000,49124,4,EM,1,100,PS
637294.726499,637294.726478,1673971791.529846,3505409.750,49159,4,EM,1,100,RS
637294.797450,637294.797429,1673971791.600795,3505478.500,49159,4,EM,1,100,RB
637294.868400,637294.868379,1673971791.671743,3505547.250,49159,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637294.939351,637294.939330,1673971791.742692,3505616.000,49159,4,EM,1,100,PS
637295.011076,637295.011054,1673971791.814414,3505685.500,49197,4,EM,1,100,RS
637295.082800,637295.082779,1673971791.886137,3505755.000,49197,4,EM,1,100,RB
637295.154525,637295.154503,1673971791.957859,3505824.500,49197,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637295.226249,637295.226228,1673971792.029582,3505894.000,49197,4,EM,1,100,PS
637295.279913,637295.279892,1673971792.083245,3505946.000,49236,4,EM,1,100,RS
637295.333578,637295.333557,1673971792.136907,3505998.000,49236,4,EM,1,100,RB
637295.387242,637295.387221,1673971792.190570,3506050.000,49236,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637295.440907,637295.440885,1673971792.244233,3506102.000,49236,4,EM,1,100,PS
637295.492765,637295.492744,1673971792.296090,3506152.250,49269,4,EM,1,100,RS
637295.544623,637295.544602,1673971792.347947,3506202.500,49269,4,EM,1,100,RB
637295.596482,637295.596461,1673971792.399804,3506252.750,49269,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637295.648340,637295.648319,1673971792.451661,3506303.000,49269,4,EM,1,100,PS
637295.700198,637295.700177,1673971792.503518,3506353.250,49306,4,EM,1,100,RS
637295.752057,637295.752036,1673971792.555375,3506403.500,49306,4,EM,1,100,RB
637295.803915,637295.803894,1673971792.607231,3506453.750,49306,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637295.855774,637295.855752,1673971792.659088,3506504.000,49306,4,EM,1,100,PS
637295.907632,637295.907611,1673971792.710945,3506554.250,49337,4,EM,1,100,RS
637295.959490,637295.959469,1673971792.762802,3506604.500,49337,4,EM,1,100,RB
637296.011349,637296.011328,1673971792.814659,3506654.750,49337,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637296.063207,637296.063186,1673971792.866516,3506705.000,49337,4,EM,1,100,PS
637296.120484,637296.120462,1673971792.923791,3506760.500,49376,4,EM,1,100,RS
637296.177760,637296.177739,1673971792.981066,3506816.000,49376,4,EM,1,100,RB
637296.235036,637296.235015,1673971793.038340,3506871.500,49376,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637296.292313,637296.292292,1673971793.095615,3506927.000,49376,4,EM,1,100,PS
637296.343913,637296.343892,1673971793.147214,3506977.000,49407,4,EM,1,100,RS
637296.395514,637296.395492,1673971793.198813,3507027.000,49407,4,EM,1,100,RB
637296.447114,637296.447093,1673971793.250412,3507077.000,49407,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637296.498714,637296.498693,1673971793.302011,3507127.000,49407,4,EM,1,100,PS
637296.554701,637296.554679,1673971793.357996,3507181.250,49444,4,EM,1,100,RS
637296.610687,637296.610666,1673971793.413980,3507235.500,49444,4,EM,1,100,RB
637296.666673,637296.666652,1673971793.469965,3507289.750,49444,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637296.722660,637296.722639,1673971793.525950,3507344.000,49444,4,EM,1,100,PS
637296.774518,637296.774497,1673971793.577807,3507394.250,49476,4,EM,1,100,RS
637296.826377,637296.826355,1673971793.629664,3507444.500,49476,4,EM,1,100,RB
637296.878235,637296.878214,1673971793.681521,3507494.750,49476,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637296.930093,637296.930072,1673971793.733377,3507545.000,49476,4,EM,1,100,PS
637296.992530,637296.992509,1673971793.795812,3507605.500,49509,4,EM,1,100,RS
637297.054966,637297.054945,1673971793.858247,3507666.000,49509,4,EM,1,100,RB
637297.117403,637297.117382,1673971793.920681,3507726.500,49509,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637297.179839,637297.179818,1673971793.983116,3507787.000,49509,4,EM,1,100,PS
637297.231440,637297.231418,1673971794.034715,3507837.000,49548,4,EM,1,100,RS
637297.283040,637297.283019,1673971794.086314,3507887.000,49548,4,EM,1,100,RB
637297.334640,637297.334619,1673971794.137913,3507937.000,49548,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637297.386241,637297.386219,1673971794.189512,3507987.000,49548,4,EM,1,100,PS
637297.438099,637297.438078,1673971794.241369,3508037.250,49580,4,EM,1,100,RS
637297.489957,637297.489936,1673971794.293226,3508087.500,49580,4,EM,1,100,RB
637297.541816,637297.541795,1673971794.345083,3508137.750,49580,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637297.593674,637297.593653,1673971794.396940,3508188.000,49580,4,EM,1,100,PS
637297.645533,637297.645511,1673971794.448796,3508238.250,49616,4,EM,1,100,RS
637297.697391,637297.697370,1673971794.500653,3508288.500,49616,4,EM,1,100,RB
637297.749249,637297.749228,1673971794.552510,3508338.750,49616,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637297.801108,637297.801086,1673971794.604367,3508389.000,49616,4,EM,1,100,PS
637297.852966,637297.852945,1673971794.656224,3508439.250,49650,4,EM,1,100,RS
637297.904824,637297.904803,1673971794.708081,3508489.500,49650,4,EM,1,100,RB
637297.956683,637297.956662,1673971794.759938,3508539.750,49650,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637298.008541,637298.008520,1673971794.811795,3508590.000,49650,4,EM,1,100,PS
