LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
637557.450568,637557.450543,1673972054.246446,3759985.500,26245,2,AY,1,100,-0.068
637557.490300,637557.490275,1673972054.286178,3760024.000,26245,2,AY,1,100,-0.065
637557.530205,637557.530179,1673972054.326081,3760062.667,26262,3,AY,1,100,-0.069
637557.570109,637557.570084,1673972054.365984,3760101.333,26262,3,AY,1,100,-0.069
637557.610013,637557.609988,1673972054.405887,3760140.000,26262,3,AY,1,100,-0.068
637557.649917,637557.649892,1673972054.445790,3760178.667,26281,3,AY,1,100,-0.068
637557.689822,637557.689796,1673972054.485693,3760217.333,26281,3,AY,1,100,-0.069
637557.729726,637557.729701,1673972054.525596,3760256.000,26281,3,AY,1,100,-0.068
637557.769974,637557.769949,1673972054.565844,3760295.000,26296,2,AY,1,100,-0.069
637557.810223,637557.810197,1673972054.606091,3760334.000,26296,2,AY,1,100,-0.067
637557.850127,637557.850102,1673972054.645994,3760372.667,26312,3,AY,1,100,-0.067
637557.890031,637557.890006,1673972054.685897,3760411.333,26312,3,AY,1,100,-0.067
637557.929935,637557.929910,1673972054.725800,3760450.000,26312,3,AY,1,100,-0.067
637557.968120,637557.968094,1673972054.763983,3760487.000,26333,2,AY,1,100,-0.067
637558.006304,637558.006279,1673972054.802167,3760524.000,26333,2,AY,1,100,-0.067
637558.046208,637558.046183,1673972054.842070,3760562.667,26349,3,AY,1,100,-0.069
637558.086113,637558.086087,1673972054.881973,3760601.333,26349,3,AY,1,100,-0.068
637558.126017,637558.125992,1673972054.921876,3760640.000,26349,3,AY,1,100,-0.069
637558.166265,637558.166240,1673972054.962123,3760679.000,26365,3,AY,1,100,-0.067
637558.206513,637558.206488,1673972055.002370,3760718.000,26365,3,AY,1,100,-0.068
637558.246762,637558.246736,1673972055.042618,3760757.000,26365,3,AY,1,100,-0.067
637558.286494,637558.286469,1673972055.082349,3760795.500,26381,2,AY,1,100,-0.067
637558.326226,637558.326201,1673972055.122080,3760834.000,26381,2,AY,1,100,-0.069
637558.366131,637558.366105,1673972055.161983,3760872.667,26398,3,AY,1,100,-0.069
637558.406035,637558.406010,1673972055.201886,3760911.333,26398,3,AY,1,100,-0.067
637558.445939,637558.445914,1673972055.241789,3760950.000,26398,3,AY,1,100,-0.069
637558.492379,637558.492354,1673972055.288228,3760995.000,26417,2,AY,1,100,-0.068
637558.538820,637558.538795,1673972055.334667,3761040.000,26417,2,AY,1,100,-0.068
637558.578380,637558.578355,1673972055.374226,3761078.333,26435,3,AY,1,100,-0.066
637558.617940,637558.617915,1673972055.413786,3761116.667,26435,3,AY,1,100,-0.068
637558.657501,637558.657475,1673972055.453345,3761155.000,26435,3,AY,1,100,-0.068
637558.697749,637558.697724,1673972055.493592,3761194.000,26451,2,AY,1,100,-0.069
637558.737997,637558.737972,1673972055.533839,3761233.000,26451,2,AY,1,100,-0.068
637558.777214,637558.777188,1673972055.573054,3761271.000,26468,3,AY,1,100,-0.069
637558.816430,637558.816405,1673972055.612269,3761309.000,26468,3,AY,1,100,-0.067
637558.855646,637558.855621,1673972055.651484,3761347.000,26468,3,AY,1,100,-0.069
637558.895550,637558.895525,1673972055.691388,3761385.667,26485,3,AY,1,100,-0.068
637558.935455,637558.935429,1673972055.731291,3761424.333,26485,3,AY,1,100,-0.067
637558.975359,637558.975334,1673972055.771194,3761463.000,26485,3,AY,1,100,-0.069
637559.015091,637559.015066,1673972055.810925,3761501.500,26505,2,AY,1,100,-0.069
637559.054824,637559.054798,1673972055.850656,3761540.000,26505,2,AY,1,100,-0.067
637559.095072,637559.095047,1673972055.890903,3761579.000,26521,3,AY,1,100,-0.066
637559.135320,637559.135295,1673972055.931151,3761618.000,26521,3,AY,1,100,-0.070
637559.175568,637559.175543,1673972055.971398,3761657.000,26521,3,AY,1,100,-0.069
637559.215043,637559.215017,1673972056.010871,3761695.250,26544,4,AY,1,100,-0.066
637559.254517,637559.254492,1673972056.050344,3761733.500,26544,4,AY,1,100,-0.068
637559.293991,637559.293966,1673972056.089817,3761771.750,26544,4,AY,1,100,-0.068
637559.333466,637559.333440,1673972056.129290,3761810.000,26544,4,AY,1,100,-0.067
637559.372682,637559.372657,1673972056.168506,3761848.000,26563,3,AY,1,100,-0.069
637559.411898,637559.411873,1673972056.207721,3761886.000,26563,3,AY,1,100,-0.067
637559.451114,637559.451089,1673972056.246936,3761924.000,26563,3,AY,1,100,-0.069
637559.491363,637559.491337,1673972056.287183,3761963.000,26580,3,AY,1,100,-0.068
637559.531611,637559.531586,1673972056.327430,3762002.000,26580,3,AY,1,100,-0.069
637559.571859,637559.571834,1673972056.367677,3762041.000,26580,3,AY,1,100,-0.067
637559.618300,637559.618274,1673972056.414116,3762086.000,26595,2,AY,1,100,-0.068
637559.664740,637559.664715,1673972056.460555,3762131.000,26595,2,AY,1,100,-0.067
637559.704644,637559.704619,1673972056.500458,3762169.667,26614,3,AY,1,100,-0.069
637559.744549,637559.744523,1673972056.540362,3762208.333,26614,3,AY,1,100,-0.066
637559.784453,637559.784427,1673972056.580265,3762247.000,26614,3,AY,1,100,-0.069
637559.824185,637559.824160,1673972056.619996,3762285.500,26630,2,AY,1,100,-0.068
637559.863917,637559.863892,1673972056.659727,3762324.000,26630,2,AY,1,100,-0.067
637559.903822,637559.903796,1673972056.699630,3762362.667,26651,3,AY,1,100,-0.068
637559.943726,637559.943701,1673972056.739533,3762401.333,26651,3,AY,1,100,-0.068
637559.983630,637559.983605,1673972056.779437,3762440.000,26651,3,AY,1,100,-0.067
637560.022847,637560.022821,1673972056.818652,3762478.000,26666,2,AY,1,100,-0.068
637560.062063,637560.062037,1673972056.857867,3762516.000,26666,2,AY,1,100,-0.067
637560.102311,637560.102286,1673972056.898114,3762555.000,26683,5,AY,1,100,-0.069
637560.142559,637560.142534,1673972056.938361,3762594.000,26683,5,AY,1,100,-0.069
637560.182808,637560.182782,1673972056.978608,3762633.000,26683,5,AY,1,100,-0.067
637560.223056,637560.223031,1673972057.018856,3762672.000,26683,5,AY,1,100,-0.069
637560.263304,637560.263279,1673972057.059103,3762711.000,26683,5,AY,1,100,-0.067
637560.303553,637560.303527,1673972057.099350,3762750.000,26699,2,AY,1,100,-0.067
637560.343801,637560.343776,1673972057.139597,3762789.000,26699,2,AY,1,100,-0.068
637560.383705,637560.383680,1673972057.179500,3762827.667,26715,3,AY,1,100,-0.066
637560.423609,637560.423584,1673972057.219403,3762866.333,26715,3,AY,1,100,-0.069
637560.463514,637560.463488,1673972057.259306,3762905.000,26715,3,AY,1,100,-0.066
637560.503246,637560.503221,1673972057.299038,3762943.500,26734,2,AY,1,100,-0.068
637560.542978,637560.542953,1673972057.338769,3762982.000,26734,2,AY,1,100,-0.068
637560.582883,637560.582857,1673972057.378672,3763020.667,26752,3,AY,1,100,-0.066
637560.622787,637560.622762,1673972057.418575,3763059.333,26752,3,AY,1,100,-0.067
637560.662691,637560.662666,1673972057.458478,3763098.000,26752,3,AY,1,100,-0.068
637560.702939,637560.702914,1673972057.498725,3763137.000,26770,2,AY,1,100,-0.067
637560.743188,637560.743162,1673972057.538973,3763176.000,26770,2,AY,1,100,-0.067
637560.787220,637560.787195,1673972057.583004,3763218.667,26785,3,AY,1,100,-0.067
637560.831252,637560.831227,1673972057.627035,3763261.333,26785,3,AY,1,100,-0.067
637560.875285,637560.875259,1673972057.671066,3763304.000,26785,3,AY,1,100,-0.068
637560.915017,637560.914992,1673972057.710797,3763342.500,26805,2,AY,1,100,-0.066
637560.954749,637560.954724,1673972057.750528,3763381.000,26805,2,AY,1,100,-0.068
637560.995342,637560.995316,1673972057.791119,3763420.333,26822,3,AY,1,100,-0.068
637561.035934,637561.035908,1673972057.831710,3763459.667,26822,3,AY,1,100,-0.066
637561.076526,637561.076501,1673972057.872301,3763499.000,26822,3,AY,1,100,-0.069
637561.116430,637561.116405,1673972057.912205,3763537.667,26838,3,AY,1,100,-0.066
637561.156335,637561.156309,1673972057.952108,3763576.333,26838,3,AY,1,100,-0.067
637561.196239,637561.196214,1673972057.992011,3763615.000,26838,3,AY,1,100,-0.068
637561.236487,637561.236462,1673972058.032258,3763654.000,26854,2,AY,1,100,-0.067
637561.276736,637561.276710,1673972058.072505,3763693.000,26854,2,AY,1,100,-0.067
637561.316640,637561.316615,1673972058.112408,3763731.667,26870,3,AY,1,100,-0.068
637561.356544,637561.356519,1673972058.152312,3763770.333,26870,3,AY,1,100,-0.069
637561.396448,637561.396423,1673972058.192215,3763809.000,26870,3,AY,1,100,-0.068
637561.436009,637561.435983,1673972058.231774,3763847.333,26890,3,AY,1,100,-0.068
637561.475569,637561.475544,1673972058.271333,3763885.667,26890,3,AY,1,100,-0.068
637561.515129,637561.515104,1673972058.310892,3763924.000,26890,3,AY,1,100,-0.068
637561.555894,637561.555868,1673972058.351655,3763963.500,26906,2,AY,1,100,-0.070
637561.596658,637561.596633,1673972058.392418,3764003.000,26906,2,AY,1,100,-0.069
637561.636906,637561.636881,1673972058.432666,3764042.000,26926,3,AY,1,100,-0.067
637561.677154,637561.677129,1673972058.472913,3764081.000,26926,3,AY,1,100,-0.067
637561.717403,637561.717377,1673972058.513160,3764120.000,26926,3,AY,1,100,-0.068
637561.757651,637561.757626,1673972058.553407,3764159.000,26940,2,AY,1,100,-0.069
637561.797899,637561.797874,1673972058.593654,3764198.000,26940,2,AY,1,100,-0.069
