LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
637341.001971,637341.001949,1673971837.804003,3550250.000,56557,1,B%,1,100,50
637341.999922,637341.999900,1673971838.801925,3551217.000,56731,1,B%,1,100,50
637343.004066,637343.004044,1673971839.806040,3552190.000,56878,1,B%,1,100,50
637343.999953,637343.999931,1673971840.801899,3553155.000,57033,1,B%,1,100,50
637344.997904,637344.997882,1673971841.799822,3554122.000,57206,1,B%,1,100,50
637345.992759,637345.992737,1673971842.794649,3555086.000,57361,1,B%,1,100,50
637346.989678,637346.989656,1673971843.791539,3556052.000,57516,1,B%,1,100,50
637347.987630,637347.987608,1673971844.789462,3557019.000,57680,1,B%,1,100,50
637348.984549,637348.984527,1673971845.786353,3557985.000,57837,1,B%,1,100,50
637349.988692,637349.988670,1673971846.790468,3558958.000,57992,1,B%,1,100,50
637350.987675,637350.987653,1673971847.789423,3559926.000,58165,1,B%,1,100,50
637351.984594,637351.984572,1673971848.786314,3560892.000,58319,1,B%,1,100,50
637352.984610,637352.984588,1673971849.786300,3561861.000,58492,1,B%,1,100,50
637353.980497,637353.980475,1673971850.782159,3562826.000,58637,1,B%,1,100,50
637354.977416,637354.977394,1673971851.779050,3563792.000,58810,1,B%,1,100,50
637355.973303,637355.973281,1673971852.774909,3564757.000,58981,1,B%,1,100,50
637356.970222,637356.970200,1673971853.771800,3565723.000,59137,1,B%,1,100,50
637357.968174,637357.968151,1673971854.769722,3566690.000,59292,1,B%,1,100,50
637358.966125,637358.966103,1673971855.767645,3567657.000,59454,1,B%,1,100,50
637359.969236,637359.969214,1673971856.770728,3568629.000,59609,1,B%,1,100,50
637360.968219,637360.968197,1673971857.769683,3569597.000,59781,1,B%,1,100,50
637361.965138,637361.965116,1673971858.766574,3570563.000,59937,1,B%,1,100,50
637362.964122,637362.964099,1673971859.765529,3571531.000,60091,1,B%,1,100,50
