LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
637518.705053,637518.705028,1673972015.502032,3722441.667,19952,3,PG,1,100,811
637518.745645,637518.745620,1673972015.542624,3722481.000,19952,3,PG,1,100,811
637518.786925,637518.786901,1673972015.583903,3722521.000,19971,2,PG,1,100,814
637518.828205,637518.828181,1673972015.625182,3722561.000,19971,2,PG,1,100,809
637518.868454,637518.868429,1673972015.665429,3722600.000,19987,3,PG,1,100,810
637518.908702,637518.908677,1673972015.705676,3722639.000,19987,3,PG,1,100,814
637518.948950,637518.948926,1673972015.745923,3722678.000,19987,3,PG,1,100,817
637518.988511,637518.988486,1673972015.785482,3722716.333,20006,3,PG,1,100,810
637519.028071,637519.028046,1673972015.825042,3722754.667,20006,3,PG,1,100,801
637519.067631,637519.067607,1673972015.864601,3722793.000,20006,3,PG,1,100,822
637519.106847,637519.106823,1673972015.903816,3722831.000,20022,2,PG,1,100,817
637519.146064,637519.146039,1673972015.943031,3722869.000,20022,2,PG,1,100,813
637519.189752,637519.189727,1673972015.986718,3722911.333,20039,3,PG,1,100,810
637519.233440,637519.233416,1673972016.030405,3722953.667,20039,3,PG,1,100,810
637519.277129,637519.277104,1673972016.074092,3722996.000,20039,3,PG,1,100,817
637519.316345,637519.316320,1673972016.113307,3723034.000,20056,2,PG,1,100,811
637519.355561,637519.355537,1673972016.152523,3723072.000,20056,2,PG,1,100,811
637519.395466,637519.395441,1673972016.192426,3723110.667,20072,3,PG,1,100,815
637519.435370,637519.435345,1673972016.232329,3723149.333,20072,3,PG,1,100,809
637519.475274,637519.475249,1673972016.272232,3723188.000,20072,3,PG,1,100,810
637519.516038,637519.516014,1673972016.312995,3723227.500,20090,2,PG,1,100,822
637519.556803,637519.556778,1673972016.353758,3723267.000,20090,2,PG,1,100,818
637519.597739,637519.597714,1673972016.394693,3723306.667,20107,3,PG,1,100,811
637519.638675,637519.638651,1673972016.435629,3723346.333,20107,3,PG,1,100,808
637519.679612,637519.679587,1673972016.476564,3723386.000,20107,3,PG,1,100,817
637519.719516,637519.719491,1673972016.516467,3723424.667,20126,3,PG,1,100,811
637519.759420,637519.759396,1673972016.556370,3723463.333,20126,3,PG,1,100,815
637519.799324,637519.799300,1673972016.596273,3723502.000,20126,3,PG,1,100,808
637519.839573,637519.839548,1673972016.636520,3723541.000,20143,2,PG,1,100,828
637519.879821,637519.879796,1673972016.676768,3723580.000,20143,2,PG,1,100,810
637519.919037,637519.919013,1673972016.715983,3723618.000,20157,3,PG,1,100,819
637519.958254,637519.958229,1673972016.755198,3723656.000,20157,3,PG,1,100,809
637519.997470,637519.997445,1673972016.794413,3723694.000,20157,3,PG,1,100,814
637520.037718,637520.037694,1673972016.834660,3723733.000,20175,2,PG,1,100,814
637520.077966,637520.077942,1673972016.874907,3723772.000,20175,2,PG,1,100,811
637520.117871,637520.117846,1673972016.914810,3723810.667,20194,3,PG,1,100,803
637520.157775,637520.157750,1673972016.954714,3723849.333,20194,3,PG,1,100,805
637520.197679,637520.197655,1673972016.994617,3723888.000,20194,3,PG,1,100,819
637520.237928,637520.237903,1673972017.034864,3723927.000,20211,3,PG,1,100,813
637520.278176,637520.278151,1673972017.075111,3723966.000,20211,3,PG,1,100,811
637520.318424,637520.318400,1673972017.115358,3724005.000,20211,3,PG,1,100,810
637520.357984,637520.357960,1673972017.154917,3724043.333,20231,3,PG,1,100,817
637520.397545,637520.397520,1673972017.194477,3724081.667,20231,3,PG,1,100,809
637520.437105,637520.437080,1673972017.234036,3724120.000,20231,3,PG,1,100,813
637520.476321,637520.476297,1673972017.273251,3724158.000,20247,2,PG,1,100,811
637520.515538,637520.515513,1673972017.312466,3724196.000,20247,2,PG,1,100,817
637520.555098,637520.555073,1673972017.352025,3724234.333,20262,3,PG,1,100,813
637520.594658,637520.594634,1673972017.391584,3724272.667,20262,3,PG,1,100,813
637520.634218,637520.634194,1673972017.431144,3724311.000,20262,3,PG,1,100,806
637520.674123,637520.674098,1673972017.471047,3724349.667,20280,3,PG,1,100,812
637520.714027,637520.714002,1673972017.510950,3724388.333,20280,3,PG,1,100,816
637520.753931,637520.753907,1673972017.550853,3724427.000,20280,3,PG,1,100,810
637520.794180,637520.794155,1673972017.591100,3724466.000,20298,2,PG,1,100,809
637520.834428,637520.834403,1673972017.631347,3724505.000,20298,2,PG,1,100,810
637520.874332,637520.874308,1673972017.671250,3724543.667,20318,3,PG,1,100,813
637520.914236,637520.914212,1673972017.711154,3724582.333,20318,3,PG,1,100,816
637520.954141,637520.954116,1673972017.751057,3724621.000,20318,3,PG,1,100,814
637521.000581,637521.000556,1673972017.797496,3724666.000,20333,2,PG,1,100,810
637521.047021,637521.046997,1673972017.843935,3724711.000,20333,2,PG,1,100,805
637521.087614,637521.087589,1673972017.884526,3724750.333,20350,3,PG,1,100,811
637521.128206,637521.128181,1673972017.925117,3724789.667,20350,3,PG,1,100,823
637521.168798,637521.168774,1673972017.965708,3724829.000,20350,3,PG,1,100,811
637521.209563,637521.209538,1673972018.006471,3724868.500,20366,2,PG,1,100,814
637521.250327,637521.250302,1673972018.047234,3724908.000,20366,2,PG,1,100,810
637521.289887,637521.289863,1673972018.086794,3724946.333,20384,3,PG,1,100,818
637521.329447,637521.329423,1673972018.126353,3724984.667,20384,3,PG,1,100,805
637521.369008,637521.368983,1673972018.165912,3725023.000,20384,3,PG,1,100,815
637521.408224,637521.408199,1673972018.205127,3725061.000,20403,3,PG,1,100,817
637521.447440,637521.447416,1673972018.244342,3725099.000,20403,3,PG,1,100,814
637521.486657,637521.486632,1673972018.283557,3725137.000,20403,3,PG,1,100,808
637521.526389,637521.526364,1673972018.323288,3725175.500,20418,2,PG,1,100,805
637521.566121,637521.566097,1673972018.363020,3725214.000,20418,2,PG,1,100,807
637521.606025,637521.606001,1673972018.402923,3725252.667,20434,3,PG,1,100,801
