LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
637435.669046,637435.669022,1673971932.468386,3641981.000,6356,2,EA,1,100,0.030319
637435.735094,637435.735071,1673971932.534433,3642045.000,6373,1,EA,1,100,0.030319
637435.801659,637435.801635,1673971932.600995,3642109.500,6392,2,EA,1,100,0.030319
637435.868223,637435.868200,1673971932.667558,3642174.000,6392,2,EA,1,100,0.030319
637435.933240,637435.933216,1673971932.732573,3642237.000,6410,2,EA,1,100,0.030319
637435.998256,637435.998233,1673971932.797587,3642300.000,6410,2,EA,1,100,0.030319
637436.066369,637436.066345,1673971932.865698,3642366.000,6426,1,EA,1,100,0.030319
637436.132933,637436.132910,1673971932.932260,3642430.500,6444,2,EA,1,100,0.030319
637436.199498,637436.199474,1673971932.998823,3642495.000,6444,2,EA,1,100,0.030318
637436.267610,637436.267587,1673971933.066933,3642561.000,6460,1,EA,1,100,0.030319
637436.334691,637436.334667,1673971933.134012,3642626.000,6478,2,EA,1,100,0.030319
637436.401771,637436.401748,1673971933.201091,3642691.000,6478,2,EA,1,100,0.030319
637436.467820,637436.467796,1673971933.267137,3642755.000,6494,1,EA,1,100,0.030318
637436.533868,637436.533845,1673971933.333184,3642819.000,6512,2,EA,1,100,0.030318
637436.599917,637436.599893,1673971933.399230,3642883.000,6512,2,EA,1,100,0.030318
637436.665965,637436.665942,1673971933.465277,3642947.000,6528,2,EA,1,100,0.030318
637436.732013,637436.731990,1673971933.531323,3643011.000,6528,2,EA,1,100,0.030318
637436.799094,637436.799071,1673971933.598402,3643076.000,6545,1,EA,1,100,0.030318
637436.865142,637436.865119,1673971933.664449,3643140.000,6565,2,EA,1,100,0.030318
637436.931191,637436.931168,1673971933.730495,3643204.000,6565,2,EA,1,100,0.030318
637436.999303,637436.999280,1673971933.798606,3643270.000,6582,1,EA,1,100,0.030318
637437.066384,637437.066361,1673971933.865685,3643335.000,6598,2,EA,1,100,0.030318
637437.133464,637437.133441,1673971933.932763,3643400.000,6598,2,EA,1,100,0.030318
637437.198481,637437.198457,1673971933.997778,3643463.000,6616,1,EA,1,100,0.030318
637437.264529,637437.264506,1673971934.063824,3643527.000,6633,2,EA,1,100,0.030318
637437.330578,637437.330554,1673971934.129871,3643591.000,6633,2,EA,1,100,0.030318
637437.396626,637437.396603,1673971934.195917,3643655.000,6650,2,EA,1,100,0.030318
637437.462675,637437.462651,1673971934.261964,3643719.000,6650,2,EA,1,100,0.030318
637437.529755,637437.529732,1673971934.329043,3643784.000,6667,1,EA,1,100,0.030318
637437.595804,637437.595780,1673971934.395089,3643848.000,6689,2,EA,1,100,0.030318
637437.661852,637437.661829,1673971934.461136,3643912.000,6689,2,EA,1,100,0.030318
637437.728417,637437.728393,1673971934.527698,3643976.500,6705,2,EA,1,100,0.030318
637437.794981,637437.794958,1673971934.594261,3644041.000,6705,2,EA,1,100,0.030318
637437.861030,637437.861006,1673971934.660308,3644105.000,6726,1,EA,1,100,0.030318
637437.927078,637437.927055,1673971934.726354,3644169.000,6742,2,EA,1,100,0.030318
637437.993127,637437.993103,1673971934.792401,3644233.000,6742,2,EA,1,100,0.030318
637438.060207,637438.060184,1673971934.859479,3644298.000,6759,1,EA,1,100,0.030318
637438.126772,637438.126748,1673971934.926042,3644362.500,6776,2,EA,1,100,0.030318
637438.193336,637438.193313,1673971934.992604,3644427.000,6776,2,EA,1,100,0.030318
637438.257320,637438.257297,1673971935.056587,3644489.000,6793,1,EA,1,100,0.030318
637438.323885,637438.323862,1673971935.123150,3644553.500,6811,2,EA,1,100,0.030318
637438.390449,637438.390426,1673971935.189712,3644618.000,6811,2,EA,1,100,0.030318
637438.457530,637438.457507,1673971935.256791,3644683.000,6828,2,EA,1,100,0.030319
637438.524610,637438.524587,1673971935.323869,3644748.000,6828,2,EA,1,100,0.030318
637438.589627,637438.589603,1673971935.388884,3644811.000,6844,1,EA,1,100,0.030319
637438.657223,637438.657200,1673971935.456479,3644876.500,6861,2,EA,1,100,0.030318
637438.724820,637438.724796,1673971935.524073,3644942.000,6861,2,EA,1,100,0.030319
637438.791900,637438.791877,1673971935.591152,3645007.000,6877,1,EA,1,100,0.030319
637438.858465,637438.858441,1673971935.657714,3645071.500,6898,2,EA,1,100,0.030319
637438.925029,637438.925006,1673971935.724277,3645136.000,6898,2,EA,1,100,0.030319
637438.991078,637438.991054,1673971935.790323,3645200.000,6914,1,EA,1,100,0.030319
637439.058158,637439.058135,1673971935.857402,3645265.000,6931,2,EA,1,100,0.030319
637439.125239,637439.125215,1673971935.924481,3645330.000,6931,2,EA,1,100,0.030319
637439.191803,637439.191780,1673971935.991043,3645394.500,6948,2,EA,1,100,0.030319
637439.258368,637439.258344,1673971936.057606,3645459.000,6948,2,EA,1,100,0.030319
637439.323384,637439.323361,1673971936.122621,3645522.000,6968,1,EA,1,100,0.030319
637439.388917,637439.388893,1673971936.188151,3645585.500,6982,2,EA,1,100,0.030319
637439.454449,637439.454426,1673971936.253682,3645649.000,6982,2,EA,1,100,0.030319
637439.521530,637439.521506,1673971936.320760,3645714.000,7000,1,EA,1,100,0.030319
637439.588094,637439.588071,1673971936.387323,3645778.500,7016,2,EA,1,100,0.030319
637439.654659,637439.654635,1673971936.453886,3645843.000,7016,2,EA,1,100,0.030319
637439.720707,637439.720684,1673971936.519932,3645907.000,7033,1,EA,1,100,0.030319
637439.787271,637439.787248,1673971936.586495,3645971.500,7052,2,EA,1,100,0.030319
637439.853836,637439.853813,1673971936.653057,3646036.000,7052,2,EA,1,100,0.030319
637439.920400,637439.920377,1673971936.719620,3646100.500,7070,2,EA,1,100,0.030319
637439.986965,637439.986942,1673971936.786182,3646165.000,7070,2,EA,1,100,0.030319
