LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
637397.884157,637397.884135,1673971894.684572,3605368,158,4,TX,1,100,637397.7678672,637397.7678856,
637398.386745,637398.386722,1673971895.187145,3605855,245,4,TX,1,100,637398.2680805,637398.2680989,
637398.902749,637398.902726,1673971895.703134,3606355,330,4,TX,1,100,637398.7687085,637398.7687377,
637399.316584,637399.316561,1673971896.116957,3606756,400,4,TX,1,100,637399.2687925,637399.2688217,
637399.940948,637399.940925,1673971896.741304,3607361,502,4,TX,1,100,637399.7698274,637399.7698566,
637400.357879,637400.357856,1673971897.158223,3607765,573,4,TX,1,100,637400.2701464,637400.2701756,
637400.850147,637400.850124,1673971897.650477,3608242,646,4,TX,1,100,637400.7702779,637400.7702880,
637401.352734,637401.352712,1673971898.153050,3608729,734,4,TX,1,100,637401.2704860,637401.2704961,
637401.810946,637401.810923,1673971898.611248,3609173,802,4,TX,1,100,637401.7710334,637401.7710435,
637402.443566,637402.443543,1673971899.243851,3609786,905,4,TX,1,100,637402.2710456,637402.2710557,
637403.076187,637403.076164,1673971899.876454,3610399,1009,4,TX,1,100,637402.7710699,637402.7710856,
637403.312516,637403.312494,1673971900.112777,3610628,1045,4,TX,1,100,637403.2714720,637403.2714877,
637403.809944,637403.809921,1673971900.610190,3611110,1131,4,TX,1,100,637403.7719401,637403.7719558,
637404.329044,637404.329021,1673971901.129275,3611613,1218,4,TX,1,100,637404.2725884,637404.2726041,
637404.837823,637404.837801,1673971901.638040,3612106,1301,4,TX,1,100,637404.7728728,637404.7728735,
637405.311515,637405.311492,1673971902.111718,3612565,1373,4,TX,1,100,637405.2738226,637405.2738233,
637405.860543,637405.860520,1673971902.660731,3613097,1459,4,TX,1,100,637405.7743313,637405.7743320,
637406.378611,637406.378588,1673971903.178783,3613599,1551,4,TX,1,100,637406.2751426,637406.2751433,
637406.881198,637406.881175,1673971903.681357,3614086,1635,4,TX,1,100,637406.7752842,637406.7753030,
637407.332185,637407.332163,1673971904.132331,3614523,1706,4,TX,1,100,637407.2761949,637407.2762137,
637407.820325,637407.820302,1673971904.620457,3614996,1791,4,TX,1,100,637407.7770034,637407.7770222,
637408.436433,637408.436411,1673971905.236548,3615593,1894,4,TX,1,100,637408.2779300,637408.2779488,
637408.863685,637408.863662,1673971905.663787,3616007,1963,4,TX,1,100,637408.7781484,637408.7781580,
637409.332216,637409.332193,1673971906.132305,3616461,2033,4,TX,1,100,637409.2783308,637409.2783404,
637409.849252,637409.849229,1673971906.649326,3616962,2119,4,TX,1,100,637409.7784991,637409.7785086,
637410.373511,637410.373488,1673971907.173571,3617470,2206,4,TX,1,100,637410.2791968,637410.2792063,
637410.873003,637410.872980,1673971907.673048,3617954,2290,4,TX,1,100,637410.7800442,637410.7800447,
637411.344630,637411.344607,1673971908.144662,3618411,2365,4,TX,1,100,637411.2802105,637411.2802109,
637411.895722,637411.895699,1673971908.695739,3618945,2451,4,TX,1,100,637411.7805294,637411.7805298,
637412.319877,637412.319854,1673971909.119881,3619356,2521,4,TX,1,100,637412.2815249,637412.2815253,
637412.814209,637412.814186,1673971909.614199,3619835,2606,4,TX,1,100,637412.7816772,637412.7817018,
637413.338469,637413.338446,1673971910.138444,3620343,2694,4,TX,1,100,637413.2823201,637413.2823447,
637413.850344,637413.850321,1673971910.650305,3620839,2778,4,TX,1,100,637413.7832974,637413.7833220,
637414.404532,637414.404509,1673971911.204477,3621376,2866,4,TX,1,100,637414.2833347,637414.2833593,
637414.908152,637414.908129,1673971911.708082,3621864,2950,4,TX,1,100,637414.7837758,637414.7837833,
637415.432412,637415.432389,1673971912.232327,3622372,3038,4,TX,1,100,637415.2851001,637415.2851076,
637416.057808,637416.057785,1673971912.857706,3622978,3142,4,TX,1,100,637415.7854308,637415.7854383,
637416.360187,637416.360164,1673971913.160076,3623271,3193,4,TX,1,100,637416.2857734,637416.2857809,
637416.817366,637416.817343,1673971913.617242,3623714,3266,4,TX,1,100,637416.7861184,637416.7861439,
637417.329242,637417.329218,1673971914.129103,3624210,3354,4,TX,1,100,637417.2861219,637417.2861473,
637417.838021,637417.837998,1673971914.637868,3624703,3438,4,TX,1,100,637417.7866896,637417.7867150,
637418.350929,637418.350906,1673971915.150762,3625200,3526,4,TX,1,100,637418.2870954,637418.2871209,
637418.881381,637418.881358,1673971915.681198,3625714,3610,4,TX,1,100,637418.7880323,637418.7880326,
637419.494393,637419.494370,1673971916.294193,3626308,3714,4,TX,1,100,637419.2888549,637419.2888552,
637419.829796,637419.829772,1673971916.629586,3626633,3766,4,TX,1,100,637419.7888399,637419.7888402,
637420.393272,637420.393249,1673971917.193046,3627179,3854,4,TX,1,100,637420.2893172,637420.2893175,
637420.827747,637420.827724,1673971917.627509,3627600,3922,4,TX,1,100,637420.7894127,637420.7894138,
637421.324142,637421.324119,1673971918.123890,3628081,4009,4,TX,1,100,637421.2894532,637421.2894544,
637421.959859,637421.959836,1673971918.759589,3628697,4099,4,TX,1,100,637421.7903778,637421.7903789,
637422.356150,637422.356127,1673971919.155869,3629081,4170,4,TX,1,100,637422.2904408,637422.2904419,
637422.825713,637422.825690,1673971919.625419,3629536,4238,4,TX,1,100,637422.7904841,637422.7904999,
637423.377837,637423.377814,1673971920.177527,3630071,4326,4,TX,1,100,637423.2913059,637423.2913217,
637423.870105,637423.870082,1673971920.669780,3630548,4410,4,TX,1,100,637423.7918366,637423.7918524,
637424.385076,637424.385053,1673971921.184737,3631047,4497,4,TX,1,100,637424.2923903,637424.2924061,
637424.826776,637424.826752,1673971921.626424,3631475,4566,4,TX,1,100,637424.7932744,637424.7932803,
637425.326267,637425.326244,1673971922.125901,3631959,4653,4,TX,1,100,637425.2934950,637425.2935008,
