LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
637292.572442,637292.572421,1673971789.375850,3503322.500,48800,2,EL,1,100,26466.800781
637292.637974,637292.637953,1673971789.441381,3503386.000,48800,2,EL,1,100,26466.199219
637292.706087,637292.706066,1673971789.509491,3503452.000,48820,2,EL,1,100,26466.599609
637292.774199,637292.774178,1673971789.577602,3503518.000,48820,2,EL,1,100,26466.800781
637292.841280,637292.841259,1673971789.644680,3503583.000,48836,1,EL,1,100,26467.000000
637292.907844,637292.907823,1673971789.711243,3503647.500,48853,2,EL,1,100,26466.800781
637292.974409,637292.974388,1673971789.777806,3503712.000,48853,2,EL,1,100,26467.000000
637293.040457,637293.040436,1673971789.843852,3503776.000,48870,2,EL,1,100,26467.000000
637293.106506,637293.106485,1673971789.909899,3503840.000,48870,2,EL,1,100,26467.000000
637293.172554,637293.172533,1673971789.975945,3503904.000,48892,1,EL,1,100,26467.000000
637293.239119,637293.239098,1673971790.042508,3503968.500,48906,2,EL,1,100,26467.000000
637293.305683,637293.305662,1673971790.109071,3504033.000,48906,2,EL,1,100,26467.000000
637293.373796,637293.373775,1673971790.177181,3504099.000,48923,1,EL,1,100,26467.000000
637293.440876,637293.440855,1673971790.244260,3504164.000,48940,2,EL,1,100,26466.800781
637293.507957,637293.507936,1673971790.311338,3504229.000,48940,2,EL,1,100,26467.000000
637293.576069,637293.576048,1673971790.379449,3504295.000,48957,1,EL,1,100,26467.000000
637293.643150,637293.643129,1673971790.446527,3504360.000,48976,2,EL,1,100,26466.599609
637293.710230,637293.710209,1673971790.513606,3504425.000,48976,2,EL,1,100,26467.000000
637293.776279,637293.776258,1673971790.579653,3504489.000,48992,2,EL,1,100,26467.000000
637293.842327,637293.842306,1673971790.645699,3504553.000,48992,2,EL,1,100,26467.000000
637293.909408,637293.909386,1673971790.712778,3504618.000,49008,1,EL,1,100,26467.000000
637293.975456,637293.975435,1673971790.778824,3504682.000,49025,2,EL,1,100,26467.000000
637294.041505,637294.041483,1673971790.844871,3504746.000,49025,2,EL,1,100,26467.000000
637294.105489,637294.105468,1673971790.908854,3504808.000,49042,1,EL,1,100,26467.000000
637294.173601,637294.173580,1673971790.976964,3504874.000,49062,2,EL,1,100,26467.000000
637294.241714,637294.241693,1673971791.045074,3504940.000,49062,2,EL,1,100,26467.000000
637294.308794,637294.308773,1673971791.112153,3505005.000,49078,1,EL,1,100,26467.000000
637294.375359,637294.375338,1673971791.178716,3505069.500,49096,2,EL,1,100,26467.000000
637294.441923,637294.441902,1673971791.245278,3505134.000,49096,2,EL,1,100,26467.000000
637294.507972,637294.507951,1673971791.311325,3505198.000,49112,2,EL,1,100,26467.000000
637294.574020,637294.573999,1673971791.377372,3505262.000,49112,2,EL,1,100,26467.000000
637294.641101,637294.641080,1673971791.444450,3505327.000,49129,1,EL,1,100,26467.000000
637294.706633,637294.706612,1673971791.509981,3505390.500,49147,2,EL,1,100,26466.800781
637294.772166,637294.772145,1673971791.575511,3505454.000,49147,2,EL,1,100,26466.800781
637294.838730,637294.838709,1673971791.642074,3505518.500,49164,2,EL,1,100,26466.400391
637294.905295,637294.905274,1673971791.708637,3505583.000,49164,2,EL,1,100,26466.400391
637294.973407,637294.973386,1673971791.776747,3505649.000,49180,2,EL,1,100,26466.599609
637295.041520,637295.041499,1673971791.844858,3505715.000,49180,2,EL,1,100,26466.400391
637295.108084,637295.108063,1673971791.911420,3505779.500,49203,2,EL,1,100,26466.800781
637295.174649,637295.174628,1673971791.977983,3505844.000,49203,2,EL,1,100,26466.599609
637295.240697,637295.240676,1673971792.044029,3505908.000,49224,2,EL,1,100,26466.599609
637295.306746,637295.306725,1673971792.110076,3505972.000,49224,2,EL,1,100,26466.400391
637295.373310,637295.373289,1673971792.176639,3506036.500,49242,2,EL,1,100,26466.400391
637295.439875,637295.439853,1673971792.243201,3506101.000,49242,2,EL,1,100,26466.199219
637295.506955,637295.506934,1673971792.310280,3506166.000,49257,2,EL,1,100,26466.199219
637295.574036,637295.574014,1673971792.377358,3506231.000,49257,2,EL,1,100,26466.400391
637295.642148,637295.642127,1673971792.445469,3506297.000,49274,1,EL,1,100,26466.400391
637295.709229,637295.709207,1673971792.512547,3506362.000,49294,2,EL,1,100,26466.199219
637295.776309,637295.776288,1673971792.579626,3506427.000,49294,2,EL,1,100,26466.199219
637295.844422,637295.844400,1673971792.647737,3506493.000,49311,1,EL,1,100,26466.599609
637295.911502,637295.911481,1673971792.714815,3506558.000,49325,2,EL,1,100,26466.400391
637295.978583,637295.978561,1673971792.781894,3506623.000,49325,2,EL,1,100,26466.800781
637296.045663,637296.045642,1673971792.848972,3506688.000,49342,1,EL,1,100,26466.400391
637296.111195,637296.111174,1673971792.914503,3506751.500,49361,2,EL,1,100,26466.400391
637296.176728,637296.176707,1673971792.980034,3506815.000,49361,2,EL,1,100,26466.800781
637296.241744,637296.241723,1673971793.045048,3506878.000,49381,1,EL,1,100,26466.800781
637296.307793,637296.307772,1673971793.111095,3506942.000,49396,2,EL,1,100,26467.000000
637296.373841,637296.373820,1673971793.177141,3507006.000,49396,2,EL,1,100,26466.800781
637296.442470,637296.442449,1673971793.245768,3507072.500,49413,2,EL,1,100,26466.599609
637296.511098,637296.511077,1673971793.314394,3507139.000,49413,2,EL,1,100,26466.599609
637296.578179,637296.578158,1673971793.381473,3507204.000,49429,1,EL,1,100,26466.800781
637296.644743,637296.644722,1673971793.448036,3507268.500,49449,2,EL,1,100,26466.000000
637296.711308,637296.711287,1673971793.514598,3507333.000,49449,2,EL,1,100,26466.199219
637296.776324,637296.776303,1673971793.579613,3507396.000,49466,1,EL,1,100,26466.400391
637296.842889,637296.842868,1673971793.646175,3507460.500,49481,2,EL,1,100,26466.199219
637296.909453,637296.909432,1673971793.712738,3507525.000,49481,2,EL,1,100,26466.599609
637296.975502,637296.975481,1673971793.778785,3507589.000,49497,1,EL,1,100,26466.199219
637297.041894,637297.041873,1673971793.845175,3507653.333,49515,3,EL,1,100,26466.199219
637297.108287,637297.108265,1673971793.911566,3507717.667,49515,3,EL,1,100,26466.000000
637297.174679,637297.174658,1673971793.977956,3507782.000,49515,3,EL,1,100,26466.000000
637297.242792,637297.242770,1673971794.046067,3507848.000,49536,1,EL,1,100,26466.000000
637297.308324,637297.308303,1673971794.111598,3507911.500,49553,2,EL,1,100,26466.199219
637297.373857,637297.373835,1673971794.177128,3507975.000,49553,2,EL,1,100,26466.000000
637297.438873,637297.438852,1673971794.242143,3508038.000,49570,1,EL,1,100,26466.199219
637297.504922,637297.504900,1673971794.308189,3508102.000,49585,2,EL,1,100,26466.000000
637297.570970,637297.570949,1673971794.374236,3508166.000,49585,2,EL,1,100,26466.199219
637297.637018,637297.636997,1673971794.440283,3508230.000,49604,2,EL,1,100,26466.000000
637297.703067,637297.703046,1673971794.506329,3508294.000,49604,2,EL,1,100,26466.199219
637297.769115,637297.769094,1673971794.572376,3508358.000,49622,1,EL,1,100,26466.199219
637297.836712,637297.836691,1673971794.639970,3508423.500,49638,2,EL,1,100,26466.599609
637297.904308,637297.904287,1673971794.707565,3508489.000,49638,2,EL,1,100,26466.400391
637297.972421,637297.972400,1673971794.775676,3508555.000,49655,1,EL,1,100,26466.599609
637298.038985,637298.038964,1673971794.842238,3508619.500,49670,2,EL,1,100,26466.599609
637298.105550,637298.105529,1673971794.908801,3508684.000,49670,2,EL,1,100,26466.000000
637298.171598,637298.171577,1673971794.974847,3508748.000,49692,2,EL,1,100,26466.400391
637298.237647,637298.237626,1673971795.040894,3508812.000,49692,2,EL,1,100,26466.800781
637298.304727,637298.304706,1673971795.107972,3508877.000,49708,1,EL,1,100,26466.599609
637298.371292,637298.371271,1673971795.174535,3508941.500,49726,2,EL,1,100,26466.599609
637298.437856,637298.437835,1673971795.241097,3509006.000,49726,2,EL,1,100,26466.199219
637298.501841,637298.501820,1673971795.305080,3509068.000,49742,1,EL,1,100,26466.199219
637298.568405,637298.568384,1673971795.371643,3509132.500,49757,2,EL,1,100,26466.400391
637298.634970,637298.634948,1673971795.438205,3509197.000,49757,2,EL,1,100,26466.199219
637298.702050,637298.702029,1673971795.505284,3509262.000,49777,2,EL,1,100,26466.599609
637298.769131,637298.769109,1673971795.572362,3509327.000,49777,2,EL,1,100,26466.800781
637298.834147,637298.834126,1673971795.637377,3509390.000,49794,1,EL,1,100,26466.000000
637298.900712,637298.900690,1673971795.703940,3509454.500,49810,2,EL,1,100,26466.000000
637298.967276,637298.967255,1673971795.770502,3509519.000,49810,2,EL,1,100,26466.199219
637299.033325,637299.033303,1673971795.836549,3509583.000,49827,1,EL,1,100,26466.199219
637299.099889,637299.099868,1673971795.903111,3509647.500,49844,2,EL,1,100,26466.199219
637299.166453,637299.166432,1673971795.969674,3509712.000,49844,2,EL,1,100,26466.400391
637299.232502,637299.232481,1673971796.035721,3509776.000,49864,1,EL,1,100,26466.400391
637299.299582,637299.299561,1673971796.102799,3509841.000,49880,2,EL,1,100,26466.199219
637299.366663,637299.366642,1673971796.169878,3509906.000,49880,2,EL,1,100,26466.199219
637299.433227,637299.433206,1673971796.236440,3509970.500,49898,2,EL,1,100,26466.000000
637299.499792,637299.499771,1673971796.303003,3510035.000,49898,2,EL,1,100,26466.199219
637299.564808,637299.564787,1673971796.368018,3510098.000,49914,1,EL,1,100,26466.199219
637299.630341,637299.630320,1673971796.433548,3510161.500,49929,2,EL,1,100,26466.000000
637299.695873,637299.695852,1673971796.499079,3510225.000,49929,2,EL,1,100,26466.000000
637299.762954,637299.762933,1673971796.566157,3510290.000,49949,1,EL,1,100,26466.000000
637299.829518,637299.829497,1673971796.632720,3510354.500,49966,2,EL,1,100,26466.000000
637299.896083,637299.896062,1673971796.699283,3510419.000,49966,2,EL,1,100,26466.199219
637299.962131,637299.962110,1673971796.765329,3510483.000,49982,1,EL,1,100,26466.000000
637300.028696,637300.028674,1673971796.831892,3510547.500,49999,2,EL,1,100,26466.000000
637300.095260,637300.095239,1673971796.898454,3510612.000,49999,2,EL,1,100,26466.199219
637300.161309,637300.161287,1673971796.964501,3510676.000,50019,2,EL,1,100,26466.000000
637300.227357,637300.227336,1673971797.030548,3510740.000,50019,2,EL,1,100,26466.199219
637300.294438,637300.294416,1673971797.097626,3510805.000,50036,1,EL,1,100,26466.400391
637300.361518,637300.361497,1673971797.164705,3510870.000,50058,3,EL,1,100,26466.400391
637300.428599,637300.428577,1673971797.231783,3510935.000,50058,3,EL,1,100,26466.400391
637300.495679,637300.495658,1673971797.298862,3511000.000,50058,3,EL,1,100,26466.599609
637300.562760,637300.562738,1673971797.365941,3511065.000,50075,1,EL,1,100,26466.800781
637300.629324,637300.629303,1673971797.432503,3511129.500,50094,2,EL,1,100,26466.800781
637300.695889,637300.695867,1673971797.499066,3511194.000,50094,2,EL,1,100,26467.000000
637300.759873,637300.759852,1673971797.563048,3511256.000,50112,1,EL,1,100,26467.000000
637300.826437,637300.826416,1673971797.629611,3511320.500,50127,2,EL,1,100,26467.000000
637300.893002,637300.892981,1673971797.696173,3511385.000,50127,2,EL,1,100,26467.000000
637300.960082,637300.960061,1673971797.763252,3511450.000,50143,2,EL,1,100,26467.000000
637301.027163,637301.027142,1673971797.830331,3511515.000,50143,2,EL,1,100,26467.000000
637301.095275,637301.095254,1673971797.898441,3511581.000,50160,1,EL,1,100,26467.000000
637301.161324,637301.161303,1673971797.964488,3511645.000,50182,2,EL,1,100,26467.000000
637301.227372,637301.227351,1673971798.030534,3511709.000,50182,2,EL,1,100,26467.000000
637301.293421,637301.293400,1673971798.096581,3511773.000,50198,1,EL,1,100,26467.000000
637301.359985,637301.359964,1673971798.163144,3511837.500,50214,2,EL,1,100,26467.000000
637301.426550,637301.426529,1673971798.229706,3511902.000,50214,2,EL,1,100,26467.000000
637301.493630,637301.493609,1673971798.296785,3511967.000,50230,1,EL,1,100,26467.000000
637301.559679,637301.559658,1673971798.362831,3512031.000,50247,3,EL,1,100,26467.199219
637301.625727,637301.625706,1673971798.428878,3512095.000,50247,3,EL,1,100,26467.000000
637301.691776,637301.691754,1673971798.494925,3512159.000,50247,3,EL,1,100,26467.000000
637301.758856,637301.758835,1673971798.562003,3512224.000,50267,1,EL,1,100,26467.000000
637301.825937,637301.825915,1673971798.629082,3512289.000,50284,2,EL,1,100,26467.000000
637301.893017,637301.892996,1673971798.696160,3512354.000,50284,2,EL,1,100,26467.000000
637301.960098,637301.960076,1673971798.763239,3512419.000,50300,1,EL,1,100,26467.000000
637302.026662,637302.026641,1673971798.829801,3512483.500,50317,2,EL,1,100,26467.000000
637302.093227,637302.093205,1673971798.896364,3512548.000,50317,2,EL,1,100,26466.800781
637302.159791,637302.159770,1673971798.962927,3512612.500,50337,2,EL,1,100,26466.800781
637302.226356,637302.226334,1673971799.029489,3512677.000,50337,2,EL,1,100,26466.800781
637302.292404,637302.292383,1673971799.095536,3512741.000,50354,1,EL,1,100,26466.800781
637302.358453,637302.358431,1673971799.161582,3512805.000,50371,2,EL,1,100,26466.800781
