LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
640612.687748,640612.687721,1673975109.366518,376271.500,60093,2,RD,1,100,TL
640615.344411,640615.344383,1673975112.023104,378846.000,60093,2,RD,1,100,TU
640617.984563,640617.984536,1673975114.663179,381404.500,60922,2,RD,1,100,TL
640620.624715,640620.624688,1673975117.303255,383963.000,60922,2,RD,1,100,TU
640623.255580,640623.255553,1673975119.934043,386512.500,61753,2,RD,1,100,TL
640625.886446,640625.886418,1673975122.564832,389062.000,61753,2,RD,1,100,TU
640628.521438,640628.521410,1673975125.199748,391615.500,62580,2,RD,1,100,TL
640631.156431,640631.156403,1673975127.834664,394169.000,62580,2,RD,1,100,TU
640633.797100,640633.797071,1673975130.475255,396728.000,63428,2,RD,1,100,TL
640636.437768,640636.437739,1673975133.115847,399287.000,63428,2,RD,1,100,TU
640639.089787,640639.089759,1673975135.767789,401857.000,64271,2,RD,1,100,TL
640641.741807,640641.741778,1673975138.419731,404427.000,64271,2,RD,1,100,TU
640644.399502,640644.399473,1673975141.077349,407002.500,65119,2,RD,1,100,TL
640647.057196,640647.057167,1673975143.734966,409578.000,65119,2,RD,1,100,TU
640649.705088,640649.705059,1673975146.382781,412144.000,430,2,RD,1,100,TL
640652.352980,640652.352950,1673975149.030596,414710.000,430,2,RD,1,100,TU
