LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
640521.453293,640521.453272,1673975018.134721,287858.667,45204,3,MX,1,100,57
640521.493194,640521.493172,1673975018.174620,287897.333,45204,3,MX,1,100,58
640521.533095,640521.533073,1673975018.214520,287936.000,45204,3,MX,1,100,59
640521.572995,640521.572974,1673975018.254419,287974.667,45220,3,MX,1,100,58
640521.612896,640521.612874,1673975018.294319,288013.333,45220,3,MX,1,100,59
640521.652797,640521.652775,1673975018.334218,288052.000,45220,3,MX,1,100,58
640521.692525,640521.692504,1673975018.373946,288090.500,45237,2,MX,1,100,56
640521.732254,640521.732232,1673975018.413673,288129.000,45237,2,MX,1,100,58
640521.778690,640521.778669,1673975018.460108,288174.000,45254,2,MX,1,100,58
640521.825126,640521.825105,1673975018.506543,288219.000,45254,2,MX,1,100,58
640521.865027,640521.865005,1673975018.546443,288257.667,45270,3,MX,1,100,58
640521.904928,640521.904906,1673975018.586342,288296.333,45270,3,MX,1,100,57
640521.944828,640521.944807,1673975018.626241,288335.000,45270,3,MX,1,100,57
640521.985073,640521.985051,1673975018.666485,288374.000,45291,3,MX,1,100,58
640522.025318,640522.025296,1673975018.706728,288413.000,45291,3,MX,1,100,58
640522.065562,640522.065541,1673975018.746972,288452.000,45291,3,MX,1,100,58
640522.104775,640522.104753,1673975018.786184,288490.000,45305,3,MX,1,100,58
640522.143988,640522.143966,1673975018.825395,288528.000,45305,3,MX,1,100,59
640522.183201,640522.183179,1673975018.864607,288566.000,45305,3,MX,1,100,58
640522.222929,640522.222908,1673975018.904334,288604.500,45322,2,MX,1,100,57
640522.262658,640522.262636,1673975018.944062,288643.000,45322,2,MX,1,100,58
640522.302559,640522.302537,1673975018.983961,288681.667,45339,3,MX,1,100,58
640522.342459,640522.342438,1673975019.023861,288720.333,45339,3,MX,1,100,58
640522.382360,640522.382338,1673975019.063761,288759.000,45339,3,MX,1,100,57
640522.422261,640522.422239,1673975019.103660,288797.667,45358,3,MX,1,100,58
640522.462161,640522.462140,1673975019.143559,288836.333,45358,3,MX,1,100,57
640522.502062,640522.502040,1673975019.183459,288875.000,45358,3,MX,1,100,57
640522.542307,640522.542285,1673975019.223702,288914.000,45373,2,MX,1,100,58
640522.582551,640522.582530,1673975019.263946,288953.000,45373,2,MX,1,100,58
640522.622108,640522.622086,1673975019.303502,288991.333,45390,3,MX,1,100,58
640522.661665,640522.661643,1673975019.343057,289029.667,45390,3,MX,1,100,59
640522.701221,640522.701200,1673975019.382613,289068.000,45390,3,MX,1,100,59
640522.740778,640522.740757,1673975019.422168,289106.333,45406,3,MX,1,100,58
640522.780335,640522.780313,1673975019.461724,289144.667,45406,3,MX,1,100,58
640522.819892,640522.819870,1673975019.501279,289183.000,45406,3,MX,1,100,58
640522.859620,640522.859599,1673975019.541007,289221.500,45423,2,MX,1,100,58
640522.899349,640522.899327,1673975019.580734,289260.000,45423,2,MX,1,100,58
640522.946301,640522.946279,1673975019.627685,289305.500,45440,2,MX,1,100,58
640522.993253,640522.993231,1673975019.674636,289351.000,45440,2,MX,1,100,58
640523.033154,640523.033132,1673975019.714535,289389.667,45455,3,MX,1,100,58
640523.073055,640523.073033,1673975019.754435,289428.333,45455,3,MX,1,100,56
640523.112955,640523.112934,1673975019.794334,289467.000,45455,3,MX,1,100,59
640523.152512,640523.152490,1673975019.833890,289505.333,45471,3,MX,1,100,57
640523.192069,640523.192047,1673975019.873446,289543.667,45471,3,MX,1,100,58
640523.231625,640523.231604,1673975019.913001,289582.000,45471,3,MX,1,100,58
640523.270838,640523.270816,1673975019.952213,289620.000,45489,2,MX,1,100,59
640523.310051,640523.310029,1673975019.991424,289658.000,45489,2,MX,1,100,58
640523.350295,640523.350274,1673975020.031668,289697.000,45507,3,MX,1,100,58
640523.390540,640523.390518,1673975020.071911,289736.000,45507,3,MX,1,100,58
640523.430785,640523.430763,1673975020.112155,289775.000,45507,3,MX,1,100,58
640523.471029,640523.471008,1673975020.152398,289814.000,45524,3,MX,1,100,59
640523.511274,640523.511252,1673975020.192642,289853.000,45524,3,MX,1,100,58
640523.551519,640523.551497,1673975020.232885,289892.000,45524,3,MX,1,100,58
640523.591763,640523.591742,1673975020.273129,289931.000,45541,2,MX,1,100,58
640523.632008,640523.631986,1673975020.313372,289970.000,45541,2,MX,1,100,58
640523.671909,640523.671887,1673975020.353271,290008.667,45559,3,MX,1,100,57
640523.711809,640523.711788,1673975020.393171,290047.333,45559,3,MX,1,100,58
640523.751710,640523.751688,1673975020.433071,290086.000,45559,3,MX,1,100,58
640523.791439,640523.791417,1673975020.472798,290124.500,45575,2,MX,1,100,58
640523.831167,640523.831146,1673975020.512526,290163.000,45575,2,MX,1,100,59
640523.871068,640523.871046,1673975020.552425,290201.667,45592,3,MX,1,100,58
640523.910969,640523.910947,1673975020.592325,290240.333,45592,3,MX,1,100,58
640523.950870,640523.950848,1673975020.632224,290279.000,45592,3,MX,1,100,58
640523.991114,640523.991092,1673975020.672468,290318.000,45608,2,MX,1,100,58
640524.031359,640524.031337,1673975020.712711,290357.000,45608,2,MX,1,100,58
640524.075387,640524.075365,1673975020.756738,290399.667,45624,3,MX,1,100,58
640524.119415,640524.119394,1673975020.800765,290442.333,45624,3,MX,1,100,58
640524.163444,640524.163422,1673975020.844792,290485.000,45624,3,MX,1,100,58
640524.203688,640524.203667,1673975020.885036,290524.000,45640,2,MX,1,100,59
640524.243933,640524.243911,1673975020.925279,290563.000,45640,2,MX,1,100,58
640524.284178,640524.284156,1673975020.965523,290602.000,45658,3,MX,1,100,58
640524.324422,640524.324401,1673975021.005766,290641.000,45658,3,MX,1,100,58
640524.364667,640524.364645,1673975021.046010,290680.000,45658,3,MX,1,100,58
640524.404568,640524.404546,1673975021.085909,290718.667,45676,3,MX,1,100,58
640524.444468,640524.444447,1673975021.125809,290757.333,45676,3,MX,1,100,58
640524.484369,640524.484347,1673975021.165708,290796.000,45676,3,MX,1,100,57
640524.524614,640524.524592,1673975021.205952,290835.000,45691,2,MX,1,100,58
640524.564858,640524.564837,1673975021.246195,290874.000,45691,2,MX,1,100,59
640524.604759,640524.604737,1673975021.286095,290912.667,45708,3,MX,1,100,57
640524.644660,640524.644638,1673975021.325994,290951.333,45708,3,MX,1,100,58
640524.684560,640524.684539,1673975021.365894,290990.000,45708,3,MX,1,100,57
640524.723773,640524.723751,1673975021.405105,291028.000,45725,3,MX,1,100,58
640524.762986,640524.762964,1673975021.444317,291066.000,45725,3,MX,1,100,58
640524.802199,640524.802177,1673975021.483529,291104.000,45725,3,MX,1,100,58
640524.842443,640524.842422,1673975021.523772,291143.000,45741,2,MX,1,100,58
640524.882688,640524.882666,1673975021.564016,291182.000,45741,2,MX,1,100,58
640524.923277,640524.923255,1673975021.604603,291221.333,45759,3,MX,1,100,59
640524.963865,640524.963843,1673975021.645190,291260.667,45759,3,MX,1,100,58
640525.004454,640525.004432,1673975021.685778,291300.000,45759,3,MX,1,100,58
640525.044183,640525.044161,1673975021.725505,291338.500,45776,2,MX,1,100,58
640525.083911,640525.083889,1673975021.765233,291377.000,45776,2,MX,1,100,58
640525.128284,640525.128262,1673975021.809604,291420.000,45793,3,MX,1,100,59
640525.172656,640525.172634,1673975021.853975,291463.000,45793,3,MX,1,100,58
640525.217028,640525.217006,1673975021.898346,291506.000,45793,3,MX,1,100,58
640525.256757,640525.256735,1673975021.938074,291544.500,45809,2,MX,1,100,57
640525.296486,640525.296464,1673975021.977801,291583.000,45809,2,MX,1,100,58
640525.335905,640525.335883,1673975022.017219,291621.200,45834,5,MX,1,100,57
640525.375324,640525.375302,1673975022.056637,291659.400,45834,5,MX,1,100,58
640525.414743,640525.414721,1673975022.096055,291697.600,45834,5,MX,1,100,58
640525.454162,640525.454140,1673975022.135473,291735.800,45834,5,MX,1,100,58
640525.493581,640525.493559,1673975022.174891,291774.000,45834,5,MX,1,100,58
640525.533138,640525.533116,1673975022.214447,291812.333,45850,3,MX,1,100,58
640525.572695,640525.572673,1673975022.254002,291850.667,45850,3,MX,1,100,59
640525.612251,640525.612229,1673975022.293558,291889.000,45850,3,MX,1,100,58
640525.651980,640525.651958,1673975022.333285,291927.500,45868,2,MX,1,100,58
640525.691709,640525.691687,1673975022.373013,291966.000,45868,2,MX,1,100,58
640525.732297,640525.732275,1673975022.413600,292005.333,45884,3,MX,1,100,58
640525.772886,640525.772864,1673975022.454188,292044.667,45884,3,MX,1,100,58
640525.813475,640525.813453,1673975022.494775,292084.000,45884,3,MX,1,100,58
640525.853719,640525.853697,1673975022.535018,292123.000,45899,2,MX,1,100,57
640525.893964,640525.893942,1673975022.575262,292162.000,45899,2,MX,1,100,58
640525.933865,640525.933843,1673975022.615162,292200.667,45916,3,MX,1,100,58
640525.973765,640525.973743,1673975022.655061,292239.333,45916,3,MX,1,100,58
640526.013666,640526.013644,1673975022.694961,292278.000,45916,3,MX,1,100,58
640526.053567,640526.053545,1673975022.734860,292316.667,45933,3,MX,1,100,58
640526.093467,640526.093445,1673975022.774760,292355.333,45933,3,MX,1,100,58
640526.133368,640526.133346,1673975022.814659,292394.000,45933,3,MX,1,100,58
640526.173097,640526.173075,1673975022.854387,292432.500,45949,2,MX,1,100,57
640526.212825,640526.212803,1673975022.894114,292471.000,45949,2,MX,1,100,58
640526.257198,640526.257176,1673975022.938485,292514.000,45967,3,MX,1,100,58
640526.301570,640526.301548,1673975022.982856,292557.000,45967,3,MX,1,100,58
640526.345942,640526.345920,1673975023.027227,292600.000,45967,3,MX,1,100,58
640526.386187,640526.386165,1673975023.067471,292639.000,45983,2,MX,1,100,59
640526.426432,640526.426410,1673975023.107714,292678.000,45983,2,MX,1,100,58
640526.467020,640526.466998,1673975023.148302,292717.333,46000,3,MX,1,100,58
640526.507609,640526.507587,1673975023.188889,292756.667,46000,3,MX,1,100,58
640526.548197,640526.548176,1673975023.229476,292796.000,46000,3,MX,1,100,58
640526.588442,640526.588420,1673975023.269720,292835.000,46019,2,MX,1,100,58
640526.628687,640526.628665,1673975023.309963,292874.000,46019,2,MX,1,100,58
640526.668587,640526.668566,1673975023.349863,292912.667,46037,3,MX,1,100,58
640526.708488,640526.708466,1673975023.389763,292951.333,46037,3,MX,1,100,58
640526.748389,640526.748367,1673975023.429662,292990.000,46037,3,MX,1,100,58
640526.788633,640526.788612,1673975023.469906,293029.000,46051,2,MX,1,100,58
640526.828878,640526.828856,1673975023.510149,293068.000,46051,2,MX,1,100,58
640526.868091,640526.868069,1673975023.549361,293106.000,46068,3,MX,1,100,58
640526.907304,640526.907282,1673975023.588572,293144.000,46068,3,MX,1,100,58
640526.946516,640526.946494,1673975023.627784,293182.000,46068,3,MX,1,100,58
640526.986417,640526.986395,1673975023.667683,293220.667,46085,3,MX,1,100,58
640527.026318,640527.026296,1673975023.707583,293259.333,46085,3,MX,1,100,58
640527.066218,640527.066196,1673975023.747482,293298.000,46085,3,MX,1,100,58
640527.106463,640527.106441,1673975023.787726,293337.000,46102,2,MX,1,100,57
640527.146708,640527.146686,1673975023.827969,293376.000,46102,2,MX,1,100,57
640527.187640,640527.187618,1673975023.868901,293415.667,46118,3,MX,1,100,57
640527.228573,640527.228551,1673975023.909832,293455.333,46118,3,MX,1,100,58
640527.269505,640527.269483,1673975023.950763,293495.000,46118,3,MX,1,100,59
640527.309234,640527.309212,1673975023.990491,293533.500,46134,2,MX,1,100,58
640527.348963,640527.348941,1673975024.030219,293572.000,46134,2,MX,1,100,58
640527.393679,640527.393657,1673975024.074934,293615.333,46152,3,MX,1,100,58
640527.438395,640527.438373,1673975024.119648,293658.667,46152,3,MX,1,100,58
640527.483112,640527.483090,1673975024.164364,293702.000,46152,3,MX,1,100,57
640527.522840,640527.522818,1673975024.204091,293740.500,46169,2,MX,1,100,58
640527.562569,640527.562547,1673975024.243819,293779.000,46169,2,MX,1,100,57
640527.602126,640527.602104,1673975024.283374,293817.333,46186,3,MX,1,100,58
640527.641682,640527.641661,1673975024.322930,293855.667,46186,3,MX,1,100,58
640527.681239,640527.681217,1673975024.362485,293894.000,46186,3,MX,1,100,59
640527.720796,640527.720774,1673975024.402041,293932.333,46203,3,MX,1,100,58
640527.760353,640527.760331,1673975024.441597,293970.667,46203,3,MX,1,100,56
640527.799909,640527.799887,1673975024.481152,294009.000,46203,3,MX,1,100,58
640527.839638,640527.839616,1673975024.520880,294047.500,46217,2,MX,1,100,58
640527.879367,640527.879345,1673975024.560607,294086.000,46217,2,MX,1,100,58
640527.919955,640527.919933,1673975024.601194,294125.333,46235,3,MX,1,100,59
640527.960544,640527.960522,1673975024.641782,294164.667,46235,3,MX,1,100,58
640528.001133,640528.001111,1673975024.682369,294204.000,46235,3,MX,1,100,59
640528.041377,640528.041355,1673975024.722613,294243.000,46254,3,MX,1,100,59
640528.081622,640528.081600,1673975024.762856,294282.000,46254,3,MX,1,100,58
640528.121867,640528.121845,1673975024.803100,294321.000,46254,3,MX,1,100,57
640528.162111,640528.162089,1673975024.843343,294360.000,46271,2,MX,1,100,58
640528.202356,640528.202334,1673975024.883587,294399.000,46271,2,MX,1,100,59
640528.241913,640528.241891,1673975024.923142,294437.333,46286,3,MX,1,100,59
640528.281469,640528.281447,1673975024.962698,294475.667,46286,3,MX,1,100,57
640528.321026,640528.321004,1673975025.002254,294514.000,46286,3,MX,1,100,58
640528.360239,640528.360217,1673975025.041465,294552.000,46305,2,MX,1,100,58
640528.399451,640528.399429,1673975025.080677,294590.000,46305,2,MX,1,100,59
640528.439352,640528.439330,1673975025.120576,294628.667,46321,3,MX,1,100,59
640528.479253,640528.479231,1673975025.160476,294667.333,46321,3,MX,1,100,58
640528.519153,640528.519131,1673975025.200375,294706.000,46321,3,MX,1,100,58
640528.565590,640528.565568,1673975025.246810,294751.000,46338,2,MX,1,100,57
640528.612026,640528.612004,1673975025.293245,294796.000,46338,2,MX,1,100,58
640528.652270,640528.652248,1673975025.333488,294835.000,46355,3,MX,1,100,57
640528.692515,640528.692493,1673975025.373732,294874.000,46355,3,MX,1,100,58
640528.732760,640528.732738,1673975025.413975,294913.000,46355,3,MX,1,100,58
640528.772316,640528.772294,1673975025.453531,294951.333,46370,3,MX,1,100,58
640528.811873,640528.811851,1673975025.493086,294989.667,46370,3,MX,1,100,57
640528.851430,640528.851408,1673975025.532642,295028.000,46370,3,MX,1,100,57
640528.890643,640528.890621,1673975025.571853,295066.000,46386,2,MX,1,100,58
640528.929855,640528.929833,1673975025.611065,295104.000,46386,2,MX,1,100,58
640528.969412,640528.969390,1673975025.650621,295142.333,46404,3,MX,1,100,57
640529.008969,640529.008947,1673975025.690176,295180.667,46404,3,MX,1,100,57
640529.048525,640529.048503,1673975025.729732,295219.000,46404,3,MX,1,100,58
640529.088082,640529.088060,1673975025.769287,295257.333,46420,3,MX,1,100,57
640529.127639,640529.127617,1673975025.808843,295295.667,46420,3,MX,1,100,58
640529.167196,640529.167174,1673975025.848398,295334.000,46420,3,MX,1,100,58
640529.207440,640529.207418,1673975025.888642,295373.000,46437,2,MX,1,100,58
640529.247685,640529.247663,1673975025.928885,295412.000,46437,2,MX,1,100,58
640529.287586,640529.287563,1673975025.968785,295450.667,46452,3,MX,1,100,57
640529.327486,640529.327464,1673975026.008684,295489.333,46452,3,MX,1,100,58
640529.367387,640529.367365,1673975026.048584,295528.000,46452,3,MX,1,100,58
640529.408148,640529.408125,1673975026.089343,295567.500,46471,2,MX,1,100,58
640529.448908,640529.448886,1673975026.130103,295607.000,46471,2,MX,1,100,57
640529.489497,640529.489475,1673975026.170690,295646.333,46490,3,MX,1,100,58
640529.530085,640529.530063,1673975026.211278,295685.667,46490,3,MX,1,100,58
640529.570674,640529.570652,1673975026.251865,295725.000,46490,3,MX,1,100,58
640529.610919,640529.610897,1673975026.292109,295764.000,46508,2,MX,1,100,57
640529.651163,640529.651141,1673975026.332352,295803.000,46508,2,MX,1,100,58
640529.695192,640529.695170,1673975026.376379,295845.667,46522,3,MX,1,100,58
640529.739220,640529.739198,1673975026.420406,295888.333,46522,3,MX,1,100,58
640529.783248,640529.783226,1673975026.464433,295931.000,46522,3,MX,1,100,57
640529.822977,640529.822955,1673975026.504161,295969.500,46539,2,MX,1,100,57
640529.862706,640529.862684,1673975026.543888,296008.000,46539,2,MX,1,100,59
640529.902606,640529.902584,1673975026.583788,296046.667,46556,3,MX,1,100,58
640529.942507,640529.942485,1673975026.623687,296085.333,46556,3,MX,1,100,57
640529.982408,640529.982386,1673975026.663587,296124.000,46556,3,MX,1,100,58
640530.022308,640530.022286,1673975026.703486,296162.667,46573,3,MX,1,100,58
640530.062209,640530.062187,1673975026.743386,296201.333,46573,3,MX,1,100,58
640530.102110,640530.102088,1673975026.783285,296240.000,46573,3,MX,1,100,58
640530.142354,640530.142332,1673975026.823529,296279.000,46589,2,MX,1,100,58
640530.182599,640530.182577,1673975026.863772,296318.000,46589,2,MX,1,100,58
640530.222500,640530.222478,1673975026.903672,296356.667,46604,3,MX,1,100,58
640530.262400,640530.262378,1673975026.943571,296395.333,46604,3,MX,1,100,57
640530.302301,640530.302279,1673975026.983471,296434.000,46604,3,MX,1,100,57
640530.341514,640530.341492,1673975027.022682,296472.000,46623,2,MX,1,100,57
640530.380727,640530.380704,1673975027.061894,296510.000,46623,2,MX,1,100,58
640530.420283,640530.420261,1673975027.101450,296548.333,46640,3,MX,1,100,58
640530.459840,640530.459818,1673975027.141005,296586.667,46640,3,MX,1,100,58
640530.499397,640530.499375,1673975027.180561,296625.000,46640,3,MX,1,100,57
640530.539297,640530.539275,1673975027.220460,296663.667,46656,3,MX,1,100,57
640530.579198,640530.579176,1673975027.260360,296702.333,46656,3,MX,1,100,59
640530.619099,640530.619077,1673975027.300259,296741.000,46656,3,MX,1,100,58
640530.659085,640530.659063,1673975027.340245,296779.750,46679,4,MX,1,100,57
640530.699072,640530.699050,1673975027.380230,296818.500,46679,4,MX,1,100,57
640530.739059,640530.739037,1673975027.420216,296857.250,46679,4,MX,1,100,58
640530.779045,640530.779023,1673975027.460202,296896.000,46679,4,MX,1,100,58
640530.823418,640530.823396,1673975027.504572,296939.000,46695,3,MX,1,100,58
640530.867790,640530.867768,1673975027.548944,296982.000,46695,3,MX,1,100,59
640530.912162,640530.912140,1673975027.593314,297025.000,46695,3,MX,1,100,58
640530.952407,640530.952385,1673975027.633558,297064.000,46713,2,MX,1,100,57
640530.992652,640530.992630,1673975027.673801,297103.000,46713,2,MX,1,100,58
640531.032208,640531.032186,1673975027.713357,297141.333,46732,3,MX,1,100,58
640531.071765,640531.071743,1673975027.752913,297179.667,46732,3,MX,1,100,58
640531.111322,640531.111300,1673975027.792468,297218.000,46732,3,MX,1,100,58
640531.150879,640531.150856,1673975027.832024,297256.333,46747,3,MX,1,100,57
640531.190435,640531.190413,1673975027.871579,297294.667,46747,3,MX,1,100,58
640531.229992,640531.229970,1673975027.911135,297333.000,46747,3,MX,1,100,58
640531.269721,640531.269698,1673975027.950862,297371.500,46764,2,MX,1,100,58
640531.309449,640531.309427,1673975027.990590,297410.000,46764,2,MX,1,100,58
640531.349350,640531.349328,1673975028.030489,297448.667,46783,3,MX,1,100,58
640531.389251,640531.389229,1673975028.070389,297487.333,46783,3,MX,1,100,57
