LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
640389.529604,640389.529590,1673974886.214873,160015.000,24175,1,BV,1,100,3.72
640390.524369,640390.524355,1673974887.209609,160979.000,24327,1,BV,1,100,3.72
640391.524294,640391.524280,1673974888.209505,161948.000,24497,1,BV,1,100,3.72
640392.522155,640392.522141,1673974889.207337,162915.000,24663,1,BV,1,100,3.72
640393.523112,640393.523098,1673974890.208265,163885.000,24820,1,BV,1,100,3.72
640394.524068,640394.524054,1673974891.209192,164855.000,24989,1,BV,1,100,3.72
640395.519865,640395.519852,1673974892.204960,165820.000,25138,1,BV,1,100,3.72
640396.518758,640396.518744,1673974893.203824,166788.000,25308,1,BV,1,100,3.72
640397.515587,640397.515573,1673974894.200624,167754.000,25459,1,BV,1,100,3.72
640398.510353,640398.510339,1673974895.195360,168718.000,25631,1,BV,1,100,3.72
640399.505118,640399.505104,1673974896.190097,169682.000,25783,1,BV,1,100,3.72
640400.499883,640400.499869,1673974897.184833,170646.000,25953,1,BV,1,100,3.72
640401.499808,640401.499794,1673974898.184729,171615.000,26118,1,BV,1,100,3.72
640402.500765,640402.500750,1673974899.185656,172585.000,26269,1,BV,1,100,3.72
640403.501721,640403.501707,1673974900.186584,173555.000,26438,1,BV,1,100,3.72
640404.505774,640404.505759,1673974901.190607,174528.000,26595,1,BV,1,100,3.72
640405.500539,640405.500525,1673974902.185344,175492.000,26762,1,BV,1,100,3.72
640406.504592,640406.504577,1673974903.189367,176465.000,26913,1,BV,1,100,3.72
640407.498325,640407.498310,1673974904.183071,177428.000,27080,1,BV,1,100,3.72
640408.494122,640408.494107,1673974905.178839,178393.000,27233,1,BV,1,100,3.72
640409.491983,640409.491968,1673974906.176671,179360.000,27391,1,BV,1,100,3.72
640410.488812,640410.488797,1673974907.173471,180326.000,27559,1,BV,1,100,3.71
640411.486673,640411.486658,1673974908.171303,181293.000,27694,1,BV,1,100,3.72
640412.482470,640412.482455,1673974909.167071,182258.000,27861,1,BV,1,100,3.72
640413.488587,640413.488572,1673974910.173158,183233.000,28028,1,BV,1,100,3.72
640414.489543,640414.489528,1673974911.174086,184203.000,28187,1,BV,1,100,3.72
640415.486373,640415.486357,1673974912.170886,185169.000,28340,1,BV,1,100,3.72
640416.486297,640416.486282,1673974913.170782,186138.000,28506,1,BV,1,100,3.72
640417.481063,640417.481047,1673974914.165518,187102.000,28658,1,BV,1,100,3.72
640418.476860,640418.476844,1673974915.161286,188067.000,28807,1,BV,1,100,3.72
640419.474721,640419.474705,1673974916.159118,189034.000,28982,1,BV,1,100,3.72
