LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
640540.121996,640540.121974,1673975036.802880,305950,48152,4,TX,1,100,2023-01-17_19-03-56-701662,640540.0207483,
640541.576995,640541.576972,1673975038.257837,307360,48376,4,TX,1,100,2023-01-17_19-03-58-207707,640541.5268372,
640543.066047,640543.066024,1673975039.746845,308803,48610,4,TX,1,100,2023-01-17_19-03-59-702226,640543.0213997,
640544.600504,640544.600481,1673975041.281257,310290,48863,4,TX,1,100,2023-01-17_19-04-01-200618,640544.5198352,
640546.057566,640546.057543,1673975042.738277,311702,49098,4,TX,1,100,2023-01-17_19-04-02-701281,640546.0205421,
640547.619885,640547.619861,1673975044.300550,313216,49340,4,TX,1,100,2023-01-17_19-04-04-201565,640547.5208690,
640549.097586,640549.097562,1673975045.778208,314648,49575,4,TX,1,100,2023-01-17_19-04-05-701237,640549.0205854,
640550.545361,640550.545338,1673975047.225941,316051,49811,4,TX,1,100,2023-01-17_19-04-07-199850,640550.5192415,
640552.121094,640552.121071,1673975048.801628,317578,50051,4,TX,1,100,2023-01-17_19-04-08-717590,640552.0370265,
640553.541008,640553.540984,1673975050.221501,318954,50287,4,TX,1,100,2023-01-17_19-04-10-200267,640553.5197457,
640555.134283,640555.134260,1673975051.814730,320498,50537,4,TX,1,100,2023-01-17_19-04-11-701520,640555.0210426,
640556.676995,640556.676971,1673975053.357397,321993,50775,4,TX,1,100,2023-01-17_19-04-13-247686,640556.5672534,
640558.104132,640558.104109,1673975054.784492,323376,51000,4,TX,1,100,2023-01-17_19-04-14-701483,640558.0210929,
640559.555004,640559.554980,1673975056.235322,324782,51236,4,TX,1,100,2023-01-17_19-04-16-217051,640559.5367049,
640561.096683,640561.096659,1673975057.776956,326276,51486,4,TX,1,100,2023-01-17_19-04-17-700403,640561.0200962,
640562.638363,640562.638339,1673975059.318591,327770,51728,4,TX,1,100,2023-01-17_19-04-19-200383,640562.5201243,
640564.190362,640564.190338,1673975060.870545,329274,51978,4,TX,1,100,2023-01-17_19-04-20-713924,640564.0337086,
640565.585510,640565.585486,1673975062.265652,330626,52200,4,TX,1,100,2023-01-17_19-04-22-200263,640565.5200917,
640567.120998,640567.120974,1673975063.801096,332114,52449,4,TX,1,100,2023-01-17_19-04-23-720258,640567.0401304,
640568.589412,640568.589388,1673975065.269467,333537,52676,4,TX,1,100,2023-01-17_19-04-25-232037,640568.5519538,
640570.118709,640570.118684,1673975066.798719,335019,52927,4,TX,1,100,2023-01-17_19-04-26-717116,640570.0370751,
640571.620144,640571.620119,1673975068.300111,336474,53164,4,TX,1,100,2023-01-17_19-04-28-216513,640571.5365160,
640573.162856,640573.162831,1673975069.842777,337969,53403,4,TX,1,100,2023-01-17_19-04-29-765450,640573.0854984,
640574.595152,640574.595128,1673975071.275033,339357,53641,4,TX,1,100,2023-01-17_19-04-31-216541,640574.5366321,
640576.145088,640576.145063,1673975072.824922,340859,53891,4,TX,1,100,2023-01-17_19-04-32-716703,640576.0368376,
640577.560874,640577.560849,1673975074.240667,342231,54112,4,TX,1,100,2023-01-17_19-04-34-216888,640577.5370662,
640579.092234,640579.092209,1673975075.771983,343715,54352,4,TX,1,100,2023-01-17_19-04-35-716561,640579.0367823,
640580.594701,640580.594676,1673975077.274407,345171,54589,4,TX,1,100,2023-01-17_19-04-37-247947,640580.5682134,
640582.066211,640582.066186,1673975078.745873,346597,54824,4,TX,1,100,2023-01-17_19-04-38-732095,640582.0524038,
640583.606859,640583.606833,1673975080.286476,348090,55076,4,TX,1,100,2023-01-17_19-04-40-233336,640583.5536889,
640585.169177,640585.169151,1673975081.848749,349604,55316,4,TX,1,100,2023-01-17_19-04-41-782505,640585.1029029,
640586.613857,640586.613831,1673975083.293387,351004,55552,4,TX,1,100,2023-01-17_19-04-43-218795,640586.5392349,
640588.076079,640588.076053,1673975084.755566,352421,55787,4,TX,1,100,2023-01-17_19-04-44-716926,640588.0374093,
640589.548621,640589.548595,1673975086.228065,353848,56013,4,TX,1,100,2023-01-17_19-04-46-215893,640589.5364191,
640591.093396,640591.093370,1673975087.772795,355345,56264,4,TX,1,100,2023-01-17_19-04-47-716516,640591.0370868,
640592.609278,640592.609252,1673975089.288633,356814,56501,4,TX,1,100,2023-01-17_19-04-49-216727,640592.5373420,
640594.059117,640594.059091,1673975090.738431,358219,56718,4,TX,1,100,2023-01-17_19-04-50-715910,640594.0365677,
640595.622467,640595.622441,1673975092.301735,359734,56961,4,TX,1,100,2023-01-17_19-04-52-216417,640595.5371185,
640597.056828,640597.056802,1673975093.736054,361124,57179,4,TX,1,100,2023-01-17_19-04-53-716730,640597.0374753,
640598.581997,640598.581971,1673975095.261178,362602,57431,4,TX,1,100,2023-01-17_19-04-55-215942,640598.5367307,
640600.088592,640600.088565,1673975096.767729,364062,57655,4,TX,1,100,2023-01-17_19-04-56-716053,640600.0368854,
640601.644718,640601.644692,1673975098.323811,365570,57909,4,TX,1,100,2023-01-17_19-04-58-229943,640601.5508199,
640603.081143,640603.081116,1673975099.760193,366962,58143,4,TX,1,100,2023-01-17_19-04-59-716225,640603.0371448,
640604.565035,640604.565009,1673975101.244042,368400,58379,4,TX,1,100,2023-01-17_19-05-01-215716,640604.5366799,
640606.144896,640606.144869,1673975102.823857,369931,58618,4,TX,1,100,2023-01-17_19-05-02-765073,640606.0860813,
640607.694831,640607.694804,1673975104.373747,371433,58871,4,TX,1,100,2023-01-17_19-05-04-215479,640607.5365296,
640609.063149,640609.063122,1673975105.742025,372759,59090,4,TX,1,100,2023-01-17_19-05-05-716066,640609.0371606,
640610.558393,640610.558366,1673975107.237225,374208,59317,4,TX,1,100,2023-01-17_19-05-07-215366,640610.5365036,
640612.086658,640612.086631,1673975108.765446,375689,59567,4,TX,1,100,2023-01-17_19-05-08-715942,640612.0371233,
640613.570550,640613.570523,1673975110.249295,377127,59803,4,TX,1,100,2023-01-17_19-05-10-215314,640613.5365398,
640615.055475,640615.055447,1673975111.734176,378566,60038,4,TX,1,100,2023-01-17_19-05-11-715295,640615.0365642,
640616.598186,640616.598159,1673975113.276843,380061,60282,4,TX,1,100,2023-01-17_19-05-13-215328,640616.5366406,
640618.080015,640618.079988,1673975114.758629,381497,60516,4,TX,1,100,2023-01-17_19-05-14-716636,640618.0379926,
640619.559780,640619.559752,1673975116.238350,382931,60752,4,TX,1,100,2023-01-17_19-05-16-215501,640619.5369011,
640621.121066,640621.121038,1673975117.799591,384444,60992,4,TX,1,100,2023-01-17_19-05-17-715537,640621.0369811,
640622.611150,640622.611122,1673975119.289632,385888,61229,4,TX,1,100,2023-01-17_19-05-19-215247,640622.5367340,
640624.059958,640624.059930,1673975120.738397,387292,61463,4,TX,1,100,2023-01-17_19-05-20-714868,640624.0363993,
640625.580999,640625.580971,1673975122.259394,388766,61700,4,TX,1,100,2023-01-17_19-05-22-214980,640625.5365553,
640627.134030,640627.134002,1673975123.812380,390271,61942,4,TX,1,100,2023-01-17_19-05-23-730177,640627.0517960,
640628.655071,640628.655043,1673975125.333377,391745,62179,4,TX,1,100,2023-01-17_19-05-25-215197,640628.5368590,
640630.092528,640630.092500,1673975126.770792,393138,62413,4,TX,1,100,2023-01-17_19-05-26-715468,640630.0371738,
640631.669293,640631.669264,1673975128.347510,394666,62653,4,TX,1,100,2023-01-17_19-05-28-260103,640631.5818506,
640633.159377,640633.159348,1673975129.837551,396110,62888,4,TX,1,100,2023-01-17_19-05-29-714914,640633.0367068,
640634.593737,640634.593709,1673975131.271870,397500,63124,4,TX,1,100,2023-01-17_19-05-31-248260,640634.5700968,
640636.051832,640636.051803,1673975132.729922,398913,63358,4,TX,1,100,2023-01-17_19-05-32-719011,640636.0408914,
640637.581129,640637.581100,1673975134.259174,400395,63600,4,TX,1,100,2023-01-17_19-05-34-247831,640637.5697560,
640639.130032,640639.130003,1673975135.808033,401896,63849,4,TX,1,100,2023-01-17_19-05-35-730431,640639.0523982,
640640.570584,640640.570555,1673975137.248543,403292,64086,4,TX,1,100,2023-01-17_19-05-37-231154,640640.5531652,
640642.173147,640642.173118,1673975138.851059,404845,64327,4,TX,1,100,2023-01-17_19-05-38-731096,640642.0531517,
640643.605444,640643.605415,1673975140.283314,406233,64564,4,TX,1,100,2023-01-17_19-05-40-231728,640643.5538273,
640645.301910,640645.301881,1673975141.979731,407877,64834,4,TX,1,100,2023-01-17_19-05-41-730432,640645.0525743,
640646.568069,640646.568040,1673975143.245853,409104,65035,4,TX,1,100,2023-01-17_19-05-43-230998,640646.5531767,
640648.093238,640648.093209,1673975144.770978,410582,65276,4,TX,1,100,2023-01-17_19-05-44-730186,640648.0524154,
640649.563716,640649.563687,1673975146.241413,412007,65513,4,TX,1,100,2023-01-17_19-05-46-230944,640649.5532172,
640651.090949,640651.090919,1673975147.768601,413487,225,4,TX,1,100,2023-01-17_19-05-47-730340,640651.0526572,
640652.636756,640652.636727,1673975149.314363,414985,469,4,TX,1,100,2023-01-17_19-05-49-263427,640652.5857891,
640654.162957,640654.162928,1673975150.840520,416464,721,4,TX,1,100,2023-01-17_19-05-50-747694,640654.0700989,
