LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
640351.365291,640351.365279,1673974848.051671,123031.000,18007,1,SF,1,100,0.0000
640351.697567,640351.697556,1673974848.383938,123353.000,18059,1,SF,1,100,0.0000
640351.962769,640351.962758,1673974848.649132,123610.000,18108,1,SF,1,100,0.0000
640352.296077,640352.296066,1673974848.982431,123933.000,18157,1,SF,1,100,0.0000
640352.628354,640352.628342,1673974849.314698,124255.000,18210,1,SF,1,100,0.0000
640353.025641,640353.025629,1673974849.711973,124640.000,18277,1,SF,1,100,0.0000
640353.357917,640353.357905,1673974850.044240,124962.000,18325,1,SF,1,100,0.0000
640353.621055,640353.621044,1673974850.307370,125217.000,18378,1,SF,1,100,0.0000
640353.957459,640353.957448,1673974850.643764,125543.000,18429,1,SF,1,100,0.0000
640354.288703,640354.288692,1673974850.974999,125864.000,18478,1,SF,1,100,0.0000
640354.626139,640354.626128,1673974851.312425,126191.000,18528,1,SF,1,100,0.0000
640355.023426,640355.023415,1673974851.709701,126576.000,18595,1,SF,1,100,0.0000
640355.357767,640355.357755,1673974852.044031,126900.000,18644,1,SF,1,100,0.0000
640355.624000,640355.623989,1673974852.310257,127158.000,18697,1,SF,1,100,0.0000
640356.020255,640356.020244,1673974852.706501,127542.000,18753,1,SF,1,100,0.0000
640356.287521,640356.287510,1673974852.973758,127801.000,18803,1,SF,1,100,0.0000
640356.621861,640356.621850,1673974853.308089,128125.000,18852,1,SF,1,100,0.0000
640356.957233,640356.957222,1673974853.643451,128450.000,18902,1,SF,1,100,0.0000
640357.354520,640357.354509,1673974854.040727,128835.000,18970,1,SF,1,100,0.0000
640357.690924,640357.690913,1673974854.377121,129161.000,19021,1,SF,1,100,0.0000
640357.957158,640357.957147,1673974854.643347,129419.000,19071,1,SF,1,100,0.0000
640358.288403,640358.288391,1673974854.974582,129740.000,19122,1,SF,1,100,0.0000
640358.620679,640358.620667,1673974855.306849,130062.000,19173,1,SF,1,100,0.0000
640359.022094,640359.022082,1673974855.708251,130451.000,19240,1,SF,1,100,0.0000
640359.351274,640359.351263,1673974856.037422,130770.000,19289,1,SF,1,100,0.0000
640359.617508,640359.617496,1673974856.303648,131028.000,19339,1,SF,1,100,0.0000
640359.954944,640359.954932,1673974856.641075,131355.000,19393,1,SF,1,100,0.0000
640360.285157,640360.285145,1673974856.971277,131675.000,19441,1,SF,1,100,0.0000
640360.618465,640360.618453,1673974857.304576,131998.000,19492,1,SF,1,100,0.0000
640361.016784,640361.016772,1673974857.702883,132384.000,19559,1,SF,1,100,0.0000
640361.346996,640361.346984,1673974858.033086,132704.000,19612,1,SF,1,100,0.0000
640361.612198,640361.612186,1673974858.298280,132961.000,19666,1,SF,1,100,0.0000
640361.944475,640361.944463,1673974858.630547,133283.000,19716,1,SF,1,100,0.0000
640362.275719,640362.275707,1673974858.961782,133604.000,19765,1,SF,1,100,0.0000
640362.674038,640362.674026,1673974859.360089,133990.000,19833,1,SF,1,100,0.0000
640363.009410,640363.009398,1673974859.695451,134315.000,19885,1,SF,1,100,0.0000
640363.340654,640363.340642,1673974860.026686,134636.000,19934,1,SF,1,100,0.0000
640363.605856,640363.605844,1673974860.291881,134893.000,19984,1,SF,1,100,0.0000
640363.942260,640363.942248,1673974860.628275,135219.000,20035,1,SF,1,100,0.0000
640364.272473,640364.272461,1673974860.958478,135539.000,20083,1,SF,1,100,0.0000
640364.609909,640364.609897,1673974861.295904,135866.000,20137,1,SF,1,100,0.0000
640365.007196,640365.007184,1673974861.693179,136251.000,20204,1,SF,1,100,0.0000
