LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
640493.732295,640493.732275,1673974990.414530,260995.000,40765,1,TH,1,100,25.224
640493.865412,640493.865392,1673974990.547643,261124.000,40782,1,TH,1,100,25.224
640493.998529,640493.998509,1673974990.680756,261253.000,40798,1,TH,1,100,25.299
640494.131646,640494.131626,1673974990.813869,261382.000,40830,1,TH,1,100,25.299
640494.263731,640494.263711,1673974990.945951,261510.000,40847,1,TH,1,100,25.307
640494.396848,640494.396828,1673974991.079063,261639.000,40864,1,TH,1,100,25.307
640494.528933,640494.528913,1673974991.211145,261767.000,40883,1,TH,1,100,25.245
640494.661018,640494.660998,1673974991.343226,261895.000,40915,1,TH,1,100,25.245
640494.794135,640494.794115,1673974991.476339,262024.000,40931,1,TH,1,100,25.299
640494.927252,640494.927232,1673974991.609452,262153.000,40948,1,TH,1,100,25.300
640495.058305,640495.058285,1673974991.740501,262280.000,40968,1,TH,1,100,25.144
640495.194518,640495.194498,1673974991.876710,262412.000,40999,1,TH,1,100,25.144
640495.327635,640495.327615,1673974992.009823,262541.000,41016,1,TH,1,100,25.372
640495.460752,640495.460732,1673974992.142936,262670.000,41035,1,TH,1,100,25.372
640495.592837,640495.592817,1673974992.275017,262798.000,41066,1,TH,1,100,25.248
640495.725953,640495.725933,1673974992.408130,262927.000,41084,1,TH,1,100,25.248
640495.859070,640495.859050,1673974992.541243,263056.000,41100,1,TH,1,100,25.234
640495.993219,640495.993199,1673974992.675388,263186.000,41117,1,TH,1,100,25.242
640496.127368,640496.127348,1673974992.809533,263316.000,41149,1,TH,1,100,25.278
640496.260485,640496.260465,1673974992.942646,263445.000,41165,1,TH,1,100,25.278
640496.393602,640496.393582,1673974993.075759,263574.000,41183,1,TH,1,100,25.333
640496.524655,640496.524635,1673974993.206809,263701.000,41219,1,TH,1,100,25.333
640496.661900,640496.661880,1673974993.344049,263834.000,41236,1,TH,1,100,25.286
640496.795017,640496.794996,1673974993.477162,263963.000,41253,1,TH,1,100,25.286
640496.928133,640496.928113,1673974993.610275,264092.000,41269,1,TH,1,100,25.286
640497.060218,640497.060198,1673974993.742356,264220.000,41301,1,TH,1,100,25.286
640497.191272,640497.191251,1673974993.873406,264347.000,41318,1,TH,1,100,25.237
640497.324389,640497.324368,1673974994.006519,264476.000,41334,1,TH,1,100,25.237
640497.458537,640497.458517,1673974994.140664,264606.000,41354,1,TH,1,100,25.262
