LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
640483.062303,640483.062284,1673974979.744848,250655.000,39058,1,TL,1,100,2023-01-17_19-02-59-733256
640488.276565,640488.276546,1673974984.958959,255708.000,39887,1,TL,1,100,2023-01-17_19-02-59-939307
640488.364278,640488.364258,1673974985.046669,255793.000,39890,1,TL,1,100,2023-01-17_19-03-05-031061
640493.590923,640493.590903,1673974990.273162,260858.000,40736,1,TL,1,100,2023-01-17_19-03-05-130789
640493.614657,640493.614637,1673974990.296895,260881.000,40739,1,TL,1,100,2023-01-17_19-03-10-282206
640498.899090,640498.899069,1673974995.581174,266002.000,41581,1,TL,1,100,2023-01-17_19-03-10-462321
640498.924887,640498.924867,1673974995.606971,266027.000,41584,1,TL,1,100,2023-01-17_19-03-15-584875
640504.205192,640504.205172,1673975000.887122,271144.000,42429,1,TL,1,100,2023-01-17_19-03-15-785069
640504.240277,640504.240257,1673975000.922206,271178.000,42432,1,TL,1,100,2023-01-17_19-03-20-904353
640509.504071,640509.504050,1673975006.185847,276279.000,43276,1,TL,1,100,2023-01-17_19-03-21-109191
640509.529869,640509.529848,1673975006.211644,276304.000,43279,1,TL,1,100,2023-01-17_19-03-26-190091
640514.783344,640514.783323,1673975011.464966,281395.000,44122,1,TL,1,100,2023-01-17_19-03-26-336609
640514.807078,640514.807057,1673975011.488699,281418.000,44125,1,TL,1,100,2023-01-17_19-03-31-476359
640520.067777,640520.067755,1673975016.749244,286516.000,44964,1,TL,1,100,2023-01-17_19-03-31-655977
640520.115245,640520.115223,1673975016.796711,286562.000,44967,1,TL,1,100,2023-01-17_19-03-36-777174
640525.384198,640525.384176,1673975022.065511,291668.000,45814,1,TL,1,100,2023-01-17_19-03-36-972335
640525.437858,640525.437836,1673975022.119169,291720.000,45817,1,TL,1,100,2023-01-17_19-03-42-100390
640530.690301,640530.690279,1673975027.371459,296810.000,46659,1,TL,1,100,2023-01-17_19-03-42-234172
640530.759439,640530.759417,1673975027.440596,296877.000,46662,1,TL,1,100,2023-01-17_19-03-47-425106
640535.960286,640535.960264,1673975032.641291,301917.000,47491,1,TL,1,100,2023-01-17_19-03-47-533848
640536.081020,640536.080998,1673975032.762022,302034.000,47494,1,TL,1,100,2023-01-17_19-03-52-746926
640541.275676,640541.275653,1673975037.956527,307068.000,48334,1,TL,1,100,2023-01-17_19-03-52-851024
640541.310761,640541.310739,1673975037.991611,307102.000,48337,1,TL,1,100,2023-01-17_19-03-57-973905
640546.581779,640546.581756,1673975043.262475,312210.000,49182,1,TL,1,100,2023-01-17_19-03-58-176586
640546.635438,640546.635415,1673975043.316133,312262.000,49185,1,TL,1,100,2023-01-17_19-04-03-297010
640551.888913,640551.888890,1673975048.569454,317353.000,50026,1,TL,1,100,2023-01-17_19-04-03-426468
640551.951860,640551.951837,1673975048.632400,317414.000,50029,1,TL,1,100,2023-01-17_19-04-08-621040
640557.169218,640557.169194,1673975053.849606,322470.000,50859,1,TL,1,100,2023-01-17_19-04-08-755370
640557.197080,640557.197056,1673975053.877466,322497.000,50862,1,TL,1,100,2023-01-17_19-04-13-860733
640562.441268,640562.441243,1673975059.121501,327579.000,51705,1,TL,1,100,2023-01-17_19-04-14-002203
640562.468097,640562.468073,1673975059.148330,327605.000,51708,1,TL,1,100,2023-01-17_19-04-19-139300
640567.732923,640567.732899,1673975064.413003,332707.000,52551,1,TL,1,100,2023-01-17_19-04-19-290433
640567.759753,640567.759729,1673975064.439832,332733.000,52554,1,TL,1,100,2023-01-17_19-04-24-422243
640573.034898,640573.034874,1673975069.714824,337845.000,53396,1,TL,1,100,2023-01-17_19-04-24-586813
